Options:
Model:                           MultiState
Tree File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data3/utoaztecan.bttrees
Data File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data3/utoaztecan.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/CEVANStrees_div100_1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2570557955
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      1000000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/CEVANStrees_div100_1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              True
Scale Tree:                      0.000103
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        GlobalRate - uniform 0.00 100.00 
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	Global Rate	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
550000	-12.837968	760	2.247246	1	3	'0 Z 0 Z 0 0 0 0 0 Z 0 0 	0.111111	0.000000	0.111111	0.000000	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.111111	0.111111	0.000001	0.000339	0.989532	0.010129	
600000	-13.427460	599	4.266896	1	5	'0 Z Z 0 Z 0 0 0 0 Z 0 Z 	0.142857	0.000000	0.000000	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.000000	0.142857	0.000000	0.000000	0.000000	1.000000	0.000000	
650000	-15.248985	290	5.714999	1	5	'Z Z 0 0 Z 0 0 Z 0 Z 0 0 	0.000000	0.000000	0.142857	0.142857	0.000000	0.142857	0.142857	0.000000	0.142857	0.000000	0.142857	0.142857	0.000130	0.000130	0.937169	0.062571	
700000	-18.140367	172	3.215645	1	7	'0 Z 0 Z Z Z Z Z 0 0 Z 0 	0.200000	0.000000	0.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.200000	0.200000	0.000000	0.200000	0.000313	0.000000	0.808143	0.191543	
750000	-14.818217	995	9.201824	1	2	'0 Z 0 Z 0 0 0 0 0 0 0 0 	0.100000	0.000000	0.100000	0.000000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.000180	0.010032	0.927278	0.062511	
800000	-12.193376	950	2.793516	1	5	'0 0 Z Z 0 Z 0 0 0 Z 0 Z 	0.142857	0.142857	0.000000	0.000000	0.142857	0.000000	0.142857	0.142857	0.142857	0.000000	0.142857	0.000000	0.000637	0.000581	0.998747	0.000035	
850000	-14.011005	510	22.652997	1	7	'0 Z 0 0 0 Z Z Z Z Z 0 Z 	0.200000	0.000000	0.200000	0.200000	0.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.200000	0.000000	0.378516	0.211331	0.000000	0.410153	
900000	-13.277163	212	23.443233	1	5	'0 0 0 0 0 0 Z Z Z Z 0 Z 	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	0.000000	0.142857	0.000000	0.411883	0.404325	0.000000	0.183792	
950000	-12.659964	212	22.748736	1	8	'0 Z 0 Z 0 Z Z Z Z 0 Z Z 	0.250000	0.000000	0.250000	0.000000	0.250000	0.000000	0.000000	0.000000	0.000000	0.250000	0.000000	0.000000	0.669535	0.000000	0.000000	0.330465	
1000000	-13.689302	955	16.149578	1	5	'Z 0 0 0 0 0 Z 0 Z Z Z 0 	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.000000	0.142857	0.000000	0.000000	0.000000	0.142857	0.244194	0.182291	0.215511	0.358004	
1050000	-12.952716	939	3.945707	1	4	'Z 0 Z 0 0 Z 0 0 0 0 Z 0 	0.000000	0.125000	0.000000	0.125000	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.000000	0.125000	0.000919	0.000908	0.939845	0.058328	
1100000	-13.377568	90	1.354954	1	2	'0 Z 0 0 0 0 0 0 0 0 0 Z 	0.100000	0.000000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.000000	0.000000	0.000152	0.999848	0.000000	
1150000	-13.373930	816	1.585818	1	5	'Z 0 0 Z Z Z 0 0 0 0 0 Z 	0.000000	0.142857	0.142857	0.000000	0.000000	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.000000	0.001217	0.000000	0.998770	0.000012	
1200000	-11.792366	267	2.391055	1	4	'0 0 0 Z 0 Z 0 0 0 Z 0 Z 	0.125000	0.125000	0.125000	0.000000	0.125000	0.000000	0.125000	0.125000	0.125000	0.000000	0.125000	0.000000	0.006643	0.002526	0.990806	0.000024	
1250000	-13.603424	414	3.683667	1	7	'0 Z Z 0 Z 0 Z 0 0 Z Z Z 	0.200000	0.000000	0.000000	0.200000	0.000000	0.200000	0.000000	0.200000	0.200000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
1300000	-14.919858	949	3.708758	1	8	'0 Z 0 Z Z Z 0 Z Z 0 Z Z 	0.250000	0.000000	0.250000	0.000000	0.000000	0.000000	0.250000	0.000000	0.000000	0.250000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
1350000	-12.440470	87	2.296608	1	4	'0 0 Z 0 Z 0 0 0 0 Z Z 0 	0.125000	0.125000	0.000000	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000000	0.125000	0.000191	0.000002	0.989630	0.010177	
1400000	-14.619707	681	6.912698	1	4	'0 Z 0 Z 0 0 0 0 0 Z Z 0 	0.125000	0.000000	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000000	0.125000	0.002349	0.033231	0.798661	0.165760	
1450000	-13.325648	264	4.916606	1	5	'0 Z 0 0 0 0 Z 0 0 Z Z Z 	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.000000	0.142857	0.142857	0.000000	0.000000	0.000000	0.000039	0.013436	0.986525	0.000000	
1500000	-12.506442	704	5.058726	1	2	'0 Z 0 0 0 0 0 0 0 0 Z 0 	0.100000	0.000000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.000000	0.100000	0.000076	0.004954	0.945016	0.049954	
1550000	-12.861838	86	6.869938	1	6	'0 0 0 Z 0 0 0 Z Z Z Z Z 	0.166667	0.166667	0.166667	0.000000	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.000000	0.156813	0.135639	0.707548	0.000000	
1600000	-16.487290	487	13.309165	1	6	'0 0 0 Z 0 Z 0 0 Z Z Z Z 	0.166667	0.166667	0.166667	0.000000	0.166667	0.000000	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.389266	0.012446	0.598288	0.000000	
1650000	-13.741388	173	8.745219	1	6	'0 Z Z 0 0 0 Z 0 Z Z Z 0 	0.166667	0.000000	0.000000	0.166667	0.166667	0.166667	0.000000	0.166667	0.000000	0.000000	0.000000	0.166667	0.000163	0.107548	0.440397	0.451892	
1700000	-16.154483	291	33.080250	1	4	'0 0 0 0 Z 0 Z Z Z 0 0 0 	0.125000	0.125000	0.125000	0.125000	0.000000	0.125000	0.000000	0.000000	0.000000	0.125000	0.125000	0.125000	0.269113	0.458026	0.000000	0.272861	
1750000	-13.625228	292	22.941777	1	6	'0 0 Z 0 0 0 0 Z Z Z Z Z 	0.166667	0.166667	0.000000	0.166667	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.000000	0.371588	0.370536	0.257876	0.000000	
1800000	-13.834717	840	8.069791	1	2	'0 0 0 Z 0 0 0 0 0 0 0 Z 	0.100000	0.100000	0.100000	0.000000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.000000	0.013268	0.007165	0.978597	0.000970	
1850000	-13.103203	593	9.548526	1	4	'0 0 0 0 0 0 Z 0 Z 0 Z Z 	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.125000	0.000000	0.125000	0.000000	0.000000	0.267430	0.172454	0.550687	0.009429	
1900000	-15.160691	121	34.110164	1	5	'0 0 0 Z 0 0 Z Z Z 0 Z 0 	0.142857	0.142857	0.142857	0.000000	0.142857	0.142857	0.000000	0.000000	0.000000	0.142857	0.000000	0.142857	0.329183	0.324850	0.000000	0.345968	
1950000	-18.550155	862	26.861026	1	6	'0 0 Z 0 0 Z Z Z Z Z 0 0 	0.166667	0.166667	0.000000	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.000000	0.166667	0.166667	0.000000	0.000000	0.000000	1.000000	
2000000	-15.320525	845	45.789736	1	6	'0 0 Z 0 0 0 Z Z Z Z 0 Z 	0.166667	0.166667	0.000000	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.166667	0.000000	0.117560	0.237982	0.000000	0.644458	
2050000	-15.356738	992	30.771163	1	5	'0 Z 0 0 0 0 Z Z Z Z 0 0 	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	0.000000	0.142857	0.142857	0.475678	0.278606	0.000000	0.245716	
2100000	-12.117663	260	3.323364	1	4	'0 Z 0 Z 0 0 0 0 0 Z Z 0 	0.125000	0.000000	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000000	0.125000	0.000001	0.000305	0.991646	0.008049	
2150000	-16.293904	660	12.818036	1	6	'0 0 Z Z Z 0 0 Z Z Z 0 0 	0.166667	0.166667	0.000000	0.000000	0.000000	0.166667	0.166667	0.000000	0.000000	0.000000	0.166667	0.166667	0.062797	0.011173	0.133033	0.792998	
2200000	-15.921583	715	5.861689	1	6	'Z 0 Z Z Z Z 0 0 0 0 Z 0 	0.000000	0.166667	0.000000	0.000000	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.000000	0.166667	0.005392	0.000000	0.833272	0.161336	
2250000	-13.634240	186	7.470272	1	4	'0 Z 0 0 0 Z Z 0 0 0 0 Z 	0.125000	0.000000	0.125000	0.125000	0.125000	0.000000	0.000000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000080	0.007488	0.992085	0.000347	
2300000	-12.958144	393	18.012840	1	5	'Z 0 0 0 0 0 Z 0 Z Z Z 0 	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.000000	0.142857	0.000000	0.000000	0.000000	0.142857	0.258256	0.197623	0.251241	0.292880	
2350000	-11.510429	776	39.273173	2	4	'0 1 0 1 0 0 0 Z Z Z 0 Z 	0.056773	0.329681	0.056773	0.329681	0.056773	0.056773	0.056773	0.000000	0.000000	0.000000	0.056773	0.000000	0.394624	0.412994	0.152460	0.039922	
2400000	-17.488916	526	51.457454	1	6	'0 Z 0 0 0 Z Z Z Z 0 Z 0 	0.166667	0.000000	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.166667	0.000000	0.166667	0.497916	0.248528	0.000000	0.253556	
2450000	-13.268349	236	27.882610	1	8	'0 Z 0 Z 0 Z Z Z Z 0 Z Z 	0.250000	0.000000	0.250000	0.000000	0.250000	0.000000	0.000000	0.000000	0.000000	0.250000	0.000000	0.000000	0.567860	0.000000	0.000000	0.432140	
2500000	-10.995174	633	15.813064	2	5	'0 0 Z 0 0 0 1 1 Z Z Z Z 	0.188191	0.188191	0.000000	0.188191	0.188191	0.188191	0.029523	0.029523	0.000000	0.000000	0.000000	0.000000	0.206182	0.641957	0.151861	0.000000	
2550000	-13.260472	18	2.797582	1	7	'Z Z Z Z Z 0 0 0 0 Z Z 0 	0.000000	0.000000	0.000000	0.000000	0.000000	0.200000	0.200000	0.200000	0.200000	0.000000	0.000000	0.200000	0.000000	0.000328	0.895976	0.103696	
2600000	-14.696577	970	7.593245	1	5	'0 Z Z 0 0 0 0 0 0 Z Z Z 	0.142857	0.000000	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	0.000001	0.006482	0.993517	0.000000	
2650000	-12.635738	268	1.253270	1	4	'0 0 Z 0 0 0 0 0 0 Z Z Z 	0.125000	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000000	0.000000	0.000038	0.000277	0.999685	0.000000	
2700000	-14.255088	129	6.086469	2	4	'1 0 Z Z 0 Z 1 1 0 Z 0 0 	0.149890	0.110066	0.000000	0.000000	0.110066	0.000000	0.149890	0.149890	0.110066	0.000000	0.110066	0.110066	0.000446	0.000343	0.912715	0.086495	
2750000	-13.425298	722	0.963949	1	6	'Z Z Z Z Z 0 0 0 0 Z 0 0 	0.000000	0.000000	0.000000	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.000000	0.166667	0.166667	0.000000	0.000001	0.983653	0.016347	
2800000	-13.889927	894	6.927324	1	3	'0 0 0 Z 0 0 0 Z 0 Z 0 0 	0.111111	0.111111	0.111111	0.000000	0.111111	0.111111	0.111111	0.000000	0.111111	0.000000	0.111111	0.111111	0.021457	0.013694	0.878952	0.085897	
2850000	-14.733188	915	9.583017	1	6	'Z Z Z Z 0 0 Z Z 0 0 0 0 	0.000000	0.000000	0.000000	0.000000	0.166667	0.166667	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.000000	0.026146	0.885319	0.088535	
2900000	-16.315531	572	15.095666	1	6	'0 0 0 Z Z 0 Z Z Z Z 0 0 	0.166667	0.166667	0.166667	0.000000	0.000000	0.166667	0.000000	0.000000	0.000000	0.000000	0.166667	0.166667	1.000000	0.000000	0.000000	0.000000	
2950000	-14.349179	266	3.006332	1	4	'0 0 Z 0 0 Z 0 Z 0 Z 0 0 	0.125000	0.125000	0.000000	0.125000	0.125000	0.000000	0.125000	0.000000	0.125000	0.000000	0.125000	0.125000	0.000598	0.000585	0.947332	0.051485	
3000000	-12.560787	729	1.876031	1	6	'Z Z 0 Z Z 0 0 0 0 0 Z Z 	0.000000	0.000000	0.166667	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
3050000	-14.381497	429	9.645327	1	2	'0 0 0 0 Z 0 Z 0 0 0 0 0 	0.100000	0.100000	0.100000	0.100000	0.000000	0.100000	0.000000	0.100000	0.100000	0.100000	0.100000	0.100000	0.044346	0.001308	0.862961	0.091384	
3100000	-13.110479	253	14.678594	1	5	'0 0 Z 0 0 0 Z 0 Z Z Z 0 	0.142857	0.142857	0.000000	0.142857	0.142857	0.142857	0.000000	0.142857	0.000000	0.000000	0.000000	0.142857	0.084755	0.232218	0.244569	0.438458	
3150000	-12.371484	682	2.456838	1	6	'0 0 Z Z Z Z 0 0 0 0 Z Z 	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.000000	0.000000	0.000231	0.000000	0.999752	0.000017	
3200000	-15.348012	788	4.803437	1	5	'Z Z 0 Z Z 0 Z 0 0 0 0 0 	0.000000	0.000000	0.142857	0.000000	0.000000	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.000087	0.000085	0.881296	0.118532	
3250000	-13.541228	306	8.200709	1	6	'0 0 0 Z Z Z 0 Z Z Z 0 0 	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.166667	0.000000	0.000000	0.000000	0.166667	0.166667	0.135262	0.000000	0.487194	0.377543	
3300000	-12.859874	420	3.667882	1	6	'Z Z 0 Z Z 0 0 0 0 Z Z 0 	0.000000	0.000000	0.166667	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.000000	0.000000	0.166667	0.000011	0.000011	0.956369	0.043609	
3350000	-14.131331	944	11.354831	1	4	'0 0 Z 0 0 0 Z 0 Z 0 0 Z 	0.125000	0.125000	0.000000	0.125000	0.125000	0.125000	0.000000	0.125000	0.000000	0.125000	0.125000	0.000000	0.090880	0.253377	0.576363	0.079381	
3400000	-13.493002	599	21.759530	1	6	'0 0 Z 0 0 0 Z Z Z 0 Z Z 	0.166667	0.166667	0.000000	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.166667	0.000000	0.000000	0.240670	0.339457	0.000000	0.419873	
3450000	-12.804569	514	15.660967	1	7	'0 0 0 Z 0 Z 0 Z Z Z Z Z 	0.200000	0.200000	0.200000	0.000000	0.200000	0.000000	0.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.318357	0.092844	0.588799	0.000000	
3500000	-12.833651	713	4.289855	1	4	'Z 0 Z Z Z 0 0 0 0 0 0 0 	0.000000	0.125000	0.000000	0.000000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000860	0.000042	0.898407	0.100691	
3550000	-16.112902	476	16.278430	1	3	'0 0 0 0 0 0 Z Z 0 0 Z 0 	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.000000	0.111111	0.111111	0.000000	0.111111	0.172936	0.215085	0.414684	0.197295	
3600000	-13.687851	911	4.955097	1	5	'0 0 Z Z 0 Z 0 Z 0 Z 0 0 	0.142857	0.142857	0.000000	0.000000	0.142857	0.000000	0.142857	0.000000	0.142857	0.000000	0.142857	0.142857	0.000880	0.000868	0.944029	0.054223	
3650000	-12.502642	605	1.554011	1	5	'Z 0 0 0 0 Z 0 0 0 Z Z Z 	0.000000	0.142857	0.142857	0.142857	0.142857	0.000000	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	0.000492	0.000012	0.999495	0.000000	
3700000	-17.349976	776	3.587187	1	4	'0 0 0 0 0 Z Z 0 Z 0 0 Z 	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000000	0.125000	0.000000	0.125000	0.125000	0.000000	0.878921	0.012261	0.097460	0.011357	
3750000	-14.104518	234	3.406604	1	6	'Z Z Z 0 0 0 0 Z 0 Z 0 Z 	0.000000	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.000000	0.166667	0.000000	0.166667	0.000000	0.000000	0.003909	0.996043	0.000048	
3800000	-13.262839	206	3.776134	1	5	'0 Z 0 0 0 0 0 0 Z Z Z Z 	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	0.000000	0.000036	0.020258	0.979706	0.000000	
3850000	-13.792549	302	1.192102	1	9	'Z Z Z 0 Z Z Z 0 0 Z Z Z 	0.000000	0.000000	0.000000	0.333333	0.000000	0.000000	0.000000	0.333333	0.333333	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
3900000	-14.579521	26	3.495651	1	6	'0 Z Z 0 Z 0 0 0 Z Z 0 Z 	0.166667	0.000000	0.000000	0.166667	0.000000	0.166667	0.166667	0.166667	0.000000	0.000000	0.166667	0.000000	0.000000	0.000000	1.000000	0.000000	
3950000	-12.652585	986	2.011369	1	6	'0 0 Z Z 0 Z 0 0 0 Z Z Z 	0.166667	0.166667	0.000000	0.000000	0.166667	0.000000	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.001240	0.001232	0.997528	0.000000	
4000000	-16.107665	723	15.391897	1	5	'0 0 0 0 0 Z 0 0 Z Z Z Z 	0.142857	0.142857	0.142857	0.142857	0.142857	0.000000	0.142857	0.142857	0.000000	0.000000	0.000000	0.000000	0.286562	0.132327	0.581111	0.000000	
4050000	-13.303734	948	4.455348	1	4	'0 Z 0 0 Z Z 0 0 0 0 Z 0 	0.125000	0.000000	0.125000	0.125000	0.000000	0.000000	0.125000	0.125000	0.125000	0.125000	0.000000	0.125000	0.000050	0.000000	0.945578	0.054372	
4100000	-13.865594	324	3.462617	1	5	'0 Z Z 0 Z Z 0 Z 0 0 0 0 	0.142857	0.000000	0.000000	0.142857	0.000000	0.000000	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.904235	0.095765	
4150000	-16.989038	467	9.952940	1	5	'0 0 0 0 Z 0 Z Z Z 0 Z 0 	0.142857	0.142857	0.142857	0.142857	0.000000	0.142857	0.000000	0.000000	0.000000	0.142857	0.000000	0.142857	0.302484	0.019471	0.000000	0.678045	
4200000	-12.579250	666	2.380791	1	8	'Z Z Z Z Z Z 0 0 0 Z Z 0 	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.250000	0.250000	0.250000	0.000000	0.000000	0.250000	0.000000	0.000000	0.969222	0.030778	
4250000	-12.456518	367	2.044044	1	7	'Z Z Z Z 0 Z 0 0 0 0 Z Z 	0.000000	0.000000	0.000000	0.000000	0.200000	0.000000	0.200000	0.200000	0.200000	0.200000	0.000000	0.000000	0.000000	0.001160	0.998840	0.000000	
4300000	-16.046674	933	35.889490	1	6	'0 0 0 Z 0 0 0 Z Z Z Z Z 	0.166667	0.166667	0.166667	0.000000	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.000000	0.186958	0.186703	0.626339	0.000000	
4350000	-14.816766	402	57.380901	1	5	'0 0 0 0 Z 0 Z Z Z 0 Z 0 	0.142857	0.142857	0.142857	0.142857	0.000000	0.142857	0.000000	0.000000	0.000000	0.142857	0.000000	0.142857	0.267963	0.549867	0.000000	0.182170	
4400000	-11.579012	569	70.219686	2	4	'0 1 Z 0 0 0 1 1 Z 1 Z Z 	0.243271	0.006729	0.000000	0.243271	0.243271	0.243271	0.006729	0.006729	0.000000	0.006729	0.000000	0.000000	0.394620	0.318019	0.285692	0.001669	
4450000	-14.575780	118	59.327529	2	2	'1 1 Z 0 0 0 0 0 0 Z 0 0 	0.464624	0.464624	0.000000	0.008844	0.008844	0.008844	0.008844	0.008844	0.008844	0.000000	0.008844	0.008844	0.230528	0.013343	0.705399	0.050731	
4500000	-14.263729	548	70.820213	1	7	'0 0 Z 0 Z 0 Z Z Z Z 0 Z 	0.200000	0.200000	0.000000	0.200000	0.000000	0.200000	0.000000	0.000000	0.000000	0.000000	0.200000	0.000000	0.122261	0.387385	0.000000	0.490354	
4550000	-15.231747	107	47.939506	1	5	'0 Z 0 0 0 0 Z Z Z 0 Z 0 	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	0.142857	0.000000	0.142857	0.478997	0.261700	0.000000	0.259303	
4600000	-14.615327	353	32.960600	1	6	'0 0 0 0 0 Z 0 Z Z Z Z Z 	0.166667	0.166667	0.166667	0.166667	0.166667	0.000000	0.166667	0.000000	0.000000	0.000000	0.000000	0.000000	0.220708	0.336950	0.442342	0.000000	
4650000	-14.736091	686	9.451965	1	2	'Z 0 0 0 0 0 0 0 0 0 Z 0 	0.000000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.000000	0.100000	0.021102	0.014249	0.869236	0.095413	
4700000	-16.000860	262	13.395099	1	7	'Z Z 0 0 0 Z Z Z Z 0 Z 0 	0.000000	0.000000	0.200000	0.200000	0.200000	0.000000	0.000000	0.000000	0.000000	0.200000	0.000000	0.200000	0.000000	1.000000	0.000000	0.000000	
