Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-omaha-patrilocal.bttrees
Data File Name:                  ./data/bantu-omaha-patrilocal.btdata
Log File Name:                   ./output/bantu-omaha-patrilocal-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            960823146
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-omaha-patrilocal-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.521739,0.362319,0.000000,0.115942)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
46000	-63.578834	710	1	2	'0 Z 0 0 0 0 0 Z 	D	2.137235	0.000000	2.137235	2.137235	2.137235	2.137235	2.137235	0.000000	0.776818	0.207334	0.000000	0.015848	
47000	-67.245103	340	1	1	'0 Z 0 0 0 0 0 0 	D	2.795887	0.000000	2.795887	2.795887	2.795887	2.795887	2.795887	2.795887	0.695555	0.259187	0.000000	0.045257	
48000	-65.569530	812	1	2	'0 Z 0 0 0 0 0 Z 	D	2.598912	0.000000	2.598912	2.598912	2.598912	2.598912	2.598912	0.000000	0.715821	0.252570	0.000000	0.031609	
49000	-68.585322	827	1	2	'0 Z 0 0 Z 0 0 0 	D	1.893791	0.000000	1.893791	1.893791	0.000000	1.893791	1.893791	1.893791	0.785871	0.204196	0.000000	0.009932	
50000	-68.034860	802	1	4	'0 Z 0 0 Z Z Z 0 	D	2.146444	0.000000	2.146444	2.146444	0.000000	0.000000	0.000000	2.146444	0.836913	0.163087	0.000000	0.000000	
51000	-66.322813	658	1	3	'0 Z 0 0 0 0 Z Z 	D	1.917212	0.000000	1.917212	1.917212	1.917212	1.917212	0.000000	0.000000	0.841740	0.158260	0.000000	0.000000	
52000	-65.446724	850	1	2	'0 Z 0 0 0 0 0 Z 	D	2.580386	0.000000	2.580386	2.580386	2.580386	2.580386	2.580386	0.000000	0.732892	0.240158	0.000000	0.026950	
53000	-66.691950	650	1	4	'0 Z 0 0 Z 0 Z Z 	D	2.942204	0.000000	2.942204	2.942204	0.000000	2.942204	0.000000	0.000000	0.832284	0.167716	0.000000	0.000000	
54000	-66.366076	521	1	4	'0 Z 0 0 Z 0 Z Z 	D	2.610525	0.000000	2.610525	2.610525	0.000000	2.610525	0.000000	0.000000	0.830017	0.169983	0.000000	0.000000	
55000	-66.535425	333	1	4	'0 Z 0 0 0 Z Z Z 	D	2.898299	0.000000	2.898299	2.898299	2.898299	0.000000	0.000000	0.000000	0.845834	0.154166	0.000000	0.000000	
56000	-67.923098	510	1	2	'0 Z 0 0 0 0 0 Z 	D	5.185455	0.000000	5.185455	5.185455	5.185455	5.185455	5.185455	0.000000	0.574821	0.336439	0.000000	0.088741	
57000	-67.477343	538	1	4	'0 Z 0 0 Z 0 Z Z 	D	1.673347	0.000000	1.673347	1.673347	0.000000	1.673347	0.000000	0.000000	0.843905	0.156095	0.000000	0.000000	
58000	-68.140990	866	1	3	'0 Z 0 0 Z Z 0 0 	D	2.984981	0.000000	2.984981	2.984981	0.000000	0.000000	2.984981	2.984981	0.760266	0.226912	0.000000	0.012822	
59000	-70.404353	890	1	2	'0 Z 0 0 0 0 Z 0 	D	2.260440	0.000000	2.260440	2.260440	2.260440	2.260440	0.000000	2.260440	0.815541	0.179086	0.000000	0.005372	
60000	-66.460148	361	1	1	'0 Z 0 0 0 0 0 0 	D	2.666755	0.000000	2.666755	2.666755	2.666755	2.666755	2.666755	2.666755	0.683601	0.266827	0.000000	0.049572	
61000	-65.287338	615	1	2	'0 Z 0 0 0 0 0 Z 	D	2.272007	0.000000	2.272007	2.272007	2.272007	2.272007	2.272007	0.000000	0.737544	0.237724	0.000000	0.024733	
62000	-66.082473	306	1	2	'0 Z 0 0 0 0 0 Z 	D	3.590991	0.000000	3.590991	3.590991	3.590991	3.590991	3.590991	0.000000	0.640439	0.300725	0.000000	0.058836	
63000	-67.374448	325	1	3	'0 Z 0 0 Z Z 0 0 	D	1.827560	0.000000	1.827560	1.827560	0.000000	0.000000	1.827560	1.827560	0.786110	0.205239	0.000000	0.008651	
64000	-66.543544	691	1	4	'0 Z 0 0 Z 0 Z Z 	D	2.361003	0.000000	2.361003	2.361003	0.000000	2.361003	0.000000	0.000000	0.826530	0.173470	0.000000	0.000000	
65000	-65.801959	547	1	2	'0 Z 0 0 0 0 0 Z 	D	2.026790	0.000000	2.026790	2.026790	2.026790	2.026790	2.026790	0.000000	0.750606	0.227843	0.000000	0.021550	
66000	-65.553523	61	1	2	'0 Z 0 0 0 0 0 Z 	D	3.039796	0.000000	3.039796	3.039796	3.039796	3.039796	3.039796	0.000000	0.690304	0.269902	0.000000	0.039794	
67000	-65.626162	669	1	2	'0 Z 0 0 0 0 0 Z 	D	3.101725	0.000000	3.101725	3.101725	3.101725	3.101725	3.101725	0.000000	0.665065	0.285791	0.000000	0.049143	
68000	-66.468822	200	1	2	'0 Z 0 0 0 0 0 Z 	D	4.127382	0.000000	4.127382	4.127382	4.127382	4.127382	4.127382	0.000000	0.652309	0.293806	0.000000	0.053885	
69000	-67.800473	840	1	2	'0 Z 0 0 0 0 Z 0 	D	2.799354	0.000000	2.799354	2.799354	2.799354	2.799354	0.000000	2.799354	0.742226	0.238216	0.000000	0.019558	
70000	-68.380739	245	1	3	'0 Z 0 0 0 0 Z Z 	D	2.243786	0.000000	2.243786	2.243786	2.243786	2.243786	0.000000	0.000000	0.828896	0.171104	0.000000	0.000000	
71000	-64.977607	840	1	2	'0 Z 0 0 0 0 0 Z 	D	3.566889	0.000000	3.566889	3.566889	3.566889	3.566889	3.566889	0.000000	0.648097	0.296298	0.000000	0.055605	
72000	-67.023804	841	1	2	'0 Z 0 0 0 0 0 Z 	D	5.061065	0.000000	5.061065	5.061065	5.061065	5.061065	5.061065	0.000000	0.609307	0.318454	0.000000	0.072239	
73000	-65.521450	467	1	2	'0 Z 0 0 0 0 0 Z 	D	3.100935	0.000000	3.100935	3.100935	3.100935	3.100935	3.100935	0.000000	0.695721	0.266051	0.000000	0.038229	
74000	-66.932461	344	1	2	'0 Z 0 0 0 0 0 Z 	D	2.232309	0.000000	2.232309	2.232309	2.232309	2.232309	2.232309	0.000000	0.749008	0.230166	0.000000	0.020827	
75000	-67.421080	70	1	5	'0 Z 0 0 Z Z Z Z 	D	1.845869	0.000000	1.845869	1.845869	0.000000	0.000000	0.000000	0.000000	0.846859	0.153141	0.000000	0.000000	
76000	-63.946743	76	1	2	'0 Z 0 0 0 0 0 Z 	D	2.373886	0.000000	2.373886	2.373886	2.373886	2.373886	2.373886	0.000000	0.697635	0.264630	0.000000	0.037735	
77000	-67.256156	247	1	3	'0 Z 0 0 0 0 Z Z 	D	1.888610	0.000000	1.888610	1.888610	1.888610	1.888610	0.000000	0.000000	0.835820	0.164180	0.000000	0.000000	
78000	-71.110135	627	1	2	'0 Z 0 0 Z 0 0 0 	D	4.791595	0.000000	4.791595	4.791595	0.000000	4.791595	4.791595	4.791595	0.679833	0.283357	0.000000	0.036810	
79000	-67.451071	367	1	2	'0 Z 0 0 Z 0 0 0 	D	3.130104	0.000000	3.130104	3.130104	0.000000	3.130104	3.130104	3.130104	0.736449	0.243083	0.000000	0.020468	
80000	-66.570219	931	1	2	'0 Z 0 0 Z 0 0 0 	D	3.100618	0.000000	3.100618	3.100618	0.000000	3.100618	3.100618	3.100618	0.740233	0.240431	0.000000	0.019336	
