Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.bttrees
Data File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.btdata
Log File Name:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-70recon-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1177518447
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-70recon-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.242424,0.121212,0.121212,0.515152)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	1
	ANC	2	L11_Pende G61_Sangu 
Scale Tree:                      0.101827
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - exp 10.00 
        q13 - exp 10.00 
        q21 - exp 10.00 
        q24 - exp 10.00 
        q31 - exp 10.00 
        q34 - exp 10.00 
        q42 - exp 10.00 
        q43 - exp 10.00 
Node reconstruction / fossilisation:
	MRCA RecNode ANC
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RecNode - P(0,0)	RecNode - P(0,1)	RecNode - P(1,0)	RecNode - P(1,1)	
1754000	-78.222218	950	12.907627	1.127675	33.795676	15.601647	5.261305	28.655728	5.087956	4.286218	0.235333	0.119123	0.122738	0.522806	0.082351	0.069182	0.155398	0.693069	
1755000	-79.573467	62	6.500362	1.772395	6.489030	3.799126	13.542675	1.362982	1.928861	0.804565	0.229055	0.120112	0.112654	0.538179	0.009096	0.029739	0.007061	0.954104	
1756000	-76.766938	714	4.411247	0.193411	10.265864	35.433897	5.439816	31.364334	3.185085	7.843185	0.281962	0.119117	0.116651	0.482269	0.069066	0.129350	0.140552	0.661032	
1757000	-75.243590	60	10.439408	1.767936	44.182986	2.968056	3.505570	5.813786	2.139340	2.537578	0.196971	0.099755	0.127588	0.575686	0.003977	0.005274	0.068874	0.921875	
1758000	-77.907476	711	4.285206	0.759725	6.518209	5.356798	2.394163	3.731672	3.813848	2.722985	0.243309	0.125060	0.111669	0.519961	0.011696	0.048317	0.050889	0.889098	
1759000	-78.153296	303	30.253380	5.268258	32.864651	13.129241	17.187005	18.995579	4.076841	5.427888	0.242352	0.121186	0.121206	0.515256	0.218636	0.112625	0.119237	0.549502	
1760000	-73.385827	625	1.277809	1.680885	7.565427	11.175799	4.016710	8.895198	3.741002	1.860755	0.257785	0.121957	0.120357	0.499902	0.029695	0.102269	0.118612	0.749423	
1761000	-78.015039	842	6.233545	5.679657	18.922251	9.874971	11.734244	34.766481	3.638783	7.793543	0.241460	0.120893	0.121333	0.516313	0.161094	0.092822	0.130679	0.615405	
1762000	-77.496726	270	0.217294	0.381865	3.024879	2.155345	0.762896	16.348707	2.819140	6.533440	0.375212	0.147366	0.088008	0.389414	0.004172	0.018017	0.205238	0.772573	
1763000	-74.998213	499	11.587024	2.623856	14.409321	2.624914	5.794241	29.512575	2.214163	6.704166	0.232432	0.116311	0.123460	0.527797	0.036200	0.019545	0.162899	0.781356	
1764000	-74.330291	708	2.536606	0.755289	7.190200	2.218516	5.637530	5.590375	2.670186	1.989556	0.158486	0.098640	0.125998	0.616876	0.008362	0.027173	0.079025	0.885440	
1765000	-75.547473	405	6.019103	0.165814	14.452569	5.983948	1.516050	23.709603	1.821059	7.582403	0.324992	0.146236	0.100893	0.427879	0.008640	0.029775	0.182816	0.778769	
1766000	-78.742180	396	4.081109	0.225320	16.327976	13.840466	0.869347	19.293989	8.325698	6.199728	0.200316	0.114591	0.134149	0.550944	0.011890	0.050291	0.247435	0.690384	
1767000	-76.626440	448	2.516094	2.326400	3.748678	6.857482	5.705499	0.233776	1.250090	1.530781	0.296533	0.116809	0.149154	0.437503	0.009097	0.130565	0.000515	0.859824	
1768000	-75.482730	101	4.064437	0.207286	9.690236	6.568436	2.295141	8.071720	4.612447	2.893055	0.210335	0.115424	0.128687	0.545554	0.012797	0.044500	0.183649	0.759053	
1769000	-79.475928	977	14.090811	1.342771	9.379258	6.098840	10.989205	16.283079	2.009590	3.497463	0.237723	0.119789	0.121182	0.521305	0.055318	0.052231	0.108131	0.784320	
1770000	-74.966080	153	4.057129	1.086555	6.395444	7.641532	6.492009	10.057230	1.662605	2.811176	0.268426	0.124078	0.122013	0.485484	0.031398	0.074788	0.097603	0.796211	
1771000	-77.775506	192	5.741264	16.274734	10.546803	14.913816	62.396931	23.859200	2.796611	4.561785	0.242249	0.121208	0.121157	0.515387	0.203629	0.119732	0.108925	0.567714	
1772000	-78.323512	522	1.258979	0.356196	10.794297	15.043561	5.670593	31.568785	5.336343	11.050357	0.187809	0.119331	0.129550	0.563310	0.007835	0.081415	0.156115	0.754635	
1773000	-77.340638	30	5.284783	0.143810	6.948718	1.290411	8.537574	7.668004	1.666134	1.599050	0.166805	0.093276	0.121189	0.618730	0.000315	0.002646	0.042408	0.954631	
1774000	-78.377618	833	0.637633	4.059765	5.331290	24.676319	4.830828	2.647150	3.930631	1.347029	0.285965	0.113696	0.136512	0.463827	0.003218	0.150050	0.010235	0.836496	
1775000	-77.915998	397	0.780922	3.622465	1.614762	13.614602	9.850091	11.781031	7.287690	4.747764	0.266825	0.115425	0.124210	0.493541	0.012040	0.188242	0.055241	0.744478	
1776000	-74.456347	723	0.476012	0.321877	1.367024	10.427827	9.103844	1.112448	2.433856	1.768698	0.228875	0.121846	0.123866	0.525413	0.001824	0.191811	0.002679	0.803686	
1777000	-74.336846	306	12.684934	0.150120	24.891494	4.694409	3.920691	12.072685	2.399991	5.095029	0.211717	0.108992	0.127506	0.551786	0.004950	0.011252	0.145781	0.838017	
1778000	-77.229121	911	11.199656	4.430309	16.259208	41.060090	15.690225	1.871494	2.139461	4.069649	0.242492	0.121194	0.121296	0.515019	0.226191	0.125688	0.100923	0.547199	
1779000	-78.655606	106	4.282817	2.905771	22.293804	19.734155	7.812999	10.933862	4.623187	3.933585	0.233877	0.120005	0.121191	0.524927	0.065186	0.088890	0.104924	0.741000	
1780000	-76.919917	530	12.111613	4.639377	11.104345	28.223258	15.875681	6.098454	4.209971	4.452982	0.242446	0.121208	0.121229	0.515118	0.231333	0.123491	0.112692	0.532484	
1781000	-79.667947	362	13.949048	9.638518	26.567131	1.208692	8.341447	18.322880	2.252860	7.203347	0.239296	0.119133	0.121713	0.519858	0.124303	0.047784	0.135001	0.692911	
1782000	-76.944061	175	11.909511	13.882520	16.410909	23.223316	34.133626	2.836414	8.300215	1.147928	0.242152	0.121218	0.121051	0.515580	0.187732	0.121483	0.089347	0.601437	
1783000	-75.543768	911	4.645143	3.412882	2.857432	36.066453	22.944340	2.518284	7.537180	3.447865	0.239791	0.122051	0.119664	0.518494	0.102208	0.165381	0.042649	0.689762	
1784000	-75.393000	236	2.640057	0.285231	6.892699	12.235755	3.735382	31.251633	4.715160	7.001867	0.245607	0.121442	0.120699	0.512252	0.010005	0.080678	0.162850	0.746468	
1785000	-79.770592	635	0.169240	6.137530	3.222563	6.961259	5.678274	11.276139	1.632238	2.110382	0.331762	0.124640	0.122067	0.421531	0.109269	0.183710	0.115245	0.591776	
1786000	-76.929308	349	7.783786	0.231223	17.443027	5.545841	6.697856	12.883898	2.480391	2.381143	0.219360	0.113781	0.123506	0.543353	0.005470	0.019427	0.100828	0.874275	
1787000	-74.415164	219	2.398085	1.450693	1.564319	27.934308	13.635454	9.307652	6.962508	3.398097	0.264274	0.115774	0.126475	0.493477	0.050658	0.172849	0.062776	0.713717	
1788000	-76.222178	660	4.885047	2.695054	15.317699	1.165442	3.408366	18.966508	3.055849	4.830779	0.221053	0.108673	0.127655	0.542619	0.032799	0.010183	0.180303	0.776715	
1789000	-74.128627	540	1.049255	0.116556	11.571549	2.020587	0.389823	7.647727	2.030403	0.155353	0.398973	0.176566	0.092281	0.332180	0.024825	0.002904	0.923928	0.048343	
1790000	-79.834324	171	3.263687	8.609912	4.561938	12.415923	21.362492	12.636402	0.749235	5.778070	0.241945	0.121326	0.121075	0.515654	0.168887	0.142055	0.098498	0.590560	
1791000	-76.285314	779	2.133661	3.235024	8.089287	15.161367	5.742623	3.484605	2.539488	2.999750	0.237114	0.121708	0.119803	0.521375	0.030550	0.124047	0.035236	0.810167	
1792000	-74.229815	896	0.840392	0.436135	13.042249	10.895108	0.164694	15.210103	2.873889	3.438301	0.316455	0.134069	0.100835	0.448640	0.003443	0.047802	0.204916	0.743838	
1793000	-79.011981	194	1.135178	11.544594	14.496054	3.131443	14.467853	5.522603	3.321263	1.907566	0.227169	0.114236	0.116752	0.541843	0.019060	0.017641	0.032670	0.930629	
1794000	-80.361167	886	3.568491	0.341654	7.904384	5.426068	18.399803	35.306740	0.308781	4.426004	0.246536	0.123568	0.121619	0.508276	0.003582	0.026212	0.106683	0.863524	
1795000	-75.527037	931	13.048175	0.302504	18.895419	9.059773	7.309742	3.411319	3.982997	1.872986	0.235057	0.119453	0.117038	0.528452	0.040870	0.061107	0.037362	0.860661	
1796000	-77.907099	951	1.267874	4.482945	1.021280	28.600535	21.163091	7.976462	3.214919	4.319690	0.222916	0.127010	0.115018	0.535057	0.022616	0.201740	0.032819	0.742824	
1797000	-75.384594	810	0.521674	0.054092	0.947934	19.468423	14.650873	2.683151	2.422508	3.362328	0.165129	0.144532	0.093240	0.597098	0.001491	0.257974	0.003762	0.736774	
1798000	-77.250265	490	8.524630	1.939503	26.249304	27.845005	2.675550	19.516105	5.034240	3.306159	0.245442	0.121675	0.120555	0.512328	0.155122	0.107004	0.140662	0.597212	
1799000	-73.821359	536	0.483677	1.718468	7.481622	0.880472	1.355495	11.110093	2.394415	2.105289	0.273535	0.136465	0.110800	0.479200	0.021907	0.004438	0.215418	0.758237	
1800000	-78.196320	995	0.320862	15.513379	19.838260	7.503214	19.508180	15.847549	7.831611	0.065890	0.242301	0.121157	0.121197	0.515345	0.202388	0.103660	0.115743	0.578209	
1801000	-73.379454	782	1.816035	0.271475	2.788161	24.531360	8.965058	1.466419	4.319864	2.013149	0.279970	0.111178	0.139850	0.469002	0.022406	0.178593	0.009433	0.789567	
1802000	-74.409359	841	0.265103	2.103187	3.851337	7.310641	10.240914	6.966427	2.762084	2.629286	0.209857	0.125435	0.118278	0.546430	0.002077	0.078443	0.032845	0.886635	
1803000	-79.773415	265	14.073576	6.108374	12.422026	3.612492	8.158016	6.188075	0.801678	4.592503	0.226488	0.113963	0.119086	0.540464	0.047863	0.033046	0.068160	0.850931	
1804000	-77.595018	570	2.793743	1.600200	10.445766	6.794268	10.207528	30.634667	0.977251	7.369907	0.237677	0.120931	0.121791	0.519601	0.022729	0.046619	0.137261	0.793391	
1805000	-77.551544	250	0.106985	1.240549	4.781799	3.205860	1.047989	4.683839	2.229558	2.147517	0.293030	0.155031	0.092382	0.459557	0.006078	0.034396	0.084255	0.875271	
1806000	-73.524648	999	1.875529	1.149324	9.339599	7.351987	7.474743	6.932347	2.491339	2.417167	0.225386	0.119488	0.120394	0.534731	0.008626	0.060372	0.061414	0.869588	
1807000	-78.381347	579	2.653856	0.353078	7.143981	5.596742	17.125719	21.308493	1.597831	6.121178	0.159912	0.113891	0.118537	0.607660	0.004992	0.039691	0.085625	0.869692	
1808000	-77.957114	194	1.036476	3.097674	2.047757	31.484451	8.839657	0.902313	9.185425	3.287629	0.203247	0.133298	0.100828	0.562628	0.004805	0.200614	0.001913	0.792668	
1809000	-78.318951	99	6.238532	3.126371	7.221113	6.570031	25.441807	7.157109	0.209868	3.547658	0.232966	0.120135	0.117698	0.529202	0.024633	0.058126	0.031090	0.886151	
1810000	-76.792004	636	1.094446	0.478182	1.987474	5.268821	4.632250	13.022220	2.175117	3.055425	0.347613	0.111628	0.115728	0.425030	0.004619	0.061127	0.121231	0.813024	
1811000	-73.500360	261	1.596260	0.287383	0.119579	26.747822	14.610666	3.919213	5.371135	3.514425	0.230674	0.124511	0.117447	0.527368	0.022851	0.207975	0.021367	0.747806	
1812000	-78.059601	547	2.235515	3.799738	9.284704	29.522938	18.726562	3.850768	3.404173	2.440573	0.222938	0.124215	0.113052	0.539795	0.017855	0.140353	0.016345	0.825447	
1813000	-76.479379	431	3.131044	5.473325	8.733957	0.032434	7.536736	37.094536	1.240694	7.721046	0.246207	0.123563	0.120396	0.509835	0.087555	0.010677	0.156214	0.745554	
1814000	-77.763600	461	11.540447	4.201829	13.764580	5.780510	7.442415	1.454950	3.148192	1.766161	0.214406	0.114755	0.100943	0.569896	0.028574	0.048858	0.014298	0.908271	
1815000	-75.328700	710	0.836044	2.424923	6.074058	9.084656	6.575953	13.848526	2.416679	2.713499	0.306055	0.123955	0.119080	0.450910	0.052747	0.106092	0.131951	0.709211	
1816000	-76.638427	654	5.906289	0.576808	9.047315	5.463263	4.415855	18.934801	1.189878	5.885807	0.268355	0.128845	0.117134	0.485667	0.007766	0.025449	0.146942	0.819843	
1817000	-75.592198	327	6.806146	0.238320	9.713220	1.983208	0.828457	35.211551	1.824166	11.681398	0.293225	0.142943	0.106810	0.457022	0.003558	0.008136	0.192224	0.796082	
1818000	-76.535050	129	2.815335	0.529485	9.400624	2.627361	2.209499	22.526304	2.590814	10.225719	0.195106	0.106930	0.132784	0.565180	0.004532	0.010587	0.187925	0.796956	
1819000	-75.864158	125	6.553254	2.538797	23.339197	26.508273	2.943717	13.149404	6.676416	1.407043	0.242868	0.121272	0.121125	0.514735	0.172711	0.111558	0.143349	0.572383	
1820000	-73.621914	330	5.568123	1.493706	16.225712	0.451120	5.854781	3.539397	1.304841	1.578384	0.143134	0.069925	0.119098	0.667843	0.000915	0.000841	0.023547	0.974697	
1821000	-77.187314	327	1.007984	0.825020	7.447607	39.359834	1.298217	5.792117	16.814540	2.247907	0.242104	0.122488	0.116284	0.519123	0.013867	0.145173	0.113233	0.727727	
1822000	-76.006858	595	4.976838	2.892661	16.711742	5.419818	10.515293	5.997136	2.662301	2.501324	0.214766	0.112339	0.116202	0.556694	0.013985	0.036577	0.048115	0.901323	
1823000	-76.045754	118	1.686289	2.856114	8.872207	6.511670	9.302695	6.033630	2.436114	0.984709	0.243606	0.122227	0.122248	0.511919	0.018401	0.059108	0.053767	0.868724	
1824000	-74.551670	335	0.927743	0.648597	8.757383	28.322889	1.955821	18.810574	7.477836	4.176721	0.239967	0.122489	0.121474	0.516071	0.005815	0.111630	0.166993	0.715562	
1825000	-77.963526	276	6.235410	18.728247	13.478239	12.847877	20.353709	1.624419	2.831516	1.666397	0.226942	0.120449	0.112856	0.539752	0.044527	0.091299	0.019123	0.845052	
1826000	-77.529362	959	0.129498	4.610930	14.703906	3.506494	11.915728	17.932627	2.233314	3.490472	0.230029	0.115518	0.121709	0.532745	0.028563	0.019818	0.103950	0.847669	
1827000	-76.657358	519	2.607726	4.083185	0.788641	11.099852	14.566181	1.818569	2.388324	3.186357	0.236034	0.123460	0.117607	0.522900	0.041762	0.235005	0.013619	0.709615	
1828000	-76.417162	622	6.537682	0.552706	8.547369	24.287805	6.386291	19.456459	3.637626	4.882113	0.258834	0.120623	0.120385	0.500158	0.107524	0.124808	0.127557	0.640111	
1829000	-74.202333	108	1.636135	0.099366	10.812632	35.849141	0.115019	14.431572	8.663183	5.253726	0.311717	0.119022	0.104526	0.464736	0.011286	0.113040	0.195887	0.679786	
1830000	-74.860186	526	3.106916	1.475489	9.765299	1.528688	7.665287	6.876842	1.679095	1.922857	0.180236	0.094899	0.122357	0.602508	0.001237	0.003386	0.039279	0.956098	
1831000	-76.762269	829	2.064289	1.280204	5.901290	14.792676	5.473372	1.954960	1.395783	2.668533	0.261080	0.119316	0.126755	0.492849	0.009478	0.136842	0.006826	0.846854	
1832000	-75.761341	504	2.846692	0.351854	1.764305	19.147793	5.001439	6.812588	3.164193	4.793153	0.269929	0.115155	0.123964	0.490952	0.055809	0.178880	0.072569	0.692742	
1833000	-72.081122	474	1.636105	0.127099	3.420023	5.689879	4.572794	4.737319	2.209392	1.818352	0.293090	0.122270	0.134017	0.450623	0.007251	0.077912	0.058221	0.856617	
1834000	-74.752941	638	2.910759	2.316214	17.365952	1.218511	1.592232	13.963421	3.259341	2.676571	0.224811	0.110953	0.127946	0.536289	0.030329	0.008767	0.230101	0.730803	
1835000	-76.531027	492	3.909413	1.321226	15.205100	0.826864	2.512458	7.579739	4.038715	1.708200	0.205093	0.100832	0.138116	0.555959	0.014485	0.004130	0.264447	0.716938	
1836000	-79.186120	944	4.196754	3.736461	7.370184	0.645220	10.143470	4.077586	2.534868	0.733717	0.168143	0.078508	0.108507	0.644842	0.001694	0.001298	0.018300	0.978708	
1837000	-74.645768	894	3.633599	0.344895	13.456687	9.220787	4.480487	36.994360	3.601166	7.531067	0.204820	0.114634	0.128620	0.551927	0.005700	0.035021	0.170176	0.789102	
1838000	-77.104892	655	0.881515	0.637009	3.673083	32.372923	3.951582	8.514481	16.157148	4.547755	0.240131	0.121400	0.123319	0.515150	0.005222	0.166160	0.071863	0.756755	
1839000	-74.650212	325	0.501893	1.714615	7.099193	13.544103	2.140021	12.662207	4.135636	4.773541	0.291199	0.122190	0.112982	0.473629	0.017737	0.092335	0.153819	0.736109	
1840000	-78.585090	558	4.265641	11.186824	14.007275	14.199630	4.314620	8.955786	5.849766	0.066557	0.242718	0.121273	0.121223	0.514787	0.228260	0.118241	0.123292	0.530208	
1841000	-78.972705	330	0.417178	23.824090	5.051857	3.656606	22.758626	5.305740	2.145833	0.825900	0.271290	0.128051	0.132692	0.467967	0.070687	0.063663	0.050814	0.814836	
1842000	-74.857996	94	0.554521	0.888809	10.019648	0.644730	5.091975	13.518739	1.209497	2.809121	0.231019	0.114773	0.125321	0.528887	0.001308	0.000955	0.108288	0.889450	
1843000	-75.773939	8	2.422153	0.488003	13.643290	13.158692	4.708388	3.015894	2.925179	1.118856	0.239592	0.122574	0.119829	0.518005	0.005799	0.067514	0.018487	0.908200	
1844000	-77.300698	262	3.055341	3.037963	3.277635	28.061691	18.081290	10.036771	4.736863	5.258239	0.229279	0.124509	0.117603	0.528609	0.061211	0.171742	0.058748	0.708299	
1845000	-76.066991	232	9.581227	1.322994	21.119798	12.597981	2.091801	9.939267	4.860231	1.825933	0.240525	0.120690	0.121873	0.516912	0.053189	0.057314	0.205257	0.684240	
1846000	-75.007343	193	0.285244	1.321292	11.867956	1.597103	2.910046	5.061698	2.861733	1.339407	0.149501	0.081915	0.134386	0.634198	0.001150	0.002345	0.069560	0.926945	
1847000	-79.053487	867	7.228133	8.559221	10.807271	6.592672	13.031656	21.095138	3.089061	7.108500	0.240947	0.120561	0.121280	0.517212	0.190734	0.098401	0.122973	0.587892	
1848000	-72.155745	474	1.033524	0.308739	2.004212	10.715757	6.307078	16.638137	2.054914	4.213478	0.395238	0.098935	0.114749	0.391078	0.015715	0.151498	0.114249	0.718538	
1849000	-76.181122	831	1.316987	4.228927	10.741823	0.022908	10.151114	5.531256	2.276227	2.375753	0.181575	0.076672	0.114785	0.626967	0.021336	0.002762	0.065212	0.910690	
1850000	-75.724259	305	2.028298	0.112250	1.722584	17.144028	5.546191	16.233363	4.774681	7.466043	0.291780	0.112310	0.119140	0.476769	0.017824	0.169909	0.108348	0.703919	
1851000	-74.605639	375	5.984974	0.947396	10.965837	15.192149	5.600984	6.549237	3.200386	2.149001	0.252330	0.121719	0.122573	0.503378	0.085892	0.115609	0.092662	0.705837	
1852000	-79.627036	527	4.760964	21.495785	0.110673	22.513919	25.008747	3.981737	2.897929	3.189844	0.245275	0.120066	0.122721	0.511938	0.150117	0.159491	0.072504	0.617889	
1853000	-78.079226	401	2.656487	1.663072	7.650333	6.591083	8.455946	7.745817	2.841860	4.463245	0.204159	0.117808	0.118355	0.559677	0.011041	0.052061	0.060215	0.876683	
1854000	-74.237890	758	1.169604	1.598864	5.592727	13.475199	9.655390	6.808784	4.194270	2.689049	0.226408	0.123141	0.119785	0.530665	0.003132	0.104047	0.026868	0.865953	
1855000	-74.430060	805	2.278090	2.279087	8.249869	4.723531	8.559077	9.850949	2.106991	1.804648	0.248880	0.124034	0.122174	0.504912	0.020596	0.041938	0.086498	0.850968	
1856000	-77.754889	830	6.078003	2.390804	20.885700	35.551769	6.133117	21.073920	5.500326	5.619362	0.243480	0.121263	0.121106	0.514150	0.127466	0.115219	0.131703	0.625612	
1857000	-76.424245	742	26.868696	1.404079	37.076819	9.109714	1.847685	12.562103	4.323224	2.756769	0.238206	0.119463	0.122864	0.519466	0.090231	0.056007	0.189382	0.664380	
1858000	-77.391996	253	0.093884	0.551347	6.490591	7.603177	1.663554	12.390326	3.509856	0.191247	0.493701	0.132763	0.074515	0.299021	0.012861	0.014095	0.773459	0.199585	
1859000	-77.033662	932	4.628570	1.257386	1.365657	23.926231	7.888173	6.697952	1.393920	3.446465	0.259963	0.116032	0.127072	0.496934	0.147850	0.146072	0.096602	0.609475	
1860000	-79.306220	125	7.868364	0.608039	28.395663	36.676033	2.363138	5.458259	12.550856	0.784854	0.235727	0.118794	0.136417	0.509062	0.121696	0.082871	0.357213	0.438220	
1861000	-75.806876	841	3.604240	0.014768	5.304464	18.267186	2.172432	11.019615	3.474981	1.357031	0.467624	0.106147	0.095022	0.331207	0.029448	0.112568	0.211078	0.646905	
1862000	-78.161754	12	8.693124	1.091323	17.624822	1.072233	4.733686	13.614510	3.701141	5.709830	0.194322	0.097232	0.133312	0.575133	0.006574	0.003624	0.164387	0.825415	
1863000	-78.185022	685	1.773770	5.716337	24.817386	11.331417	7.317850	39.502242	4.146921	4.020578	0.241700	0.120971	0.121353	0.515977	0.140395	0.085670	0.140870	0.633065	
1864000	-73.377204	12	9.048055	0.558022	32.768675	3.194893	1.128218	9.702834	1.882752	1.208742	0.285480	0.140634	0.107450	0.466435	0.009027	0.008871	0.251312	0.730790	
1865000	-76.597360	99	9.934909	1.613461	21.096293	1.645504	5.472065	9.392753	1.918376	4.552600	0.209049	0.104952	0.125760	0.560238	0.004719	0.004365	0.089280	0.901637	
1866000	-77.540326	909	3.220207	3.271479	15.929640	6.762160	7.589826	18.698682	2.785902	1.407670	0.253443	0.124912	0.120165	0.501480	0.054429	0.049543	0.133345	0.762683	
1867000	-75.937989	155	5.357596	0.042484	22.940276	15.822619	3.173551	9.305150	2.634509	1.818433	0.277266	0.128101	0.117156	0.477477	0.016255	0.062325	0.142498	0.778922	
1868000	-74.372530	263	1.867164	0.317466	11.701180	7.440463	3.602229	13.226907	2.237488	4.734127	0.215217	0.118344	0.125918	0.540521	0.013318	0.068756	0.152566	0.765360	
1869000	-78.886968	975	3.315670	3.875251	3.088791	4.814110	26.699987	2.594261	0.400480	2.728567	0.203338	0.123135	0.102310	0.571217	0.009008	0.053738	0.009290	0.927965	
1870000	-75.468524	466	2.082807	1.214806	6.367289	0.819907	0.880316	4.774362	1.905006	0.739477	0.256067	0.132184	0.103497	0.508252	0.007083	0.002957	0.134388	0.855572	
1871000	-76.943767	795	1.180050	1.315810	12.204344	5.320832	5.774239	15.281173	3.622351	1.715221	0.203174	0.111465	0.126770	0.558591	0.008482	0.026014	0.133376	0.832129	
1872000	-75.177564	164	4.654325	0.681709	21.090689	7.612676	1.844966	12.335865	1.473702	2.436402	0.368952	0.159748	0.093165	0.378135	0.010230	0.027872	0.174926	0.786972	
1873000	-77.867147	890	2.750265	14.924611	14.343611	19.220766	17.579581	25.854703	7.186004	4.221849	0.242519	0.121222	0.121218	0.515041	0.233659	0.120289	0.120671	0.525381	
1874000	-75.907872	880	3.964575	3.390051	18.436787	2.691934	5.047670	23.254383	2.938096	6.222259	0.231942	0.115754	0.123774	0.528530	0.029013	0.013414	0.165005	0.792568	
1875000	-73.062097	883	0.327047	1.490079	9.422060	1.315040	3.578934	12.115536	2.293198	1.543362	0.229070	0.113997	0.124958	0.531974	0.007672	0.004363	0.151247	0.836719	
1876000	-77.522296	717	1.035732	1.094467	10.103339	4.397361	7.553843	8.607071	0.875942	3.493118	0.203452	0.114240	0.122676	0.559632	0.000561	0.011849	0.044763	0.942827	
1877000	-73.220477	474	3.763551	0.235717	11.099407	14.128225	3.527104	12.704359	2.230565	2.584388	0.343564	0.128921	0.109457	0.418058	0.038001	0.093698	0.142531	0.725770	
1878000	-74.382853	460	3.059747	1.323039	12.460559	17.168844	2.094594	15.263847	4.212104	3.738041	0.266890	0.123378	0.116375	0.493357	0.033136	0.088026	0.166203	0.712635	
1879000	-74.636288	563	0.709998	1.551843	7.404040	19.275210	5.050108	11.610892	3.488086	2.695509	0.297113	0.118644	0.119174	0.465069	0.019812	0.124198	0.112078	0.743913	
1880000	-74.655137	55	1.524154	0.434465	13.505696	2.071482	0.854181	28.306556	1.818656	4.386400	0.206738	0.108523	0.130536	0.554204	0.010811	0.019646	0.186745	0.782799	
1881000	-77.953024	364	8.651085	8.070005	14.374365	9.243626	5.776528	20.595472	6.000168	3.113061	0.242486	0.121239	0.121196	0.515079	0.216617	0.109631	0.128208	0.545543	
1882000	-77.314722	710	6.648825	3.296057	25.558869	0.365490	2.198323	15.894922	2.919349	6.261055	0.238052	0.118562	0.122683	0.520703	0.081604	0.024622	0.176806	0.716968	
1883000	-74.046702	251	1.972192	0.636355	10.707785	2.626388	2.135751	6.367601	1.502259	2.363484	0.290809	0.141934	0.110791	0.456465	0.000976	0.007868	0.080085	0.911071	
1884000	-73.430939	958	1.825380	0.973024	12.080191	0.241726	5.432155	1.409581	1.399309	1.382535	0.069846	0.035061	0.094262	0.800831	0.000889	0.002966	0.017763	0.978383	
1885000	-74.165262	515	1.317798	0.365957	0.472145	21.978006	9.344427	0.174164	5.829749	2.588840	0.261951	0.115204	0.128177	0.494668	0.015082	0.212933	0.001436	0.770550	
1886000	-78.177307	554	2.812701	0.614012	2.424472	22.139688	7.150216	15.819696	1.955162	3.236556	0.342027	0.105244	0.121909	0.430820	0.036828	0.153667	0.102942	0.706564	
1887000	-74.231384	464	1.158305	1.009616	8.141785	9.231549	2.131441	12.842601	3.736688	4.694311	0.259061	0.123288	0.117860	0.499792	0.010586	0.061704	0.169647	0.758063	
1888000	-79.391595	624	13.742691	6.454812	17.632876	21.940972	22.163001	8.324297	0.264778	3.869161	0.244565	0.121340	0.122192	0.511902	0.274044	0.124296	0.135457	0.466203	
1889000	-76.395236	82	0.113414	0.542237	7.393998	57.252506	0.016389	11.828208	23.434156	4.799141	0.258806	0.121201	0.113616	0.506377	0.004364	0.126074	0.229932	0.639631	
1890000	-78.789818	114	2.577406	1.725219	4.489085	8.500894	2.532464	8.114736	1.626655	1.249489	0.454916	0.125808	0.104562	0.314714	0.072063	0.116135	0.188935	0.622867	
1891000	-80.768549	631	4.826510	8.170281	7.633702	31.590218	22.597515	4.066318	3.799379	5.770707	0.238186	0.122290	0.119023	0.520501	0.132991	0.148299	0.065146	0.653565	
1892000	-73.908323	61	5.170876	0.131961	11.630263	1.331589	6.820822	10.193814	1.462680	3.680328	0.127060	0.072918	0.132659	0.667363	0.000755	0.003234	0.087176	0.908836	
1893000	-76.709277	973	12.566738	0.390088	16.057866	23.918719	8.058486	7.635135	5.180297	2.165923	0.242890	0.121211	0.121452	0.514446	0.177467	0.117645	0.105567	0.599321	
1894000	-78.712484	378	0.173871	6.207874	3.855018	1.622396	11.012637	0.304559	0.815102	2.239387	0.072109	0.101862	0.039352	0.786678	0.000025	0.004845	0.000170	0.994960	
