Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-crow-matrilineal.bttrees
Data File Name:                  ./data/austronesian-crow-matrilineal.btdata
Log File Name:                   ./output/austronesian-crow-matrilineal-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            196867328
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-crow-matrilineal-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.811765,0.117647,0.023529,0.047059)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000086
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       85
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
110000	-51.085495	337	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	22.067093	22.067093	22.067093	22.067093	22.067093	0.000000	0.759050	0.034251	0.206698	
111000	-49.644187	292	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	35.654995	35.654995	35.654995	35.654995	35.654995	0.000000	0.740422	0.047884	0.211694	
112000	-50.254085	175	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	30.144294	30.144294	30.144294	30.144294	30.144294	0.000000	0.770822	0.030626	0.198552	
113000	-49.481100	114	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	28.380775	28.380775	28.380775	28.380775	28.380775	0.000000	0.757519	0.036591	0.205890	
114000	-49.880465	374	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	24.982833	24.982833	24.982833	24.982833	24.982833	0.000000	0.736351	0.046578	0.217071	
115000	-50.802783	663	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	21.482180	21.482180	21.482180	21.482180	21.482180	0.000000	0.711981	0.061223	0.226796	
116000	-50.224814	744	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	23.973537	23.973537	23.973537	23.973537	23.973537	0.000000	0.717203	0.059312	0.223485	
117000	-49.406710	95	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	30.482653	30.482653	30.482653	30.482653	30.482653	0.000000	0.707955	0.064005	0.228040	
118000	-52.077082	200	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	17.489800	17.489800	17.489800	17.489800	17.489800	0.000000	0.667312	0.072060	0.260628	
119000	-48.945750	593	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	24.518290	24.518290	24.518290	24.518290	24.518290	0.000000	0.745124	0.039015	0.215860	
120000	-49.029488	15	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	27.527218	27.527218	27.527218	27.527218	27.527218	0.000000	0.730112	0.051913	0.217976	
121000	-49.849148	269	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	27.459389	27.459389	27.459389	27.459389	27.459389	0.000000	0.754148	0.036049	0.209803	
122000	-48.659898	522	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	28.506920	28.506920	28.506920	28.506920	28.506920	0.000000	0.722534	0.056844	0.220622	
123000	-49.415156	563	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	24.630318	24.630318	24.630318	24.630318	24.630318	0.000000	0.709460	0.063303	0.227237	
124000	-49.182826	390	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	29.515855	29.515855	29.515855	29.515855	29.515855	0.000000	0.728907	0.053329	0.217765	
125000	-49.345835	235	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	25.532281	25.532281	25.532281	25.532281	25.532281	0.000000	0.708181	0.063851	0.227967	
126000	-49.183991	875	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	27.434002	27.434002	27.434002	27.434002	27.434002	0.000000	0.711324	0.062582	0.226094	
127000	-49.973221	563	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	22.490428	22.490428	22.490428	22.490428	22.490428	0.000000	0.704300	0.065635	0.230066	
128000	-50.849129	446	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	20.598768	20.598768	20.598768	20.598768	20.598768	0.000000	0.718905	0.050282	0.230813	
129000	-49.544531	286	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	32.834122	32.834122	32.834122	32.834122	32.834122	0.000000	0.723491	0.056562	0.219947	
130000	-49.008596	257	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	31.432551	31.432551	31.432551	31.432551	31.432551	0.000000	0.713456	0.061558	0.224986	
131000	-49.568469	584	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	33.348678	33.348678	33.348678	33.348678	33.348678	0.000000	0.711838	0.062165	0.225997	
132000	-49.458525	502	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	28.758635	28.758635	28.758635	28.758635	28.758635	0.000000	0.756319	0.035380	0.208301	
