Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-uni.localresidence.bttrees
Data File Name:                  ./data/bantu-iroquois-uni.localresidence.btdata
Log File Name:                   ./output/bantu-iroquois-uni.localresidence-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4190305680
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-iroquois-uni.localresidence-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.057971,0.304348,0.072464,0.565217)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
59000	-70.012204	700	1	0	'0 0 0 0 	0.928756	0.928756	0.928756	0.928756	0.038909	0.557049	0.018142	0.385899	
60000	-71.759050	124	1	0	'0 0 0 0 	0.812473	0.812473	0.812473	0.812473	0.048208	0.642280	0.014884	0.294627	
61000	-69.341468	289	1	0	'0 0 0 0 	1.297083	1.297083	1.297083	1.297083	0.034808	0.432152	0.027412	0.505628	
62000	-71.213862	413	1	0	'0 0 0 0 	1.574330	1.574330	1.574330	1.574330	0.034399	0.350484	0.038117	0.577000	
63000	-70.387562	316	1	0	'0 0 0 0 	1.339436	1.339436	1.339436	1.339436	0.040745	0.413120	0.033998	0.512137	
64000	-69.701547	536	1	0	'0 0 0 0 	1.041631	1.041631	1.041631	1.041631	0.041378	0.500096	0.024189	0.434337	
65000	-70.165992	111	1	0	'0 0 0 0 	1.419618	1.419618	1.419618	1.419618	0.036606	0.395054	0.033366	0.534974	
66000	-71.747252	804	1	0	'0 0 0 0 	1.755314	1.755314	1.755314	1.755314	0.033619	0.348033	0.037749	0.580598	
67000	-68.539136	551	1	0	'0 0 0 0 	1.352256	1.352256	1.352256	1.352256	0.031880	0.426001	0.025997	0.516122	
68000	-69.828415	978	1	0	'0 0 0 0 	0.850122	0.850122	0.850122	0.850122	0.043548	0.615614	0.015491	0.325347	
69000	-70.383722	775	1	0	'0 0 0 0 	1.442674	1.442674	1.442674	1.442674	0.036486	0.466403	0.024865	0.472246	
70000	-70.709859	567	1	0	'0 0 0 0 	1.563123	1.563123	1.563123	1.563123	0.031055	0.370239	0.031995	0.566711	
71000	-70.825355	416	1	0	'0 0 0 0 	1.708792	1.708792	1.708792	1.708792	0.038190	0.335587	0.044554	0.581669	
72000	-69.041681	551	1	0	'0 0 0 0 	1.585966	1.585966	1.585966	1.585966	0.031386	0.377338	0.031347	0.559929	
73000	-71.078043	180	1	0	'0 0 0 0 	1.096818	1.096818	1.096818	1.096818	0.041177	0.415623	0.033958	0.509242	
74000	-68.536371	551	1	0	'0 0 0 0 	1.106180	1.106180	1.106180	1.106180	0.033701	0.501504	0.020113	0.444682	
75000	-71.006082	575	1	0	'0 0 0 0 	1.790338	1.790338	1.790338	1.790338	0.032957	0.367614	0.034113	0.565316	
76000	-67.956702	827	1	0	'0 0 0 0 	1.480963	1.480963	1.480963	1.480963	0.036842	0.392966	0.033846	0.536347	
77000	-68.920332	330	1	0	'0 0 0 0 	0.928280	0.928280	0.928280	0.928280	0.044859	0.599647	0.017042	0.338453	
78000	-70.073717	730	1	0	'0 0 0 0 	1.527080	1.527080	1.527080	1.527080	0.036318	0.426088	0.029168	0.508426	
79000	-69.395089	294	1	0	'0 0 0 0 	1.382155	1.382155	1.382155	1.382155	0.034256	0.400064	0.030825	0.534855	
80000	-69.565591	406	1	0	'0 0 0 0 	1.146863	1.146863	1.146863	1.146863	0.042640	0.460233	0.029181	0.467945	
81000	-70.199436	729	1	0	'0 0 0 0 	0.966172	0.966172	0.966172	0.966172	0.039084	0.512203	0.021920	0.426794	
82000	-71.770395	139	1	0	'0 0 0 0 	0.943969	0.943969	0.943969	0.943969	0.041993	0.542554	0.020572	0.394881	
83000	-71.027996	181	1	0	'0 0 0 0 	0.883863	0.883863	0.883863	0.883863	0.035655	0.503122	0.020998	0.440225	
84000	-70.883139	488	1	0	'0 0 0 0 	1.160140	1.160140	1.160140	1.160140	0.031143	0.527363	0.016878	0.424616	
85000	-69.931848	925	1	0	'0 0 0 0 	1.409008	1.409008	1.409008	1.409008	0.034617	0.429826	0.027539	0.508018	
86000	-69.979225	99	1	0	'0 0 0 0 	1.432762	1.432762	1.432762	1.432762	0.041680	0.384580	0.039007	0.534733	
87000	-71.041270	629	1	0	'0 0 0 0 	1.223470	1.223470	1.223470	1.223470	0.039194	0.382756	0.037272	0.540778	
88000	-69.859471	757	1	0	'0 0 0 0 	1.249987	1.249987	1.249987	1.249987	0.038662	0.477429	0.025013	0.458896	
89000	-68.010843	516	1	0	'0 0 0 0 	1.177557	1.177557	1.177557	1.177557	0.035121	0.443998	0.026331	0.494550	
90000	-71.612586	518	1	0	'0 0 0 0 	1.000578	1.000578	1.000578	1.000578	0.039572	0.541372	0.019650	0.399405	
91000	-69.526366	733	1	0	'0 0 0 0 	1.054907	1.054907	1.054907	1.054907	0.040372	0.510693	0.022681	0.426255	
92000	-71.018341	970	1	0	'0 0 0 0 	1.771709	1.771709	1.771709	1.771709	0.032818	0.375535	0.032867	0.558780	
93000	-68.398455	500	1	0	'0 0 0 0 	1.348008	1.348008	1.348008	1.348008	0.041473	0.391542	0.037732	0.529252	
94000	-70.721729	40	1	0	'0 0 0 0 	1.873223	1.873223	1.873223	1.873223	0.030626	0.309081	0.041284	0.619008	
95000	-72.370046	869	1	0	'0 0 0 0 	0.720971	0.720971	0.720971	0.720971	0.045566	0.710273	0.010106	0.234054	
96000	-69.634387	50	1	0	'0 0 0 0 	1.237111	1.237111	1.237111	1.237111	0.034133	0.420097	0.028299	0.517470	
97000	-69.134271	130	1	0	'0 0 0 0 	1.078939	1.078939	1.078939	1.078939	0.047039	0.489480	0.028158	0.435323	
98000	-67.933552	643	2	0	'0 0 1 1 	2.360229	2.360229	0.842421	0.842421	0.022510	0.328681	0.028589	0.620220	
99000	-70.513883	873	1	0	'0 0 0 0 	1.705424	1.705424	1.705424	1.705424	0.035525	0.398581	0.032027	0.533867	
100000	-71.085529	469	1	0	'0 0 0 0 	0.845490	0.845490	0.845490	0.845490	0.028398	0.552306	0.014026	0.405271	
101000	-69.844608	409	1	0	'0 0 0 0 	0.908841	0.908841	0.908841	0.908841	0.041857	0.584009	0.017218	0.356916	
102000	-71.198302	869	1	0	'0 0 0 0 	2.176055	2.176055	2.176055	2.176055	0.035827	0.322151	0.044711	0.597311	
103000	-69.061884	115	1	0	'0 0 0 0 	1.267792	1.267792	1.267792	1.267792	0.039127	0.449416	0.028312	0.483145	
104000	-71.998553	818	1	0	'0 0 0 0 	0.924234	0.924234	0.924234	0.924234	0.034758	0.544405	0.017339	0.403498	
105000	-70.764252	18	2	0	'0 0 1 1 	3.002802	3.002802	0.773508	0.773508	0.021309	0.314433	0.028978	0.635281	
106000	-69.887382	865	1	0	'0 0 0 0 	1.075349	1.075349	1.075349	1.075349	0.045347	0.468717	0.029709	0.456227	
107000	-69.848378	854	1	0	'0 0 0 0 	1.064604	1.064604	1.064604	1.064604	0.045824	0.477764	0.028890	0.447522	
108000	-69.272942	328	1	0	'0 0 0 0 	1.418770	1.418770	1.418770	1.418770	0.038857	0.435885	0.029732	0.495526	
109000	-70.704597	793	1	0	'0 0 0 0 	1.361489	1.361489	1.361489	1.361489	0.037001	0.418698	0.030558	0.513742	
110000	-70.391843	741	1	0	'0 0 0 0 	1.800821	1.800821	1.800821	1.800821	0.035487	0.332733	0.042315	0.589465	
111000	-70.991465	950	1	0	'0 0 0 0 	1.093159	1.093159	1.093159	1.093159	0.038019	0.527222	0.020125	0.414634	
112000	-68.827644	694	1	0	'0 0 0 0 	1.297090	1.297090	1.297090	1.297090	0.045743	0.479879	0.028600	0.445778	
113000	-68.412518	764	1	0	'0 0 0 0 	1.286705	1.286705	1.286705	1.286705	0.035180	0.407870	0.030559	0.526391	
114000	-69.748041	595	1	0	'0 0 0 0 	1.436567	1.436567	1.436567	1.436567	0.037003	0.360450	0.038943	0.563603	
115000	-72.496086	466	1	0	'0 0 0 0 	2.143665	2.143665	2.143665	2.143665	0.041128	0.315888	0.051807	0.591177	
116000	-70.238868	465	1	0	'0 0 0 0 	1.122434	1.122434	1.122434	1.122434	0.034185	0.472289	0.022927	0.470600	
117000	-70.953795	490	1	0	'0 0 0 0 	1.682739	1.682739	1.682739	1.682739	0.033383	0.343716	0.038221	0.584679	
