Options:
Model:                           MultiState
Tree File Name:                  data/bantu.bttrees
Data File Name:                  data/bantu.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/bantu/05-Sep-13_05.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2415039215
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/bantu/05-Sep-13_05.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     42
Base frequency (PI's):           None
Character Symbols:               1,2,4,5,6,7,8
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q16                          RJ MCMC
    q17                          RJ MCMC
    q18                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q25                          RJ MCMC
    q26                          RJ MCMC
    q27                          RJ MCMC
    q28                          RJ MCMC
    q41                          RJ MCMC
    q42                          RJ MCMC
    q45                          RJ MCMC
    q46                          RJ MCMC
    q47                          RJ MCMC
    q48                          RJ MCMC
    q51                          RJ MCMC
    q52                          RJ MCMC
    q54                          RJ MCMC
    q56                          RJ MCMC
    q57                          RJ MCMC
    q58                          RJ MCMC
    q61                          RJ MCMC
    q62                          RJ MCMC
    q64                          RJ MCMC
    q65                          RJ MCMC
    q67                          RJ MCMC
    q68                          RJ MCMC
    q71                          RJ MCMC
    q72                          RJ MCMC
    q74                          RJ MCMC
    q75                          RJ MCMC
    q76                          RJ MCMC
    q78                          RJ MCMC
    q81                          RJ MCMC
    q82                          RJ MCMC
    q84                          RJ MCMC
    q85                          RJ MCMC
    q86                          RJ MCMC
    q87                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     7
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q12	q14	q15	q16	q17	q18	q21	q24	q25	q26	q27	q28	q41	q42	q45	q46	q47	q48	q51	q52	q54	q56	q57	q58	q61	q62	q64	q65	q67	q68	q71	q72	q74	q75	q76	q78	q81	q82	q84	q85	q86	q87	Root P(1)	Root P(2)	Root P(4)	Root P(5)	Root P(6)	Root P(7)	Root P(8)	
29000	-86.382029	492	2	16	'1 Z Z Z 1 Z Z 1 0 1 1 Z 1 0 1 Z 1 1 Z Z 1 1 1 Z Z 1 Z 0 1 Z Z 1 0 0 Z 1 1 1 1 1 Z 1 	0.780064	0.000000	0.000000	0.000000	0.780064	0.000000	0.000000	0.780064	10.368467	0.780064	0.780064	0.000000	0.780064	10.368467	0.780064	0.000000	0.780064	0.780064	0.000000	0.000000	0.780064	0.780064	0.780064	0.000000	0.000000	0.780064	0.000000	10.368467	0.780064	0.000000	0.000000	0.780064	10.368467	10.368467	0.000000	0.780064	0.780064	0.780064	0.780064	0.780064	0.000000	0.780064	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
30000	-87.687864	533	2	15	'1 Z Z 1 1 Z Z 1 0 1 1 1 1 0 1 Z 1 1 Z Z 1 1 1 Z Z Z 1 0 Z Z Z Z 0 0 1 1 1 1 1 1 Z 1 	1.190697	0.000000	0.000000	1.190697	1.190697	0.000000	0.000000	1.190697	20.326158	1.190697	1.190697	1.190697	1.190697	20.326158	1.190697	0.000000	1.190697	1.190697	0.000000	0.000000	1.190697	1.190697	1.190697	0.000000	0.000000	0.000000	1.190697	20.326158	0.000000	0.000000	0.000000	0.000000	20.326158	20.326158	1.190697	1.190697	1.190697	1.190697	1.190697	1.190697	0.000000	1.190697	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
31000	-83.261091	721	2	14	'1 1 Z 1 Z 1 Z 1 0 1 1 Z 1 1 1 1 1 Z Z Z 1 1 1 Z Z Z 1 0 Z 1 Z 1 1 0 1 1 1 1 1 Z Z 1 	2.802711	2.802711	0.000000	2.802711	0.000000	2.802711	0.000000	2.802711	32.600415	2.802711	2.802711	0.000000	2.802711	2.802711	2.802711	2.802711	2.802711	0.000000	0.000000	0.000000	2.802711	2.802711	2.802711	0.000000	0.000000	0.000000	2.802711	32.600415	0.000000	2.802711	0.000000	2.802711	2.802711	32.600415	2.802711	2.802711	2.802711	2.802711	2.802711	0.000000	0.000000	2.802711	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
32000	-85.672563	800	2	4	'1 1 1 1 Z 1 1 1 0 1 1 1 1 1 1 1 1 1 Z 1 1 1 1 1 Z Z 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 	1.282916	1.282916	1.282916	1.282916	0.000000	1.282916	1.282916	1.282916	33.849179	1.282916	1.282916	1.282916	1.282916	1.282916	1.282916	1.282916	1.282916	1.282916	0.000000	1.282916	1.282916	1.282916	1.282916	1.282916	0.000000	0.000000	1.282916	33.849179	1.282916	1.282916	1.282916	1.282916	1.282916	33.849179	1.282916	1.282916	1.282916	1.282916	1.282916	33.849179	1.282916	1.282916	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
33000	-86.809423	176	2	10	'Z 1 1 1 1 1 1 Z 0 1 Z Z Z 1 1 1 1 1 Z 1 1 1 Z Z 1 1 1 0 1 1 1 Z 1 0 1 1 Z 1 0 0 1 1 	0.000000	4.487413	4.487413	4.487413	4.487413	4.487413	4.487413	0.000000	22.750540	4.487413	0.000000	0.000000	0.000000	4.487413	4.487413	4.487413	4.487413	4.487413	0.000000	4.487413	4.487413	4.487413	0.000000	0.000000	4.487413	4.487413	4.487413	22.750540	4.487413	4.487413	4.487413	0.000000	4.487413	22.750540	4.487413	4.487413	0.000000	4.487413	22.750540	22.750540	4.487413	4.487413	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
34000	-84.165721	777	2	10	'Z 1 1 1 1 1 0 Z 0 1 1 1 Z Z 1 1 1 1 Z 1 1 1 Z Z 1 1 1 0 1 1 Z Z 1 0 1 1 1 1 1 0 Z 1 	0.000000	1.079454	1.079454	1.079454	1.079454	1.079454	7.401436	0.000000	7.401436	1.079454	1.079454	1.079454	0.000000	0.000000	1.079454	1.079454	1.079454	1.079454	0.000000	1.079454	1.079454	1.079454	0.000000	0.000000	1.079454	1.079454	1.079454	7.401436	1.079454	1.079454	0.000000	0.000000	1.079454	7.401436	1.079454	1.079454	1.079454	1.079454	1.079454	7.401436	0.000000	1.079454	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
35000	-86.558537	136	2	15	'Z Z Z 0 0 Z Z 1 1 0 0 1 0 Z 0 0 0 0 Z 0 0 0 Z Z Z 0 0 1 0 Z Z 0 Z 1 0 Z 1 0 0 1 Z 0 	0.000000	0.000000	0.000000	0.184693	0.184693	0.000000	0.000000	3.064530	3.064530	0.184693	0.184693	3.064530	0.184693	0.000000	0.184693	0.184693	0.184693	0.184693	0.000000	0.184693	0.184693	0.184693	0.000000	0.000000	0.000000	0.184693	0.184693	3.064530	0.184693	0.000000	0.000000	0.184693	0.000000	3.064530	0.184693	0.000000	3.064530	0.184693	0.184693	3.064530	0.000000	0.184693	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
36000	-81.891045	865	2	19	'Z 0 0 Z 0 Z 0 1 Z Z 0 1 0 Z 0 0 0 Z Z Z 0 0 Z Z Z 0 Z 1 Z 0 Z 0 Z 1 Z Z 0 1 1 Z 1 0 	0.000000	0.821333	0.821333	0.000000	0.821333	0.000000	0.821333	5.136187	0.000000	0.000000	0.821333	5.136187	0.821333	0.000000	0.821333	0.821333	0.821333	0.000000	0.000000	0.000000	0.821333	0.821333	0.000000	0.000000	0.000000	0.821333	0.000000	5.136187	0.000000	0.821333	0.000000	0.821333	0.000000	5.136187	0.000000	0.000000	0.821333	5.136187	5.136187	0.000000	5.136187	0.821333	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
37000	-81.927752	83	2	19	'Z 1 Z 1 Z Z 1 0 Z 1 1 0 Z Z 1 1 1 Z Z Z Z 1 Z Z Z 0 Z 0 1 1 1 1 Z 0 Z Z 1 0 0 Z 0 1 	0.000000	1.230582	0.000000	1.230582	0.000000	0.000000	1.230582	5.208071	0.000000	1.230582	1.230582	5.208071	0.000000	0.000000	1.230582	1.230582	1.230582	0.000000	0.000000	0.000000	0.000000	1.230582	0.000000	0.000000	0.000000	5.208071	0.000000	5.208071	1.230582	1.230582	1.230582	1.230582	0.000000	5.208071	0.000000	0.000000	1.230582	5.208071	5.208071	0.000000	5.208071	1.230582	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
38000	-84.465526	270	2	18	'1 1 Z 1 Z 1 1 0 1 Z 1 0 Z 1 1 1 Z 1 Z Z Z 1 Z Z Z 0 Z 0 Z 1 Z 1 Z 0 Z Z 1 0 0 Z 0 1 	1.505013	1.505013	0.000000	1.505013	0.000000	1.505013	1.505013	5.272586	1.505013	0.000000	1.505013	5.272586	0.000000	1.505013	1.505013	1.505013	0.000000	1.505013	0.000000	0.000000	0.000000	1.505013	0.000000	0.000000	0.000000	5.272586	0.000000	5.272586	0.000000	1.505013	0.000000	1.505013	0.000000	5.272586	0.000000	0.000000	1.505013	5.272586	5.272586	0.000000	5.272586	1.505013	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
39000	-89.509576	791	1	15	'Z 0 0 0 Z 0 0 0 0 0 0 0 0 Z 0 0 0 Z Z Z Z 0 Z Z Z 0 0 0 0 Z Z Z Z 0 0 0 0 0 0 Z 0 0 	0.000000	8.316829	8.316829	8.316829	0.000000	8.316829	8.316829	8.316829	8.316829	8.316829	8.316829	8.316829	8.316829	0.000000	8.316829	8.316829	8.316829	0.000000	0.000000	0.000000	0.000000	8.316829	0.000000	0.000000	0.000000	8.316829	8.316829	8.316829	8.316829	0.000000	0.000000	0.000000	0.000000	8.316829	8.316829	8.316829	8.316829	8.316829	8.316829	0.000000	8.316829	8.316829	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
40000	-87.733564	601	1	21	'Z Z Z 0 Z 0 0 0 0 0 0 0 Z Z 0 0 Z Z Z Z Z 0 Z Z Z 0 0 0 Z Z Z Z 0 Z 0 0 0 0 0 Z 0 Z 	0.000000	0.000000	0.000000	4.305290	0.000000	4.305290	4.305290	4.305290	4.305290	4.305290	4.305290	4.305290	0.000000	0.000000	4.305290	4.305290	0.000000	0.000000	0.000000	0.000000	0.000000	4.305290	0.000000	0.000000	0.000000	4.305290	4.305290	4.305290	0.000000	0.000000	0.000000	0.000000	4.305290	0.000000	4.305290	4.305290	4.305290	4.305290	4.305290	0.000000	4.305290	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
41000	-88.070987	615	1	18	'Z Z 0 0 Z Z 0 Z 0 0 0 0 Z Z 0 0 0 Z Z Z Z 0 Z Z Z 0 0 0 Z 0 Z 0 0 Z Z 0 0 0 0 0 0 0 	0.000000	0.000000	7.257712	7.257712	0.000000	0.000000	7.257712	0.000000	7.257712	7.257712	7.257712	7.257712	0.000000	0.000000	7.257712	7.257712	7.257712	0.000000	0.000000	0.000000	0.000000	7.257712	0.000000	0.000000	0.000000	7.257712	7.257712	7.257712	0.000000	7.257712	0.000000	7.257712	7.257712	0.000000	0.000000	7.257712	7.257712	7.257712	7.257712	7.257712	7.257712	7.257712	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
42000	-83.153386	298	1	19	'Z Z 0 0 Z 0 Z 0 0 Z Z 0 Z Z 0 0 Z Z Z Z Z 0 Z Z 0 0 0 0 0 0 0 Z Z 0 Z 0 Z 0 0 0 0 0 	0.000000	0.000000	0.059409	0.059409	0.000000	0.059409	0.000000	0.059409	0.059409	0.000000	0.000000	0.059409	0.000000	0.000000	0.059409	0.059409	0.000000	0.000000	0.000000	0.000000	0.000000	0.059409	0.000000	0.000000	0.059409	0.059409	0.059409	0.059409	0.059409	0.059409	0.059409	0.000000	0.000000	0.059409	0.000000	0.059409	0.000000	0.059409	0.059409	0.059409	0.059409	0.059409	0.142775	0.142930	0.142928	0.142998	0.142826	0.142702	0.142840	
