Options:
Model:                           MultiState
Tree File Name:                  data/bantu.bttrees
Data File Name:                  data/bantu.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/bantu/09-Aug-15_42.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3885408078
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/bantu/09-Aug-15_42.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     42
Base frequency (PI's):           None
Character Symbols:               1,2,4,5,6,7,8
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q16                          RJ MCMC
    q17                          RJ MCMC
    q18                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q25                          RJ MCMC
    q26                          RJ MCMC
    q27                          RJ MCMC
    q28                          RJ MCMC
    q41                          RJ MCMC
    q42                          RJ MCMC
    q45                          RJ MCMC
    q46                          RJ MCMC
    q47                          RJ MCMC
    q48                          RJ MCMC
    q51                          RJ MCMC
    q52                          RJ MCMC
    q54                          RJ MCMC
    q56                          RJ MCMC
    q57                          RJ MCMC
    q58                          RJ MCMC
    q61                          RJ MCMC
    q62                          RJ MCMC
    q64                          RJ MCMC
    q65                          RJ MCMC
    q67                          RJ MCMC
    q68                          RJ MCMC
    q71                          RJ MCMC
    q72                          RJ MCMC
    q74                          RJ MCMC
    q75                          RJ MCMC
    q76                          RJ MCMC
    q78                          RJ MCMC
    q81                          RJ MCMC
    q82                          RJ MCMC
    q84                          RJ MCMC
    q85                          RJ MCMC
    q86                          RJ MCMC
    q87                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     7
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q12	q14	q15	q16	q17	q18	q21	q24	q25	q26	q27	q28	q41	q42	q45	q46	q47	q48	q51	q52	q54	q56	q57	q58	q61	q62	q64	q65	q67	q68	q71	q72	q74	q75	q76	q78	q81	q82	q84	q85	q86	q87	Root P(1)	Root P(2)	Root P(4)	Root P(5)	Root P(6)	Root P(7)	Root P(8)	
21000	-87.010334	532	2	13	'1 1 Z 1 1 0 Z 1 0 1 1 1 Z 0 Z 1 0 1 0 0 Z Z Z Z Z Z 0 1 1 Z Z 0 0 1 1 1 Z 0 1 1 0 0 	30.506825	30.506825	0.000000	30.506825	30.506825	4.147553	0.000000	30.506825	4.147553	30.506825	30.506825	30.506825	0.000000	4.147553	0.000000	30.506825	4.147553	30.506825	4.147553	4.147553	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.147553	30.506825	30.506825	0.000000	0.000000	4.147553	4.147553	30.506825	30.506825	30.506825	0.000000	4.147553	30.506825	30.506825	4.147553	4.147553	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
22000	-83.941237	71	2	17	'1 1 Z 1 1 Z Z 1 0 1 1 1 Z Z Z 1 Z 1 0 Z Z Z Z Z Z Z 0 1 1 Z Z 0 1 1 1 1 Z 0 1 1 0 0 	3.580681	3.580681	0.000000	3.580681	3.580681	0.000000	0.000000	3.580681	0.765658	3.580681	3.580681	3.580681	0.000000	0.000000	0.000000	3.580681	0.000000	3.580681	0.765658	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.765658	3.580681	3.580681	0.000000	0.000000	0.765658	3.580681	3.580681	3.580681	3.580681	0.000000	0.765658	3.580681	3.580681	0.765658	0.765658	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
23000	-89.633439	569	1	13	'Z 0 0 0 0 Z 0 0 0 0 0 0 0 Z Z 0 0 0 0 Z Z Z Z Z Z 0 Z 0 0 Z Z 0 0 0 0 0 0 0 0 0 0 0 	0.000000	5.182242	5.182242	5.182242	5.182242	0.000000	5.182242	5.182242	5.182242	5.182242	5.182242	5.182242	5.182242	0.000000	0.000000	5.182242	5.182242	5.182242	5.182242	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.182242	0.000000	5.182242	5.182242	0.000000	0.000000	5.182242	5.182242	5.182242	5.182242	5.182242	5.182242	5.182242	5.182242	5.182242	5.182242	5.182242	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
24000	-87.290894	41	1	14	'0 0 0 0 Z 0 0 0 0 0 0 Z Z Z 0 0 0 Z 0 Z Z Z Z Z 0 0 0 0 0 Z Z Z 0 0 0 0 0 0 0 0 Z 0 	11.379750	11.379750	11.379750	11.379750	0.000000	11.379750	11.379750	11.379750	11.379750	11.379750	11.379750	0.000000	0.000000	0.000000	11.379750	11.379750	11.379750	0.000000	11.379750	0.000000	0.000000	0.000000	0.000000	0.000000	11.379750	11.379750	11.379750	11.379750	11.379750	0.000000	0.000000	0.000000	11.379750	11.379750	11.379750	11.379750	11.379750	11.379750	11.379750	11.379750	0.000000	11.379750	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
25000	-85.631886	19	2	17	'1 1 0 0 Z 0 1 0 Z 1 1 Z Z Z 1 0 Z Z 0 Z Z Z Z Z 0 0 0 1 0 Z Z 1 0 0 0 Z 1 Z 1 Z 0 1 	6.158071	6.158071	1.268092	1.268092	0.000000	1.268092	6.158071	1.268092	0.000000	6.158071	6.158071	0.000000	0.000000	0.000000	6.158071	1.268092	0.000000	0.000000	1.268092	0.000000	0.000000	0.000000	0.000000	0.000000	1.268092	1.268092	1.268092	6.158071	1.268092	0.000000	0.000000	6.158071	1.268092	1.268092	1.268092	0.000000	6.158071	0.000000	6.158071	0.000000	1.268092	6.158071	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
26000	-82.584226	907	2	18	'Z 0 0 0 Z 1 1 0 Z Z Z Z Z Z 1 0 0 Z 1 Z Z Z Z Z 1 1 0 0 1 Z 1 0 0 0 0 0 0 Z Z 1 0 Z 	0.000000	8.430682	8.430682	8.430682	0.000000	2.731139	2.731139	8.430682	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.731139	8.430682	8.430682	0.000000	2.731139	0.000000	0.000000	0.000000	0.000000	0.000000	2.731139	2.731139	8.430682	8.430682	2.731139	0.000000	2.731139	8.430682	8.430682	8.430682	8.430682	8.430682	8.430682	0.000000	0.000000	2.731139	8.430682	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
27000	-84.438073	572	1	18	'Z 0 0 0 0 0 0 0 Z 0 0 Z Z Z Z Z 0 Z 0 Z Z Z Z Z 0 0 Z 0 0 Z 0 Z 0 0 0 0 Z Z 0 0 0 0 	0.000000	0.051027	0.051027	0.051027	0.051027	0.051027	0.051027	0.051027	0.000000	0.051027	0.051027	0.000000	0.000000	0.000000	0.000000	0.000000	0.051027	0.000000	0.051027	0.000000	0.000000	0.000000	0.000000	0.000000	0.051027	0.051027	0.000000	0.051027	0.051027	0.000000	0.051027	0.000000	0.051027	0.051027	0.051027	0.051027	0.000000	0.000000	0.051027	0.051027	0.051027	0.051027	0.143622	0.138937	0.127521	0.156513	0.146164	0.143622	0.143622	
28000	-89.356666	905	1	21	'Z 0 0 0 Z Z 0 0 0 0 0 0 Z 0 Z Z 0 0 0 Z Z Z Z Z 0 Z Z 0 Z Z Z Z 0 0 0 Z Z Z 0 Z 0 0 	0.000000	0.246276	0.246276	0.246276	0.000000	0.000000	0.246276	0.246276	0.246276	0.246276	0.246276	0.246276	0.000000	0.246276	0.000000	0.000000	0.246276	0.246276	0.246276	0.000000	0.000000	0.000000	0.000000	0.000000	0.246276	0.000000	0.000000	0.246276	0.000000	0.000000	0.000000	0.000000	0.246276	0.246276	0.246276	0.000000	0.000000	0.000000	0.246276	0.000000	0.246276	0.246276	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
29000	-88.652019	235	1	26	'Z 0 0 0 Z Z Z 0 0 0 Z Z Z 0 Z Z 0 0 0 Z Z Z Z Z Z Z Z 0 Z Z Z 0 0 0 Z Z Z Z 0 0 Z Z 	0.000000	14.359290	14.359290	14.359290	0.000000	0.000000	0.000000	14.359290	14.359290	14.359290	0.000000	0.000000	0.000000	14.359290	0.000000	0.000000	14.359290	14.359290	14.359290	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14.359290	0.000000	0.000000	0.000000	14.359290	14.359290	14.359290	0.000000	0.000000	0.000000	0.000000	14.359290	14.359290	0.000000	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
30000	-89.325434	95	1	26	'0 0 0 0 Z Z Z 0 0 0 Z Z Z 0 Z Z 0 0 0 Z Z Z Z Z Z Z Z 0 Z Z Z 0 Z 0 Z Z Z Z 0 0 Z Z 	17.485700	17.485700	17.485700	17.485700	0.000000	0.000000	0.000000	17.485700	17.485700	17.485700	0.000000	0.000000	0.000000	17.485700	0.000000	0.000000	17.485700	17.485700	17.485700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	17.485700	0.000000	0.000000	0.000000	17.485700	0.000000	17.485700	0.000000	0.000000	0.000000	0.000000	17.485700	17.485700	0.000000	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
31000	-87.923712	605	1	22	'0 0 0 0 Z Z Z 0 0 0 0 Z Z 0 0 Z Z 0 0 Z Z Z Z Z Z Z Z 0 0 Z Z 0 0 0 Z 0 Z Z 0 0 Z Z 	5.568923	5.568923	5.568923	5.568923	0.000000	0.000000	0.000000	5.568923	5.568923	5.568923	5.568923	0.000000	0.000000	5.568923	5.568923	0.000000	0.000000	5.568923	5.568923	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.568923	5.568923	0.000000	0.000000	5.568923	5.568923	5.568923	0.000000	5.568923	0.000000	0.000000	5.568923	5.568923	0.000000	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
32000	-90.630685	709	1	21	'Z 0 0 0 Z Z Z 0 0 0 0 Z 0 0 0 Z Z 0 0 Z Z Z Z Z 0 Z Z 0 0 Z Z 0 Z 0 Z 0 Z Z 0 0 Z 0 	0.000000	11.657038	11.657038	11.657038	0.000000	0.000000	0.000000	11.657038	11.657038	11.657038	11.657038	0.000000	11.657038	11.657038	11.657038	0.000000	0.000000	11.657038	11.657038	0.000000	0.000000	0.000000	0.000000	0.000000	11.657038	0.000000	0.000000	11.657038	11.657038	0.000000	0.000000	11.657038	0.000000	11.657038	0.000000	11.657038	0.000000	0.000000	11.657038	11.657038	0.000000	11.657038	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
33000	-81.693904	92	2	15	'1 1 1 0 Z 0 0 0 0 1 0 0 Z 1 1 Z Z 1 1 Z Z Z Z Z 1 Z Z 1 0 Z Z 0 1 1 0 1 Z 1 0 0 Z 0 	2.824016	2.824016	2.824016	22.020379	0.000000	22.020379	22.020379	22.020379	22.020379	2.824016	22.020379	22.020379	0.000000	2.824016	2.824016	0.000000	0.000000	2.824016	2.824016	0.000000	0.000000	0.000000	0.000000	0.000000	2.824016	0.000000	0.000000	2.824016	22.020379	0.000000	0.000000	22.020379	2.824016	2.824016	22.020379	2.824016	0.000000	2.824016	22.020379	22.020379	0.000000	22.020379	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
34000	-86.874701	616	1	18	'Z 0 0 0 Z 0 Z 0 0 0 0 0 Z 0 0 0 Z 0 0 Z Z Z Z Z 0 Z 0 0 Z Z Z Z Z 0 0 Z Z 0 0 0 0 0 	0.000000	7.171000	7.171000	7.171000	0.000000	7.171000	0.000000	7.171000	7.171000	7.171000	7.171000	7.171000	0.000000	7.171000	7.171000	7.171000	0.000000	7.171000	7.171000	0.000000	0.000000	0.000000	0.000000	0.000000	7.171000	0.000000	7.171000	7.171000	0.000000	0.000000	0.000000	0.000000	0.000000	7.171000	7.171000	0.000000	0.000000	7.171000	7.171000	7.171000	7.171000	7.171000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
35000	-88.201518	866	1	15	'Z 0 0 0 Z 0 0 0 0 0 0 0 0 0 0 0 Z Z 0 Z Z Z Z Z 0 Z 0 0 Z 0 Z 0 0 0 Z Z Z 0 0 0 0 0 	0.000000	5.051242	5.051242	5.051242	0.000000	5.051242	5.051242	5.051242	5.051242	5.051242	5.051242	5.051242	5.051242	5.051242	5.051242	5.051242	0.000000	0.000000	5.051242	0.000000	0.000000	0.000000	0.000000	0.000000	5.051242	0.000000	5.051242	5.051242	0.000000	5.051242	0.000000	5.051242	5.051242	5.051242	0.000000	0.000000	0.000000	5.051242	5.051242	5.051242	5.051242	5.051242	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
36000	-88.206096	849	1	17	'Z 0 0 0 Z 0 Z 0 0 0 Z 0 Z 0 0 0 Z 0 0 Z Z Z Z Z 0 Z 0 0 Z 0 Z Z 0 0 0 Z Z 0 0 0 0 0 	0.000000	10.482866	10.482866	10.482866	0.000000	10.482866	0.000000	10.482866	10.482866	10.482866	0.000000	10.482866	0.000000	10.482866	10.482866	10.482866	0.000000	10.482866	10.482866	0.000000	0.000000	0.000000	0.000000	0.000000	10.482866	0.000000	10.482866	10.482866	0.000000	10.482866	0.000000	0.000000	10.482866	10.482866	10.482866	0.000000	0.000000	10.482866	10.482866	10.482866	10.482866	10.482866	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
37000	-89.562580	893	1	14	'0 0 0 0 Z 0 0 Z 0 0 0 0 Z Z 0 0 0 0 0 Z Z Z Z Z 0 Z 0 0 Z 0 Z 0 0 Z 0 Z 0 0 0 0 0 0 	18.300736	18.300736	18.300736	18.300736	0.000000	18.300736	18.300736	0.000000	18.300736	18.300736	18.300736	18.300736	0.000000	0.000000	18.300736	18.300736	18.300736	18.300736	18.300736	0.000000	0.000000	0.000000	0.000000	0.000000	18.300736	0.000000	18.300736	18.300736	0.000000	18.300736	0.000000	18.300736	18.300736	0.000000	18.300736	0.000000	18.300736	18.300736	18.300736	18.300736	18.300736	18.300736	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
38000	-87.950512	283	1	20	'Z 0 0 0 Z 0 0 Z Z 0 0 Z Z Z 0 0 Z 0 0 Z Z Z Z Z 0 Z Z 0 Z 0 Z 0 0 Z 0 Z Z 0 0 0 0 0 	0.000000	6.147267	6.147267	6.147267	0.000000	6.147267	6.147267	0.000000	0.000000	6.147267	6.147267	0.000000	0.000000	0.000000	6.147267	6.147267	0.000000	6.147267	6.147267	0.000000	0.000000	0.000000	0.000000	0.000000	6.147267	0.000000	0.000000	6.147267	0.000000	6.147267	0.000000	6.147267	6.147267	0.000000	6.147267	0.000000	0.000000	6.147267	6.147267	6.147267	6.147267	6.147267	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
39000	-84.962594	78	1	21	'Z 0 0 0 Z 0 0 0 Z Z 0 Z Z Z 0 Z Z 0 0 Z Z Z Z Z Z Z Z 0 0 Z 0 0 0 Z 0 Z 0 0 0 Z 0 0 	0.000000	0.057114	0.057114	0.057114	0.000000	0.057114	0.057114	0.057114	0.000000	0.000000	0.057114	0.000000	0.000000	0.000000	0.057114	0.000000	0.000000	0.057114	0.057114	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.057114	0.057114	0.000000	0.057114	0.057114	0.057114	0.000000	0.057114	0.000000	0.057114	0.057114	0.057114	0.000000	0.057114	0.057114	0.143155	0.140811	0.143431	0.146956	0.142879	0.141384	0.141384	
40000	-84.303862	799	1	16	'Z 0 0 0 Z 0 Z Z 0 0 0 0 Z Z 0 Z Z 0 0 Z Z Z Z Z Z Z 0 0 0 Z 0 0 0 0 0 0 0 0 0 0 0 0 	0.000000	0.048728	0.048728	0.048728	0.000000	0.048728	0.000000	0.000000	0.048728	0.048728	0.048728	0.048728	0.000000	0.000000	0.048728	0.000000	0.000000	0.048728	0.048728	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.048728	0.048728	0.048728	0.000000	0.048728	0.048728	0.048728	0.048728	0.048728	0.048728	0.048728	0.048728	0.048728	0.048728	0.048728	0.048728	0.142567	0.142519	0.142553	0.144683	0.142586	0.142546	0.142546	
41000	-80.887380	75	2	16	'Z 1 1 1 0 0 Z 0 0 0 1 1 Z Z 0 1 Z 0 0 Z Z Z Z Z 1 Z 1 0 0 Z Z 1 1 Z 1 1 Z 1 1 1 Z 1 	0.000000	14.565627	14.565627	14.565627	3.695123	3.695123	0.000000	3.695123	3.695123	3.695123	14.565627	14.565627	0.000000	0.000000	3.695123	14.565627	0.000000	3.695123	3.695123	0.000000	0.000000	0.000000	0.000000	0.000000	14.565627	0.000000	14.565627	3.695123	3.695123	0.000000	0.000000	14.565627	14.565627	0.000000	14.565627	14.565627	0.000000	14.565627	14.565627	14.565627	0.000000	14.565627	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
42000	-80.893665	865	2	19	'1 0 0 0 Z Z Z 1 Z Z 0 0 Z 1 Z 0 1 Z 1 Z Z Z Z Z 0 Z 0 1 1 Z 1 Z Z 0 Z 0 0 0 0 Z 0 0 	2.056870	10.941831	10.941831	10.941831	0.000000	0.000000	0.000000	2.056870	0.000000	0.000000	10.941831	10.941831	0.000000	2.056870	0.000000	10.941831	2.056870	0.000000	2.056870	0.000000	0.000000	0.000000	0.000000	0.000000	10.941831	0.000000	10.941831	2.056870	2.056870	0.000000	2.056870	0.000000	0.000000	10.941831	0.000000	10.941831	10.941831	10.941831	10.941831	0.000000	10.941831	10.941831	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	
