Options:
Model:                           MultiState
Tree File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.bttrees
Data File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/scale_trees1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2390388050
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      1000000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/scale_trees1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              True
Scale Tree:                      627.526411
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        GlobalRate - uniform 0.00 100.00 
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	Global Rate	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
1450000	-13.512995	730	14.358249	1	4	'0 0 Z 0 0 0 Z 0 Z 0 0 Z 	0.125000	0.125000	0.000000	0.125000	0.125000	0.125000	0.000000	0.125000	0.000000	0.125000	0.125000	0.000000	0.116110	0.303383	0.460663	0.119845	
1500000	-12.257927	122	11.606842	1	7	'Z Z 0 0 0 0 Z 0 Z Z Z Z 	0.000000	0.000000	0.200000	0.200000	0.200000	0.200000	0.000000	0.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.022135	0.977865	0.000000	
1550000	-11.390149	679	3.155406	1	3	'0 Z Z 0 0 Z 0 0 0 0 0 0 	0.111111	0.000000	0.000000	0.111111	0.111111	0.000000	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.000534	0.983392	0.016074	
1600000	-14.275216	348	23.080881	1	7	'0 0 Z Z 0 0 Z Z Z Z 0 Z 	0.200000	0.200000	0.000000	0.000000	0.200000	0.200000	0.000000	0.000000	0.000000	0.000000	0.200000	0.000000	1.000000	0.000000	0.000000	0.000000	
1650000	-11.688424	782	3.392332	1	6	'Z Z 0 Z 0 0 0 0 0 Z Z Z 	0.000000	0.000000	0.166667	0.000000	0.166667	0.166667	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.001934	0.998066	0.000000	
1700000	-12.424850	929	5.832934	1	3	'0 Z 0 0 0 0 Z 0 0 0 Z 0 	0.111111	0.000000	0.111111	0.111111	0.111111	0.111111	0.000000	0.111111	0.111111	0.111111	0.000000	0.111111	0.000119	0.009033	0.953251	0.037597	
1750000	-11.810122	511	7.811766	1	6	'0 Z 0 0 0 0 Z 0 Z Z Z Z 	0.166667	0.000000	0.166667	0.166667	0.166667	0.166667	0.000000	0.166667	0.000000	0.000000	0.000000	0.000000	0.000686	0.086324	0.912990	0.000000	
1800000	-14.815545	238	8.997443	1	7	'Z Z Z 0 Z 0 Z Z 0 Z 0 0 	0.000000	0.000000	0.000000	0.200000	0.000000	0.200000	0.000000	0.000000	0.200000	0.000000	0.200000	0.200000	0.000000	0.001014	0.903030	0.095956	
1850000	-13.988052	677	3.734632	1	5	'0 0 Z Z 0 0 0 0 Z Z 0 Z 	0.142857	0.142857	0.000000	0.000000	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.142857	0.000000	0.000138	0.000553	0.999309	0.000000	
1900000	-12.142234	799	4.773089	1	3	'0 0 Z 0 0 0 0 0 0 0 Z Z 	0.111111	0.111111	0.000000	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.000000	0.004927	0.004678	0.990389	0.000006	
1950000	-12.440373	518	1.119289	1	3	'0 Z 0 Z 0 Z 0 0 0 0 0 0 	0.111111	0.000000	0.111111	0.000000	0.111111	0.000000	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.000001	0.000032	0.985279	0.014688	
2000000	-12.652469	777	3.761115	1	6	'0 Z 0 Z Z Z 0 0 0 Z 0 Z 	0.166667	0.000000	0.166667	0.000000	0.000000	0.000000	0.166667	0.166667	0.166667	0.000000	0.166667	0.000000	0.000000	0.000000	1.000000	0.000000	
2050000	-12.390187	128	4.023658	1	4	'0 0 0 0 Z Z Z 0 0 0 0 Z 	0.125000	0.125000	0.125000	0.125000	0.000000	0.000000	0.000000	0.125000	0.125000	0.125000	0.125000	0.000000	0.014296	0.000005	0.985633	0.000066	
2100000	-11.804663	15	2.035496	1	4	'0 0 0 Z 0 Z 0 0 0 Z Z 0 	0.125000	0.125000	0.125000	0.000000	0.125000	0.000000	0.125000	0.125000	0.125000	0.000000	0.000000	0.125000	0.001868	0.001859	0.994373	0.001900	
2150000	-12.663418	658	3.856794	1	5	'0 0 0 Z 0 0 0 0 Z Z Z Z 	0.142857	0.142857	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	0.000000	0.031359	0.007208	0.961433	0.000000	
2200000	-12.074344	76	3.807715	1	6	'0 Z 0 Z Z Z 0 0 0 Z 0 Z 	0.166667	0.000000	0.166667	0.000000	0.000000	0.000000	0.166667	0.166667	0.166667	0.000000	0.166667	0.000000	0.000000	0.000000	1.000000	0.000000	
2250000	-15.753161	71	9.963849	1	4	'0 0 0 0 Z Z 0 Z 0 0 Z 0 	0.125000	0.125000	0.125000	0.125000	0.000000	0.000000	0.125000	0.000000	0.125000	0.125000	0.000000	0.125000	0.044100	0.000335	0.884790	0.070775	
2300000	-11.290409	123	9.799712	1	6	'0 0 Z 0 0 0 Z 0 Z Z Z Z 	0.166667	0.166667	0.000000	0.166667	0.166667	0.166667	0.000000	0.166667	0.000000	0.000000	0.000000	0.000000	0.118205	0.170876	0.710919	0.000000	
2350000	-11.870719	293	2.532926	1	5	'Z 0 Z Z Z 0 0 0 0 0 Z 0 	0.000000	0.142857	0.000000	0.000000	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.000000	0.142857	0.000447	0.000005	0.974142	0.025406	
2400000	-13.121889	467	11.461256	1	6	'0 0 0 Z 0 0 0 Z Z Z Z Z 	0.166667	0.166667	0.166667	0.000000	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.000000	0.151772	0.129054	0.719174	0.000000	
2450000	-14.151923	316	3.799621	1	7	'Z 0 Z Z Z Z 0 0 Z 0 Z 0 	0.000000	0.200000	0.000000	0.000000	0.000000	0.000000	0.200000	0.200000	0.000000	0.200000	0.000000	0.200000	0.000000	0.000000	0.000000	1.000000	
2500000	-15.540778	335	3.923399	1	8	'Z Z Z 0 Z 0 Z Z 0 Z 0 Z 	0.000000	0.000000	0.000000	0.250000	0.000000	0.250000	0.000000	0.000000	0.250000	0.000000	0.250000	0.000000	0.000000	0.000000	1.000000	0.000000	
2550000	-11.234907	955	1.892427	1	7	'Z Z Z 0 Z Z 0 0 0 0 Z Z 	0.000000	0.000000	0.000000	0.200000	0.000000	0.000000	0.200000	0.200000	0.200000	0.200000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
2600000	-11.541001	21	2.750366	1	3	'0 Z 0 0 0 0 0 0 0 Z Z 0 	0.111111	0.000000	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.000000	0.111111	0.000003	0.000924	0.991641	0.007431	
2650000	-13.956201	199	11.851370	1	6	'Z Z Z 0 0 0 Z 0 Z 0 Z 0 	0.000000	0.000000	0.000000	0.166667	0.166667	0.166667	0.000000	0.166667	0.000000	0.166667	0.000000	0.166667	0.000000	0.140664	0.522286	0.337051	
2700000	-12.690319	499	6.100364	1	2	'0 Z 0 0 0 0 0 0 0 0 0 Z 	0.100000	0.000000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.000000	0.000000	0.001192	0.998808	0.000000	
2750000	-13.296575	34	4.180719	1	5	'0 Z 0 0 Z 0 Z 0 Z 0 Z 0 	0.142857	0.000000	0.142857	0.142857	0.000000	0.142857	0.000000	0.142857	0.000000	0.142857	0.000000	0.142857	0.000849	0.000786	0.311623	0.686741	
2800000	-12.228639	135	1.940567	1	5	'Z 0 Z Z Z Z 0 0 0 0 0 0 	0.000000	0.142857	0.000000	0.000000	0.000000	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.000198	0.000000	0.994502	0.005300	
2850000	-11.615751	943	2.560675	1	3	'0 0 0 0 0 Z 0 0 0 Z 0 Z 	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.111111	0.111111	0.111111	0.000000	0.111111	0.000000	0.000648	0.000656	0.998696	0.000000	
2900000	-11.559678	248	2.903699	1	5	'0 0 Z 0 Z 0 0 0 0 Z Z Z 	0.142857	0.142857	0.000000	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	0.000653	0.000002	0.999345	0.000000	
2950000	-12.367462	255	10.225073	1	5	'0 Z 0 0 0 0 Z 0 Z 0 Z Z 	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.000000	0.142857	0.000000	0.142857	0.000000	0.000000	0.001377	0.135098	0.863516	0.000008	
3000000	-12.258344	151	5.469428	1	3	'0 0 Z Z 0 0 0 0 0 Z 0 0 	0.111111	0.111111	0.000000	0.000000	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.111111	0.111111	0.000500	0.001096	0.991441	0.006963	
3050000	-12.979428	632	11.902623	1	7	'Z 0 0 Z 0 0 Z 0 Z Z Z Z 	0.000000	0.200000	0.200000	0.000000	0.200000	0.200000	0.000000	0.200000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
3100000	-13.882100	788	9.233956	1	4	'0 0 0 0 Z 0 Z Z 0 0 0 Z 	0.125000	0.125000	0.125000	0.125000	0.000000	0.125000	0.000000	0.000000	0.125000	0.125000	0.125000	0.000000	0.029857	0.000188	0.969623	0.000332	
3150000	-14.646468	426	55.733465	1	7	'0 0 Z 0 Z 0 Z Z Z Z 0 Z 	0.200000	0.200000	0.000000	0.200000	0.000000	0.200000	0.000000	0.000000	0.000000	0.000000	0.200000	0.000000	0.320346	0.399420	0.000000	0.280235	
3200000	-13.956277	4	44.804596	1	5	'0 0 0 Z 0 0 Z Z Z 0 0 Z 	0.142857	0.142857	0.142857	0.000000	0.142857	0.142857	0.000000	0.000000	0.000000	0.142857	0.142857	0.000000	0.271173	0.281430	0.000000	0.447397	
3250000	-15.718411	812	79.583471	1	6	'0 Z 0 0 Z 0 Z Z Z Z 0 0 	0.166667	0.000000	0.166667	0.166667	0.000000	0.166667	0.000000	0.000000	0.000000	0.000000	0.166667	0.166667	0.434957	0.434963	0.000000	0.130079	
3300000	-17.109973	123	89.863445	1	6	'0 Z 0 0 Z 0 Z Z Z Z 0 0 	0.166667	0.000000	0.166667	0.166667	0.000000	0.166667	0.000000	0.000000	0.000000	0.000000	0.166667	0.166667	0.421562	0.421566	0.000000	0.156873	
3350000	-14.852674	8	48.363029	1	6	'0 Z 0 0 Z 0 Z Z Z Z 0 0 	0.166667	0.000000	0.166667	0.166667	0.000000	0.166667	0.000000	0.000000	0.000000	0.000000	0.166667	0.166667	0.395376	0.395687	0.000000	0.208938	
3400000	-16.655114	115	52.219227	1	3	'0 0 Z 0 0 0 Z Z 0 0 0 0 	0.111111	0.111111	0.000000	0.111111	0.111111	0.111111	0.000000	0.000000	0.111111	0.111111	0.111111	0.111111	0.238345	0.238399	0.284890	0.238367	
3450000	-14.943905	21	32.339683	1	7	'0 Z 0 Z Z 0 Z Z Z 0 Z 0 	0.200000	0.000000	0.200000	0.000000	0.000000	0.200000	0.000000	0.000000	0.000000	0.200000	0.000000	0.200000	0.375275	0.371614	0.000000	0.253111	
3500000	-13.810561	584	2.476830	1	4	'Z 0 0 Z Z 0 0 0 Z 0 0 0 	0.000000	0.125000	0.125000	0.000000	0.000000	0.125000	0.125000	0.125000	0.000000	0.125000	0.125000	0.125000	0.042318	0.000177	0.716152	0.241353	
3550000	-12.907724	67	2.675083	1	5	'Z 0 Z 0 0 Z Z 0 0 0 Z 0 	0.000000	0.142857	0.000000	0.142857	0.142857	0.000000	0.000000	0.142857	0.142857	0.142857	0.000000	0.142857	0.000920	0.000573	0.965482	0.033025	
3600000	-15.884647	708	11.877145	1	4	'Z 0 0 Z 0 Z 0 0 0 0 Z 0 	0.000000	0.125000	0.125000	0.000000	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.000000	0.125000	0.114148	0.018214	0.705316	0.162322	
3650000	-14.525024	384	8.401613	1	3	'0 0 0 0 Z 0 0 0 Z 0 0 Z 	0.111111	0.111111	0.111111	0.111111	0.000000	0.111111	0.111111	0.111111	0.000000	0.111111	0.111111	0.000000	0.053590	0.000312	0.945336	0.000762	
3700000	-15.527421	508	15.946717	1	1	'0 0 0 0 0 0 0 0 0 0 0 Z 	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.000000	0.012174	0.013125	0.974446	0.000254	
3750000	-12.083261	352	3.355319	1	4	'Z 0 0 Z 0 Z 0 0 0 0 0 Z 	0.000000	0.125000	0.125000	0.000000	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000613	0.000656	0.998730	0.000000	
3800000	-11.937770	478	2.718084	1	6	'0 Z 0 Z Z 0 0 0 0 Z Z Z 	0.166667	0.000000	0.166667	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
3850000	-13.388729	517	7.281951	1	6	'0 0 0 Z Z 0 0 0 Z Z Z Z 	0.166667	0.166667	0.166667	0.000000	0.000000	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.062066	0.000000	0.937934	0.000000	
3900000	-11.195043	891	3.363204	1	6	'0 Z 0 Z Z Z 0 0 0 0 Z Z 	0.166667	0.000000	0.166667	0.000000	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
3950000	-12.038325	726	4.306662	1	3	'0 0 0 Z 0 Z 0 0 0 0 0 Z 	0.111111	0.111111	0.111111	0.000000	0.111111	0.000000	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.002999	0.003304	0.993689	0.000009	
4000000	-11.451486	605	1.554651	1	5	'Z 0 Z Z 0 Z 0 0 0 Z 0 0 	0.000000	0.142857	0.000000	0.000000	0.142857	0.000000	0.142857	0.142857	0.142857	0.000000	0.142857	0.142857	0.000161	0.000155	0.994113	0.005571	
4050000	-12.885434	407	6.806410	1	3	'0 0 0 0 Z 0 0 0 0 Z Z 0 	0.111111	0.111111	0.111111	0.111111	0.000000	0.111111	0.111111	0.111111	0.111111	0.000000	0.000000	0.111111	0.007790	0.000057	0.970061	0.022092	
4100000	-12.704017	873	17.757360	1	4	'Z 0 0 0 0 0 Z 0 Z 0 Z 0 	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.125000	0.000000	0.125000	0.000000	0.125000	0.188983	0.139282	0.236610	0.435125	
4150000	-12.308037	338	13.749609	1	6	'0 0 0 0 Z 0 Z 0 Z Z Z Z 	0.166667	0.166667	0.166667	0.166667	0.000000	0.166667	0.000000	0.166667	0.000000	0.000000	0.000000	0.000000	0.043956	0.000436	0.955608	0.000000	
4200000	-13.019338	402	5.796740	1	4	'Z 0 Z 0 0 Z 0 0 0 0 Z 0 	0.000000	0.125000	0.000000	0.125000	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.000000	0.125000	0.002409	0.002238	0.945385	0.049968	
4250000	-14.695823	774	9.273663	1	3	'0 Z 0 0 0 0 0 Z Z 0 0 0 	0.111111	0.000000	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.000000	0.111111	0.111111	0.111111	0.001063	0.053942	0.715000	0.229995	
4300000	-12.199639	240	2.240146	1	4	'0 Z 0 0 0 Z 0 0 0 Z 0 Z 	0.125000	0.000000	0.125000	0.125000	0.125000	0.000000	0.125000	0.125000	0.125000	0.000000	0.125000	0.000000	0.000000	0.000186	0.999808	0.000006	
4350000	-11.558438	963	3.661388	1	4	'Z 0 0 Z 0 0 0 0 0 Z Z 0 	0.000000	0.125000	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000000	0.125000	0.003047	0.001388	0.984428	0.011138	
4400000	-16.040207	18	19.785012	1	6	'Z Z 0 Z 0 Z Z Z 0 0 0 0 	0.000000	0.000000	0.166667	0.000000	0.166667	0.000000	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.017369	0.152574	0.665823	0.164234	
4450000	-12.400142	541	2.699593	2	6	'0 Z Z Z Z Z 0 1 1 Z 0 1 	0.205795	0.000000	0.000000	0.000000	0.000000	0.000000	0.205795	0.127538	0.127538	0.000000	0.205795	0.127538	0.000000	0.000000	0.998179	0.001821	
4500000	-12.543378	409	5.223275	1	5	'0 0 Z Z 0 0 0 0 0 Z Z Z 	0.142857	0.142857	0.000000	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	0.004469	0.005992	0.989539	0.000000	
4550000	-14.868241	526	35.888858	1	7	'0 0 Z 0 Z 0 Z Z Z Z 0 Z 	0.200000	0.200000	0.000000	0.200000	0.000000	0.200000	0.000000	0.000000	0.000000	0.000000	0.200000	0.000000	0.713842	0.238760	0.000000	0.047398	
4600000	-14.666024	924	60.035104	2	7	'0 Z 1 1 1 Z Z Z Z 0 Z Z 	0.145887	0.000000	0.236075	0.236075	0.236075	0.000000	0.000000	0.000000	0.000000	0.145887	0.000000	0.000000	0.321821	0.514398	0.000000	0.163781	
4650000	-15.205204	63	51.873971	1	7	'Z Z 0 Z 0 0 Z Z Z 0 0 Z 	0.000000	0.000000	0.200000	0.000000	0.200000	0.200000	0.000000	0.000000	0.000000	0.200000	0.200000	0.000000	0.379036	0.210611	0.000000	0.410353	
4700000	-12.846274	703	41.826906	1	6	'0 0 0 0 0 Z Z Z Z 0 Z Z 	0.166667	0.166667	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.166667	0.000000	0.000000	0.357738	0.366997	0.000000	0.275265	
