Options:
Model:                           MultiState
Tree File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.bttrees
Data File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/scale_trees2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            241179813
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      1000000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/scale_trees2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              True
Scale Tree:                      627.526411
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        GlobalRate - uniform 0.00 100.00 
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	Global Rate	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
950000	-13.645493	296	8.352034	1	4	'Z 0 0 0 0 0 Z Z 0 0 0 Z 	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000000	0.125000	0.125000	0.125000	0.000000	0.074028	0.029321	0.892783	0.003868	
1000000	-12.464888	795	3.416366	1	5	'Z Z 0 Z 0 Z 0 0 0 Z 0 0 	0.000000	0.000000	0.142857	0.000000	0.142857	0.000000	0.142857	0.142857	0.142857	0.000000	0.142857	0.142857	0.000055	0.003922	0.966407	0.029616	
1050000	-15.766376	50	7.911498	1	4	'Z Z 0 0 0 Z 0 Z 0 0 0 0 	0.000000	0.000000	0.125000	0.125000	0.125000	0.000000	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.000389	0.020841	0.908546	0.070225	
1100000	-11.909255	396	2.935003	1	5	'Z 0 0 Z Z Z 0 0 0 0 0 Z 	0.000000	0.142857	0.142857	0.000000	0.000000	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.000000	0.001720	0.000000	0.998276	0.000004	
1150000	-17.030855	743	18.919263	1	6	'0 Z 0 0 Z 0 0 Z Z Z 0 Z 	0.166667	0.000000	0.166667	0.166667	0.000000	0.166667	0.166667	0.000000	0.000000	0.000000	0.166667	0.000000	0.000000	0.000000	1.000000	0.000000	
1200000	-15.516352	53	18.413469	1	1	'0 0 0 0 0 0 0 0 Z 0 0 0 	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.000000	0.090909	0.090909	0.090909	0.136566	0.111716	0.467905	0.283813	
1250000	-14.355171	910	13.637119	1	3	'0 0 0 0 0 0 0 0 Z Z 0 Z 	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.000000	0.111111	0.000000	0.087646	0.073258	0.837441	0.001655	
1300000	-13.537359	484	10.371545	1	6	'0 Z 0 0 Z 0 Z 0 Z Z 0 Z 	0.166667	0.000000	0.166667	0.166667	0.000000	0.166667	0.000000	0.166667	0.000000	0.000000	0.166667	0.000000	0.000000	0.000000	1.000000	0.000000	
1350000	-12.115656	160	4.270217	1	4	'Z 0 Z Z 0 0 0 0 0 Z 0 0 	0.000000	0.125000	0.000000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.125000	0.125000	0.000084	0.000191	0.999340	0.000385	
1400000	-12.234477	811	1.268017	1	3	'Z 0 Z 0 0 0 0 0 0 Z 0 0 	0.000000	0.111111	0.000000	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.111111	0.111111	0.000104	0.000305	0.993344	0.006247	
1450000	-11.826561	176	3.174261	1	4	'0 0 Z 0 0 Z 0 0 0 Z Z 0 	0.125000	0.125000	0.000000	0.125000	0.125000	0.000000	0.125000	0.125000	0.125000	0.000000	0.000000	0.125000	0.000079	0.000080	0.999117	0.000724	
1500000	-10.987147	850	10.891129	2	7	'Z 0 Z 1 1 0 Z 1 Z Z Z Z 	0.000000	0.391909	0.000000	0.072061	0.072061	0.391909	0.000000	0.072061	0.000000	0.000000	0.000000	0.000000	0.420134	0.156956	0.422909	0.000000	
1550000	-14.653972	872	28.800484	1	6	'Z 0 Z 0 0 0 Z 0 Z Z 0 Z 	0.000000	0.166667	0.000000	0.166667	0.166667	0.166667	0.000000	0.166667	0.000000	0.000000	0.166667	0.000000	0.124247	0.306018	0.472331	0.097403	
1600000	-13.704380	107	34.786219	1	6	'0 0 0 0 0 Z Z 0 Z Z Z Z 	0.166667	0.166667	0.166667	0.166667	0.166667	0.000000	0.000000	0.166667	0.000000	0.000000	0.000000	0.000000	0.331821	0.365302	0.302877	0.000000	
1650000	-15.591889	601	26.875381	1	6	'Z 0 Z Z 0 0 Z Z Z 0 0 0 	0.000000	0.166667	0.000000	0.000000	0.166667	0.166667	0.000000	0.000000	0.000000	0.166667	0.166667	0.166667	0.000000	0.536895	0.000000	0.463105	
1700000	-13.697396	524	6.422609	1	5	'Z 0 Z Z 0 0 0 0 0 Z 0 Z 	0.000000	0.142857	0.000000	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.000000	0.142857	0.000000	0.007039	0.009752	0.983163	0.000047	
1750000	-11.831144	954	2.465175	1	4	'0 Z 0 0 Z Z 0 0 0 0 Z 0 	0.125000	0.000000	0.125000	0.125000	0.000000	0.000000	0.125000	0.125000	0.125000	0.125000	0.000000	0.125000	0.000005	0.000000	0.985338	0.014658	
1800000	-17.790940	40	28.955111	1	1	'0 0 0 0 0 0 0 0 Z 0 0 0 	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.000000	0.090909	0.090909	0.090909	0.210204	0.214555	0.352302	0.222939	
1850000	-16.400811	206	16.591161	2	3	'1 Z 1 0 1 0 1 1 Z 0 0 Z 	0.034693	0.000000	0.034693	0.206634	0.034693	0.206634	0.034693	0.034693	0.000000	0.206634	0.206634	0.000000	0.000057	0.026161	0.971965	0.001818	
1900000	-12.013259	703	2.336800	1	3	'0 0 0 Z 0 0 0 0 0 Z Z 0 	0.111111	0.111111	0.111111	0.000000	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.000000	0.111111	0.000063	0.000102	0.999707	0.000128	
1950000	-11.993470	198	3.838640	1	4	'Z Z Z 0 0 0 0 0 0 Z 0 0 	0.000000	0.000000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.125000	0.125000	0.000000	0.002568	0.984580	0.012852	
2000000	-12.619599	679	7.241446	1	5	'0 0 Z Z 0 0 0 0 0 Z Z Z 	0.142857	0.142857	0.000000	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	0.011185	0.014209	0.974606	0.000000	
2050000	-13.941540	103	7.296317	1	5	'Z 0 0 Z Z 0 0 0 0 0 Z Z 	0.000000	0.142857	0.142857	0.000000	0.000000	0.142857	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.016801	0.000000	0.983047	0.000151	
2100000	-12.490020	107	4.901178	1	5	'0 Z Z 0 0 Z 0 0 0 0 Z Z 	0.142857	0.000000	0.000000	0.142857	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.000001	0.001630	0.998369	0.000000	
2150000	-11.603725	13	3.434660	1	6	'0 0 Z Z Z Z 0 0 0 Z 0 Z 	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.166667	0.166667	0.166667	0.000000	0.166667	0.000000	0.000895	0.000000	0.999105	0.000000	
2200000	-11.929938	881	2.407971	1	1	'0 0 0 0 Z 0 0 0 0 0 0 0 	0.090909	0.090909	0.090909	0.090909	0.000000	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.000615	0.000001	0.991484	0.007899	
2250000	-13.969563	413	3.573364	1	6	'Z Z 0 Z Z 0 0 Z 0 0 0 Z 	0.000000	0.000000	0.166667	0.000000	0.000000	0.166667	0.166667	0.000000	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	1.000000	0.000000	
2300000	-13.391394	494	5.740938	1	4	'0 0 0 Z Z 0 0 Z 0 Z 0 0 	0.125000	0.125000	0.125000	0.000000	0.000000	0.125000	0.125000	0.000000	0.125000	0.000000	0.125000	0.125000	0.006941	0.000014	0.975887	0.017159	
2350000	-12.484961	733	1.953001	2	2	'0 1 0 1 Z Z 1 1 1 1 0 0 	0.116571	0.088953	0.116571	0.088953	0.000000	0.000000	0.088953	0.088953	0.088953	0.088953	0.116571	0.116571	0.000074	0.000000	0.999777	0.000149	
2400000	-15.924240	841	34.522780	1	4	'0 Z 0 0 0 0 Z Z 0 Z 0 0 	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000000	0.125000	0.000000	0.125000	0.125000	0.138253	0.218360	0.381938	0.261449	
2450000	-14.834059	702	54.662140	1	7	'0 0 0 Z Z 0 Z Z Z 0 Z Z 	0.200000	0.200000	0.200000	0.000000	0.000000	0.200000	0.000000	0.000000	0.000000	0.200000	0.000000	0.000000	0.201902	0.386163	0.000000	0.411935	
2500000	-12.959592	167	12.036459	1	4	'0 0 0 0 0 0 0 Z Z 0 Z Z 	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000000	0.125000	0.000000	0.000000	0.173205	0.167564	0.648997	0.010233	
2550000	-14.306058	188	7.140498	1	3	'Z Z 0 Z 0 0 0 0 0 0 0 0 	0.000000	0.000000	0.111111	0.000000	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.000082	0.009897	0.926540	0.063480	
2600000	-15.391983	799	11.845265	1	5	'0 Z Z 0 0 0 Z 0 0 Z 0 Z 	0.142857	0.000000	0.000000	0.142857	0.142857	0.142857	0.000000	0.142857	0.142857	0.000000	0.142857	0.000000	0.000811	0.043393	0.954841	0.000955	
2650000	-12.690883	261	6.765862	1	7	'0 0 Z 0 Z 0 Z 0 Z Z Z Z 	0.200000	0.200000	0.000000	0.200000	0.000000	0.200000	0.000000	0.200000	0.000000	0.000000	0.000000	0.000000	0.026975	0.000220	0.972805	0.000000	
2700000	-12.974497	371	30.460220	2	6	'0 Z Z 0 Z 0 Z 1 Z 1 Z 1 	0.287379	0.000000	0.000000	0.287379	0.000000	0.287379	0.000000	0.045954	0.000000	0.045954	0.000000	0.045954	0.004656	0.030907	0.771538	0.192899	
2750000	-16.342511	298	39.963649	1	4	'0 0 0 Z 0 0 Z Z 0 0 Z 0 	0.125000	0.125000	0.125000	0.000000	0.125000	0.125000	0.000000	0.000000	0.125000	0.125000	0.000000	0.125000	0.262081	0.282731	0.226668	0.228520	
2800000	-12.912502	362	37.742257	1	7	'0 0 0 Z 0 Z Z Z Z 0 Z Z 	0.200000	0.200000	0.200000	0.000000	0.200000	0.000000	0.000000	0.000000	0.000000	0.200000	0.000000	0.000000	0.353486	0.000000	0.000000	0.646514	
2850000	-13.256559	915	23.561255	1	5	'0 0 0 0 0 0 0 Z Z Z Z Z 	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	0.000000	0.000000	0.097762	0.102198	0.800041	0.000000	
2900000	-11.231865	446	23.638801	2	6	'1 1 0 Z 0 0 0 Z Z Z Z Z 	0.324489	0.324489	0.087755	0.000000	0.087755	0.087755	0.087755	0.000000	0.000000	0.000000	0.000000	0.000000	0.144538	0.018937	0.836525	0.000000	
2950000	-13.756162	823	2.944278	1	4	'Z 0 0 Z 0 0 0 Z 0 Z 0 0 	0.000000	0.125000	0.125000	0.000000	0.125000	0.125000	0.125000	0.000000	0.125000	0.000000	0.125000	0.125000	0.002853	0.001656	0.981126	0.014364	
3000000	-12.112285	225	3.956429	1	3	'Z 0 Z 0 0 0 0 0 0 Z 0 0 	0.000000	0.111111	0.000000	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.111111	0.111111	0.001447	0.003729	0.977195	0.017629	
3050000	-11.963160	649	1.209664	1	4	'Z 0 0 Z 0 Z 0 0 0 0 0 Z 	0.000000	0.125000	0.125000	0.000000	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000610	0.000063	0.999324	0.000003	
3100000	-12.973340	199	24.100455	1	6	'0 0 Z 0 0 0 Z Z Z Z 0 Z 	0.166667	0.166667	0.000000	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.166667	0.000000	0.380084	0.408063	0.000000	0.211853	
3150000	-13.954069	428	7.454524	1	6	'0 0 Z Z 0 Z 0 Z 0 Z Z 0 	0.166667	0.166667	0.000000	0.000000	0.166667	0.000000	0.166667	0.000000	0.166667	0.000000	0.000000	0.166667	0.011989	0.020315	0.937361	0.030334	
3200000	-18.220133	577	17.086159	1	6	'Z 0 Z Z 0 0 Z 0 Z Z 0 0 	0.000000	0.166667	0.000000	0.000000	0.166667	0.166667	0.000000	0.166667	0.000000	0.000000	0.166667	0.166667	1.000000	0.000000	0.000000	0.000000	
3250000	-12.045738	266	3.978899	1	4	'Z Z Z 0 0 Z 0 0 0 0 0 0 	0.000000	0.000000	0.000000	0.125000	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000447	0.969562	0.029991	
3300000	-14.046908	860	9.571501	1	4	'0 0 0 Z 0 0 Z Z 0 0 0 Z 	0.125000	0.125000	0.125000	0.000000	0.125000	0.125000	0.000000	0.000000	0.125000	0.125000	0.125000	0.000000	0.065236	0.040170	0.887827	0.006766	
3350000	-14.767057	515	4.702847	1	7	'Z Z Z Z 0 0 Z Z 0 0 0 Z 	0.000000	0.000000	0.000000	0.000000	0.200000	0.200000	0.000000	0.000000	0.200000	0.200000	0.200000	0.000000	0.000000	0.009633	0.990346	0.000021	
3400000	-12.797179	360	7.499896	1	3	'0 0 0 0 Z 0 0 0 0 Z Z 0 	0.111111	0.111111	0.111111	0.111111	0.000000	0.111111	0.111111	0.111111	0.111111	0.000000	0.000000	0.111111	0.014533	0.000165	0.948460	0.036842	
3450000	-17.002615	721	35.647422	1	5	'Z 0 0 0 Z Z Z Z 0 0 0 0 	0.000000	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	0.000000	0.142857	0.142857	0.142857	0.142857	0.260283	0.034101	0.531906	0.173710	
3500000	-13.390905	667	44.678847	1	5	'0 0 0 0 0 0 Z Z Z 0 Z Z 	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	0.142857	0.000000	0.000000	0.293654	0.297163	0.000000	0.409183	
3550000	-13.851900	185	2.623716	1	6	'Z Z Z Z 0 0 0 0 Z 0 0 Z 	0.000000	0.000000	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.000000	0.166667	0.166667	0.000000	0.000000	0.028416	0.971467	0.000118	
3600000	-11.749979	69	2.372370	1	2	'0 Z 0 0 0 0 0 0 0 0 Z 0 	0.100000	0.000000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.000000	0.100000	0.000000	0.000119	0.998924	0.000957	
3650000	-16.915794	435	29.943105	1	6	'0 0 Z Z Z 0 Z Z Z 0 0 0 	0.166667	0.166667	0.000000	0.000000	0.000000	0.166667	0.000000	0.000000	0.000000	0.166667	0.166667	0.166667	0.313481	0.376717	0.000000	0.309802	
3700000	-10.840139	364	26.974547	2	5	'1 1 Z 0 0 0 Z 1 Z Z 1 Z 	0.044530	0.044530	0.000000	0.273959	0.273959	0.273959	0.000000	0.044530	0.000000	0.000000	0.044530	0.000000	0.074202	0.445262	0.465342	0.015194	
3750000	-13.132927	214	0.938204	1	3	'0 0 Z 0 0 Z 0 0 0 Z 0 0 	0.111111	0.111111	0.000000	0.111111	0.111111	0.000000	0.111111	0.111111	0.111111	0.000000	0.111111	0.111111	0.000014	0.000013	0.991068	0.008905	
3800000	-12.698477	417	5.920584	1	5	'Z Z 0 0 Z 0 Z 0 0 0 Z 0 	0.000000	0.000000	0.142857	0.142857	0.000000	0.142857	0.000000	0.142857	0.142857	0.142857	0.000000	0.142857	0.000134	0.000129	0.934217	0.065520	
3850000	-13.194855	117	15.672011	1	6	'Z Z 0 0 0 0 Z 0 Z Z 0 Z 	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.000000	0.166667	0.000000	0.000000	0.166667	0.000000	0.000000	0.016796	0.983059	0.000145	
3900000	-13.727108	957	39.087965	1	6	'0 0 Z 0 0 0 0 Z Z Z Z Z 	0.166667	0.166667	0.000000	0.166667	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.000000	0.356972	0.223830	0.419198	0.000000	
3950000	-14.410682	290	11.114466	1	2	'0 0 0 Z 0 0 0 0 Z 0 0 0 	0.100000	0.100000	0.100000	0.000000	0.100000	0.100000	0.100000	0.100000	0.000000	0.100000	0.100000	0.100000	0.065093	0.030116	0.792662	0.112129	
4000000	-12.534367	485	0.679813	1	5	'Z 0 Z Z Z 0 0 0 0 Z 0 0 	0.000000	0.142857	0.000000	0.000000	0.000000	0.142857	0.142857	0.142857	0.142857	0.000000	0.142857	0.142857	0.000041	0.000000	0.998973	0.000986	
4050000	-11.347650	472	4.236238	1	4	'0 0 0 Z 0 0 0 0 0 Z Z Z 	0.125000	0.125000	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000000	0.000000	0.003294	0.000931	0.995776	0.000000	
4100000	-11.645276	588	2.222397	1	2	'0 0 0 0 0 0 0 0 0 Z 0 Z 	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.000000	0.100000	0.000000	0.001130	0.000639	0.998229	0.000001	
4150000	-13.219624	89	7.069935	1	6	'0 0 Z Z 0 Z Z 0 Z 0 Z 0 	0.166667	0.166667	0.000000	0.000000	0.166667	0.000000	0.000000	0.166667	0.000000	0.166667	0.000000	0.166667	0.000000	0.000000	0.000000	1.000000	
4200000	-12.054141	915	6.877323	1	2	'0 0 0 0 0 0 Z 0 0 0 Z 0 	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.000000	0.100000	0.100000	0.100000	0.000000	0.100000	0.013299	0.007517	0.952858	0.026326	
4250000	-13.788266	508	8.843992	1	5	'Z 0 Z Z 0 0 Z 0 0 0 0 Z 	0.000000	0.142857	0.000000	0.000000	0.142857	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.000000	0.004824	0.006625	0.988264	0.000288	
4300000	-12.105647	433	2.972142	1	8	'Z Z Z Z 0 Z 0 0 0 Z Z Z 	0.000000	0.000000	0.000000	0.000000	0.250000	0.000000	0.250000	0.250000	0.250000	0.000000	0.000000	0.000000	0.000000	0.002321	0.997679	0.000000	
4350000	-11.309045	794	1.320697	1	6	'Z 0 Z Z Z Z 0 0 0 Z 0 0 	0.000000	0.166667	0.000000	0.000000	0.000000	0.000000	0.166667	0.166667	0.166667	0.000000	0.166667	0.166667	0.000191	0.000000	0.993575	0.006234	
4400000	-12.112090	648	16.008858	1	6	'Z 0 0 0 0 0 Z 0 Z Z Z Z 	0.000000	0.166667	0.166667	0.166667	0.166667	0.166667	0.000000	0.166667	0.000000	0.000000	0.000000	0.000000	0.260217	0.192293	0.547490	0.000000	
4450000	-14.132792	523	8.578211	1	3	'0 Z 0 0 Z 0 0 0 0 Z 0 0 	0.111111	0.000000	0.111111	0.111111	0.000000	0.111111	0.111111	0.111111	0.111111	0.000000	0.111111	0.111111	0.000058	0.000054	0.975682	0.024207	
4500000	-14.514079	9	21.000791	1	6	'0 0 0 0 Z 0 Z Z Z Z Z 0 	0.166667	0.166667	0.166667	0.166667	0.000000	0.166667	0.000000	0.000000	0.000000	0.000000	0.000000	0.166667	0.597480	0.402520	0.000000	0.000000	
4550000	-14.917375	829	25.541631	1	5	'0 0 Z 0 0 0 Z Z Z 0 0 Z 	0.142857	0.142857	0.000000	0.142857	0.142857	0.142857	0.000000	0.000000	0.000000	0.142857	0.142857	0.000000	0.156615	0.292289	0.000000	0.551096	
4600000	-11.628511	386	2.991302	1	4	'Z 0 Z 0 Z 0 0 0 0 0 0 Z 	0.000000	0.125000	0.000000	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.000710	0.000004	0.999245	0.000042	
4650000	-12.383453	101	3.794411	1	5	'Z 0 0 Z 0 Z 0 0 0 0 Z Z 	0.000000	0.142857	0.142857	0.000000	0.142857	0.000000	0.142857	0.142857	0.142857	0.142857	0.000000	0.000000	0.006915	0.002721	0.990316	0.000049	
4700000	-11.951042	935	1.955624	1	4	'0 0 Z Z 0 Z 0 0 0 0 Z 0 	0.125000	0.125000	0.000000	0.000000	0.125000	0.000000	0.125000	0.125000	0.125000	0.125000	0.000000	0.125000	0.000250	0.000248	0.993534	0.005968	
