Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.bttrees
Data File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.btdata
Log File Name:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-3ANCrecon-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2804047187
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-3ANCrecon-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.242424,0.121212,0.121212,0.515152)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	5
	ANC5	2	R11_Umbundu G61_Sangu 
	ANC4	2	JD53_Shi G61_Sangu 
	ANC3	2	L11_Pende G61_Sangu 
	ANC2	2	C83_Bushong G61_Sangu 
	ANC1	2	C41_Ngombe G61_Sangu 
Scale Tree:                      0.101827
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Node reconstruction / fossilisation:
	MRCA RecNodeUmbundu ANC5
	MRCA RecNodeShi ANC4
	MRCA RecNodePende ANC3
	MRCA RecNodeBushong ANC2
	MRCA RecNodeNgombe ANC1
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RecNodeUmbundu - P(0,0)	RecNodeUmbundu - P(0,1)	RecNodeUmbundu - P(1,0)	RecNodeUmbundu - P(1,1)	RecNodeShi - P(0,0)	RecNodeShi - P(0,1)	RecNodeShi - P(1,0)	RecNodeShi - P(1,1)	RecNodePende - P(0,0)	RecNodePende - P(0,1)	RecNodePende - P(1,0)	RecNodePende - P(1,1)	RecNodeBushong - P(0,0)	RecNodeBushong - P(0,1)	RecNodeBushong - P(1,0)	RecNodeBushong - P(1,1)	RecNodeNgombe - P(0,0)	RecNodeNgombe - P(0,1)	RecNodeNgombe - P(1,0)	RecNodeNgombe - P(1,1)	
1601000	-83.721465	581	6.681877	3.960756	16.547164	9.392034	0.242349	0.121174	0.121234	0.515243	0.167431	0.084119	0.142008	0.606442	0.167262	0.083871	0.142311	0.606556	0.192207	0.096206	0.135424	0.576164	0.223272	0.111660	0.126658	0.538410	0.240137	0.120069	0.121865	0.517929	
1602000	-84.595362	590	5.294528	3.111370	2.955704	3.243612	0.236487	0.123359	0.117808	0.522346	0.028450	0.117213	0.023718	0.830619	0.017141	0.091890	0.019133	0.871837	0.024893	0.100213	0.024842	0.850053	0.118439	0.135379	0.069634	0.676548	0.190510	0.135821	0.095422	0.578248	
1603000	-85.793394	551	9.188773	6.617108	6.131233	6.401781	0.241476	0.121459	0.120762	0.516303	0.140695	0.136042	0.078455	0.644809	0.160928	0.132627	0.088249	0.618197	0.193053	0.129381	0.101181	0.576384	0.208215	0.127827	0.106775	0.557183	0.233986	0.123183	0.117415	0.525416	
1604000	-83.121939	786	0.406078	2.274365	1.295248	3.067057	0.082627	0.062996	0.114214	0.740164	0.000000	0.000026	0.001062	0.998911	0.000000	0.000024	0.000992	0.998984	0.000030	0.000643	0.005428	0.993900	0.001756	0.008314	0.024007	0.965922	0.025320	0.034531	0.074660	0.865489	
1605000	-82.715987	455	0.160235	2.161846	11.789635	5.170175	0.067980	0.033988	0.171061	0.726971	0.000024	0.000012	0.191801	0.808164	0.000027	0.000014	0.190084	0.809875	0.000156	0.000078	0.190019	0.809746	0.006396	0.003173	0.189840	0.800591	0.026247	0.013082	0.183460	0.777211	
1606000	-80.816339	253	1.372288	1.574742	4.598254	3.488545	0.274491	0.137997	0.111413	0.476099	0.000645	0.001148	0.061853	0.936354	0.001807	0.002336	0.083081	0.912776	0.006126	0.006768	0.094990	0.892116	0.095091	0.064421	0.124361	0.716127	0.233016	0.127124	0.113505	0.526354	
1607000	-84.135133	16	1.563108	1.055734	7.162830	3.640731	0.383203	0.191061	0.081278	0.344458	0.001739	0.001142	0.151478	0.845640	0.002784	0.001749	0.156985	0.838482	0.016459	0.009782	0.160903	0.812856	0.205502	0.103182	0.131234	0.560083	0.416861	0.202051	0.074432	0.306656	
1608000	-83.795887	113	2.586538	2.191989	10.083298	7.613820	0.237791	0.118899	0.122532	0.520777	0.015410	0.008305	0.174932	0.801353	0.012534	0.006674	0.177481	0.803311	0.025142	0.013141	0.176702	0.785015	0.083323	0.042826	0.162765	0.711086	0.187984	0.094459	0.136130	0.581427	
1609000	-85.647716	201	5.518731	2.517821	7.657409	3.169470	0.249349	0.123507	0.120368	0.506775	0.175369	0.089900	0.137144	0.597588	0.151167	0.076994	0.144829	0.627010	0.172436	0.087464	0.139341	0.600759	0.270968	0.117138	0.130900	0.480994	0.277160	0.127895	0.120867	0.474078	
1610000	-83.200152	997	0.326873	1.775462	18.009047	10.278038	0.115893	0.057947	0.157364	0.668796	0.000033	0.000017	0.190069	0.809881	0.000495	0.000248	0.190228	0.809029	0.000926	0.000463	0.190165	0.808447	0.010422	0.005211	0.187484	0.796883	0.054479	0.027239	0.174911	0.743371	
1611000	-85.675013	329	6.275882	5.247842	8.190843	4.301174	0.241878	0.120806	0.121501	0.515815	0.135773	0.079463	0.131347	0.653417	0.141342	0.080670	0.132959	0.645029	0.174146	0.094913	0.129768	0.601173	0.202553	0.101832	0.131912	0.563702	0.233828	0.115628	0.125026	0.525518	
1612000	-85.264727	628	31.779627	15.615223	0.390667	2.729669	0.118994	0.156478	0.059497	0.665031	0.000463	0.190344	0.000232	0.808961	0.000139	0.190436	0.000069	0.809356	0.000964	0.190201	0.000482	0.808354	0.018083	0.185310	0.009041	0.787566	0.055757	0.174546	0.027878	0.741819	
1613000	-84.891749	320	13.225850	6.606466	0.963787	1.903693	0.226759	0.125689	0.113378	0.534173	0.002045	0.189802	0.001023	0.807129	0.002869	0.188991	0.001441	0.806699	0.003354	0.188889	0.001684	0.806074	0.069962	0.170583	0.034958	0.724498	0.166961	0.142827	0.083447	0.606765	
1614000	-84.380506	786	1.667888	3.139212	35.343896	20.562886	0.196594	0.098297	0.134306	0.570802	0.002782	0.001391	0.189681	0.806146	0.001621	0.000810	0.190013	0.807556	0.012946	0.006473	0.186777	0.793804	0.048261	0.024130	0.176687	0.750921	0.133361	0.066680	0.152373	0.647586	
1615000	-84.846840	253	2.740856	4.338931	0.171685	1.416404	0.127709	0.143575	0.069033	0.659682	0.000001	0.013878	0.000011	0.986110	0.000008	0.021436	0.000041	0.978516	0.000037	0.031227	0.000136	0.968600	0.007390	0.073360	0.010766	0.908484	0.043823	0.110519	0.037691	0.807968	
1616000	-84.889534	844	3.112503	2.227254	4.857009	2.554708	0.243003	0.119295	0.123280	0.514423	0.015207	0.016325	0.095652	0.872816	0.018669	0.017600	0.106924	0.856807	0.025873	0.023523	0.108912	0.841692	0.106106	0.058341	0.147269	0.688283	0.218684	0.098482	0.141436	0.541398	
1617000	-84.781432	378	12.650725	8.823158	4.152029	3.126854	0.241006	0.121617	0.120503	0.516874	0.066831	0.168538	0.034081	0.730550	0.078221	0.165700	0.039781	0.716298	0.097925	0.161015	0.049482	0.691578	0.179854	0.138730	0.090176	0.591239	0.222026	0.126953	0.111091	0.539930	
1618000	-82.702659	136	0.825217	1.720945	22.481628	11.843729	0.238160	0.119080	0.122430	0.520329	0.000843	0.000421	0.190214	0.808522	0.000360	0.000180	0.190357	0.809103	0.004463	0.002232	0.189197	0.804108	0.074814	0.037407	0.169101	0.718679	0.176383	0.088191	0.140081	0.595345	
1619000	-84.582599	410	9.069893	4.836430	7.617983	3.697723	0.243081	0.121076	0.121488	0.514354	0.202645	0.124374	0.108250	0.564731	0.201053	0.120564	0.111263	0.567120	0.205462	0.120944	0.112201	0.561393	0.246247	0.119534	0.123723	0.510496	0.249036	0.120094	0.123725	0.507146	
1620000	-84.904401	912	5.866542	3.823990	17.245257	12.908916	0.241795	0.120898	0.121392	0.515915	0.155598	0.077901	0.145845	0.620655	0.153809	0.076968	0.146421	0.622802	0.166033	0.083055	0.142978	0.607934	0.200862	0.100454	0.133058	0.565626	0.234218	0.117110	0.123556	0.525116	
1621000	-83.170542	292	2.065323	2.566213	11.039825	7.448289	0.222040	0.111022	0.127034	0.539904	0.007057	0.003692	0.181636	0.807615	0.008596	0.004449	0.182792	0.804162	0.014432	0.007416	0.182235	0.795917	0.070471	0.035633	0.168725	0.725171	0.155918	0.078113	0.145667	0.620303	
1622000	-85.144956	199	5.043578	4.497216	5.748797	4.854978	0.240170	0.120588	0.121349	0.517893	0.055235	0.062681	0.082857	0.799227	0.054487	0.057581	0.088948	0.798984	0.114812	0.085534	0.109057	0.690597	0.164846	0.101635	0.117539	0.615980	0.212539	0.113948	0.121199	0.552314	
1623000	-85.159254	553	1.565019	1.269478	2.668306	3.952903	0.321523	0.182705	0.085036	0.410736	0.000227	0.001651	0.015885	0.982237	0.000257	0.001588	0.018655	0.979499	0.002763	0.010150	0.030637	0.956450	0.078419	0.108882	0.063483	0.749216	0.243622	0.196822	0.071126	0.488431	
1624000	-82.720492	16	2.530815	2.518444	1.480283	2.711106	0.209996	0.125946	0.108899	0.555159	0.000157	0.006432	0.002836	0.990576	0.000359	0.008808	0.004727	0.986106	0.001671	0.021248	0.008955	0.968126	0.025563	0.069468	0.037552	0.867417	0.114447	0.118320	0.078388	0.688845	
1625000	-83.493153	16	1.623292	2.963124	3.222482	3.692674	0.206430	0.108391	0.125419	0.559761	0.000351	0.001886	0.021393	0.976370	0.000813	0.003087	0.029951	0.966149	0.003429	0.008876	0.042941	0.944754	0.027239	0.034876	0.078927	0.858959	0.104647	0.075360	0.115148	0.704845	
1626000	-83.160269	726	0.527253	2.194194	5.299095	5.235024	0.163690	0.082297	0.142983	0.611030	0.000459	0.000508	0.096044	0.902989	0.000055	0.000065	0.090657	0.909222	0.000832	0.000818	0.106779	0.891571	0.018553	0.013687	0.133105	0.834655	0.079181	0.044178	0.152660	0.723981	
1627000	-80.857381	671	0.628828	1.971047	1.145237	1.590158	0.206661	0.083486	0.160101	0.549752	0.000001	0.000169	0.000878	0.998952	0.000002	0.000145	0.001629	0.998224	0.000108	0.001861	0.006774	0.991257	0.010583	0.019835	0.057270	0.912312	0.107040	0.060055	0.144379	0.688527	
1628000	-84.933664	256	4.194787	3.214140	13.741190	9.274348	0.238331	0.119165	0.122382	0.520122	0.106444	0.053730	0.158741	0.681085	0.106095	0.053210	0.159735	0.680959	0.111815	0.056037	0.158206	0.673941	0.163700	0.081929	0.143577	0.610793	0.214883	0.107452	0.129069	0.548596	
1629000	-84.796895	333	11.761942	7.642254	15.221920	9.617725	0.242417	0.121209	0.121214	0.515161	0.235672	0.118898	0.122049	0.523381	0.235869	0.118710	0.122286	0.523135	0.238447	0.119632	0.121932	0.519989	0.240997	0.120629	0.121489	0.516885	0.242297	0.121156	0.121241	0.515307	
1630000	-85.714044	168	20.032880	12.443524	4.016970	2.751843	0.243753	0.120832	0.121877	0.513538	0.074538	0.169121	0.037284	0.719056	0.089365	0.164909	0.044694	0.701032	0.091822	0.164215	0.045919	0.698044	0.164718	0.143405	0.082365	0.609512	0.231841	0.124236	0.115921	0.528003	
1631000	-83.381897	607	2.907707	3.091839	4.259549	4.279583	0.220780	0.114713	0.122683	0.541824	0.011962	0.021175	0.060254	0.906608	0.005268	0.010691	0.053918	0.930123	0.008975	0.016314	0.059254	0.915457	0.040290	0.045504	0.086245	0.827961	0.162188	0.098389	0.120106	0.619316	
1632000	-84.544796	316	2.508773	2.890791	5.221518	4.933106	0.229345	0.115525	0.124040	0.531090	0.004754	0.006721	0.075943	0.912583	0.004534	0.005886	0.082230	0.907349	0.028621	0.024835	0.113011	0.833532	0.077579	0.055005	0.123447	0.743969	0.159643	0.090985	0.128220	0.621152	
1633000	-84.607229	746	7.709688	4.595318	0.688252	1.764863	0.188512	0.136699	0.094195	0.580594	0.001887	0.170468	0.001076	0.826569	0.001100	0.163487	0.000661	0.834752	0.005963	0.169280	0.003404	0.821354	0.034336	0.173629	0.018008	0.774027	0.121298	0.155656	0.060721	0.662325	
1634000	-83.002777	754	8.536471	4.518819	4.256240	2.790779	0.244773	0.120597	0.122330	0.512300	0.065772	0.160453	0.035599	0.738176	0.069729	0.153171	0.039504	0.737595	0.103308	0.149697	0.056094	0.690901	0.206988	0.131547	0.103322	0.558144	0.246337	0.121181	0.122067	0.510414	
1635000	-82.536120	754	5.812071	3.140880	1.304463	1.644461	0.286392	0.109498	0.142148	0.461961	0.000858	0.119895	0.000739	0.878509	0.001895	0.107801	0.001838	0.888466	0.009731	0.126561	0.007743	0.855965	0.134843	0.145147	0.070940	0.649070	0.274195	0.117002	0.131575	0.477228	
1636000	-90.876637	329	9.043689	9.578175	21.010745	6.731884	0.242415	0.121207	0.121215	0.515163	0.226072	0.112654	0.126303	0.534971	0.228887	0.114198	0.125344	0.531571	0.235980	0.117918	0.123128	0.522974	0.238106	0.118976	0.122525	0.520393	0.241807	0.120898	0.121395	0.515901	
1637000	-82.217420	644	3.010904	3.243229	4.893112	3.079029	0.234385	0.116840	0.123877	0.524897	0.004077	0.008499	0.052755	0.934668	0.011616	0.016342	0.075017	0.897025	0.014365	0.018946	0.079164	0.887525	0.070565	0.050542	0.123996	0.754896	0.186550	0.095921	0.133605	0.583924	
1638000	-83.974308	244	2.778313	1.547116	2.834193	2.663051	0.285107	0.147542	0.105089	0.462261	0.001211	0.010178	0.013643	0.974969	0.001334	0.008520	0.017902	0.972244	0.006977	0.026031	0.029558	0.937435	0.094305	0.113596	0.070480	0.721619	0.255629	0.160846	0.091917	0.491607	
1639000	-84.703464	572	14.284784	7.695946	2.639991	2.153258	0.255403	0.117504	0.127701	0.499391	0.012636	0.185852	0.006360	0.795152	0.023175	0.182618	0.011683	0.782524	0.034578	0.179750	0.017387	0.768285	0.148277	0.148034	0.074181	0.629507	0.240510	0.121764	0.120250	0.517476	
1640000	-83.759616	205	15.825509	9.949599	1.812945	2.510371	0.222848	0.126805	0.111424	0.538922	0.015008	0.185933	0.007517	0.791542	0.014028	0.186225	0.007025	0.792721	0.024588	0.183327	0.012304	0.779781	0.091367	0.164342	0.045693	0.698598	0.166515	0.142898	0.083259	0.607328	
1641000	-83.693480	83	3.372452	1.844031	12.006705	7.152837	0.262681	0.131340	0.115425	0.490554	0.035799	0.018611	0.174493	0.771097	0.034499	0.017656	0.177160	0.770685	0.069429	0.035150	0.168842	0.726579	0.193386	0.097070	0.134726	0.574818	0.277504	0.138780	0.111166	0.472550	
1642000	-83.234078	803	0.335227	2.190687	6.042423	3.203770	0.119608	0.059437	0.157152	0.663803	0.000473	0.000316	0.149654	0.849557	0.000027	0.000020	0.136962	0.862992	0.000133	0.000098	0.138017	0.861753	0.014304	0.007650	0.176359	0.801687	0.053245	0.025698	0.180515	0.740542	
1643000	-85.151527	385	2.747160	2.351648	19.066626	15.446613	0.236441	0.118221	0.122921	0.522416	0.014616	0.007313	0.186196	0.791876	0.010788	0.005397	0.187320	0.796495	0.032350	0.016178	0.181206	0.770266	0.089655	0.044833	0.164844	0.700668	0.193923	0.096962	0.135069	0.574045	
1644000	-83.330939	829	0.196551	1.417481	1.259003	3.192973	0.120230	0.081507	0.118045	0.680218	0.000005	0.000105	0.006042	0.993848	0.000000	0.000018	0.002526	0.997456	0.000003	0.000092	0.003395	0.996511	0.002970	0.011821	0.028285	0.956925	0.036829	0.047077	0.077209	0.838885	
1645000	-84.157683	389	0.363087	3.050861	2.625732	1.911312	0.107622	0.046804	0.180038	0.665535	0.000011	0.000074	0.017678	0.982237	0.000014	0.000092	0.017608	0.982286	0.000072	0.000318	0.025832	0.973778	0.006464	0.006046	0.110329	0.877161	0.047461	0.021687	0.190590	0.740262	
1646000	-83.146852	115	0.128145	1.298029	24.767391	13.063962	0.147744	0.073872	0.148264	0.630120	0.000004	0.000002	0.190459	0.809534	0.000016	0.000008	0.190464	0.809513	0.000033	0.000016	0.190461	0.809490	0.017797	0.008899	0.185391	0.787913	0.077004	0.038502	0.168475	0.716019	
1647000	-81.004896	464	1.569180	1.997069	4.447457	3.185543	0.237940	0.119529	0.121923	0.520608	0.000434	0.001287	0.038057	0.960222	0.002645	0.004412	0.065404	0.927539	0.005405	0.007479	0.077348	0.909767	0.055711	0.044663	0.115123	0.784502	0.177249	0.097595	0.127664	0.597492	
1648000	-82.013530	756	2.337264	2.195650	3.671541	3.188634	0.237130	0.121874	0.119397	0.521599	0.002834	0.008888	0.035728	0.952550	0.007452	0.013416	0.060057	0.919075	0.012524	0.019760	0.067150	0.900567	0.087264	0.071200	0.106050	0.735487	0.187446	0.110070	0.117251	0.585233	
1649000	-81.963339	91	0.625098	1.833511	2.467493	3.305727	0.159084	0.088807	0.130915	0.621195	0.000023	0.000182	0.014667	0.985127	0.000091	0.000413	0.025110	0.974386	0.000619	0.001990	0.035222	0.962169	0.011780	0.017995	0.069377	0.900848	0.063572	0.053323	0.108627	0.774478	
1650000	-88.309254	168	36.672499	13.040164	1.759140	3.493564	0.200505	0.133189	0.100252	0.566054	0.008947	0.187920	0.004473	0.798659	0.014742	0.186264	0.007371	0.791623	0.013055	0.186746	0.006528	0.793671	0.039915	0.179072	0.019957	0.761056	0.120521	0.156042	0.060261	0.663177	
1651000	-87.296990	721	5.687864	6.220943	10.408446	4.564665	0.240070	0.119845	0.122077	0.518008	0.150401	0.075229	0.147454	0.626916	0.155028	0.077659	0.145934	0.621379	0.174507	0.087549	0.140176	0.597767	0.197030	0.096007	0.137493	0.569470	0.232246	0.115220	0.125079	0.527454	
1652000	-86.891047	430	8.656127	7.951010	18.019306	10.109924	0.242404	0.121202	0.121218	0.515176	0.215670	0.108047	0.128612	0.547671	0.222940	0.111568	0.126670	0.538822	0.235356	0.117696	0.123213	0.523735	0.237607	0.118809	0.122583	0.521001	0.241159	0.120580	0.121574	0.516688	
1653000	-85.827374	882	1.995431	3.792619	6.587176	4.803821	0.218346	0.109336	0.127906	0.544412	0.004215	0.003516	0.122648	0.869622	0.003510	0.002863	0.125256	0.868371	0.016210	0.011331	0.140097	0.832362	0.070237	0.040043	0.152194	0.737526	0.145514	0.075028	0.144810	0.634649	
1654000	-83.963163	72	4.888992	4.313653	2.734445	3.009087	0.225171	0.123266	0.115256	0.536308	0.012206	0.072739	0.017715	0.897340	0.010179	0.064650	0.016826	0.908344	0.021154	0.083367	0.025957	0.869522	0.064943	0.103873	0.056949	0.774236	0.157080	0.121321	0.095387	0.626212	
1655000	-83.821013	226	3.395269	3.013613	7.100792	4.666906	0.235905	0.118059	0.122964	0.523071	0.032839	0.024591	0.127980	0.814591	0.034516	0.023377	0.139431	0.802676	0.064712	0.039495	0.144771	0.751022	0.140381	0.075718	0.140366	0.643535	0.205334	0.104323	0.129799	0.560544	
1656000	-84.949226	737	7.212416	3.819494	28.360134	18.943045	0.242700	0.121350	0.121133	0.514816	0.216583	0.108292	0.128595	0.546530	0.210792	0.105396	0.130250	0.553562	0.221289	0.110645	0.127251	0.540816	0.235134	0.117567	0.123295	0.524004	0.242987	0.121493	0.121051	0.514469	
1657000	-86.953542	737	6.362874	5.466286	14.558047	4.901275	0.241613	0.120800	0.121450	0.516137	0.190161	0.093847	0.137826	0.578165	0.190275	0.094169	0.137429	0.578127	0.207610	0.103341	0.131724	0.557325	0.216606	0.107513	0.129505	0.546377	0.233450	0.116468	0.124046	0.526036	
1658000	-85.302158	34	1.234581	2.722380	7.032166	5.322812	0.199662	0.099947	0.133282	0.567108	0.001066	0.000874	0.125243	0.872817	0.002470	0.001848	0.135332	0.860350	0.006411	0.004300	0.147639	0.841651	0.030377	0.018125	0.156713	0.794786	0.117545	0.060704	0.152469	0.669282	
1659000	-82.888088	237	1.241261	2.129513	1.214852	1.384614	0.262046	0.092692	0.161048	0.484214	0.000005	0.000740	0.000810	0.998445	0.000115	0.003100	0.004316	0.992469	0.000113	0.003071	0.004289	0.992528	0.018392	0.030763	0.062485	0.888359	0.155388	0.073815	0.153002	0.617795	
1660000	-84.910756	781	7.445937	4.250737	11.589073	5.005527	0.242571	0.121261	0.121195	0.514974	0.211963	0.106049	0.129836	0.552152	0.206402	0.103175	0.131536	0.558887	0.211987	0.106103	0.129779	0.552132	0.233893	0.114650	0.126091	0.525365	0.242878	0.120986	0.121536	0.514600	
1661000	-88.343382	395	17.354593	14.465217	4.684209	5.494337	0.241157	0.121574	0.120579	0.516690	0.125331	0.154611	0.062692	0.657366	0.132924	0.152454	0.066483	0.648138	0.153606	0.146573	0.076812	0.623009	0.181427	0.138634	0.090718	0.589221	0.217848	0.128233	0.108925	0.544994	
1662000	-84.782039	854	8.489832	4.464323	1.303435	2.589944	0.210029	0.130497	0.104990	0.554484	0.005678	0.179850	0.003014	0.811458	0.003657	0.167621	0.002122	0.826600	0.031650	0.171921	0.016884	0.779545	0.046653	0.174530	0.023745	0.755072	0.125763	0.155368	0.062505	0.656364	
1663000	-83.663928	777	1.697190	1.903035	3.209153	3.259358	0.232389	0.123078	0.117150	0.527383	0.000527	0.002417	0.024940	0.972116	0.000734	0.002832	0.029480	0.966954	0.001790	0.006021	0.033520	0.958669	0.034274	0.046977	0.072627	0.846122	0.147860	0.105947	0.105237	0.640956	
1664000	-83.497550	494	0.165255	1.521408	31.731539	17.239628	0.112532	0.056266	0.158324	0.672878	0.000012	0.000006	0.190472	0.809510	0.000030	0.000015	0.190467	0.809487	0.000117	0.000058	0.190443	0.809382	0.011998	0.005999	0.187048	0.794955	0.057410	0.028705	0.174073	0.739811	
1665000	-84.296460	995	5.362331	4.062988	1.699359	2.006805	0.246259	0.119146	0.124127	0.510469	0.002152	0.080781	0.002865	0.914202	0.004055	0.080987	0.005358	0.909599	0.010542	0.099101	0.011005	0.879353	0.076140	0.118631	0.056533	0.748695	0.195827	0.120584	0.109654	0.573934	
1666000	-84.882380	75	1.184243	2.926842	2.912253	4.835665	0.159810	0.089292	0.130608	0.620290	0.000323	0.001683	0.022006	0.975989	0.001434	0.003971	0.040519	0.954076	0.001716	0.004454	0.043089	0.950742	0.009199	0.016068	0.061506	0.913227	0.068062	0.055341	0.110803	0.765795	
1667000	-82.000859	779	3.447292	3.451018	4.662831	3.152360	0.234521	0.116973	0.123770	0.524735	0.012590	0.023012	0.058320	0.906078	0.021632	0.028661	0.077452	0.872254	0.042921	0.044724	0.092559	0.819796	0.121113	0.077783	0.124029	0.677074	0.196617	0.101895	0.129784	0.571704	
1668000	-87.153244	430	12.505689	11.754067	4.198763	3.680718	0.239137	0.122151	0.119569	0.519143	0.060721	0.170490	0.030917	0.737872	0.085465	0.164574	0.043181	0.706780	0.133383	0.152062	0.066841	0.647713	0.170417	0.141601	0.085329	0.602653	0.213589	0.129424	0.106818	0.550169	
1669000	-82.837373	71	1.678564	2.369388	10.166109	6.676954	0.229545	0.114774	0.124890	0.530791	0.003524	0.001945	0.174755	0.819776	0.002682	0.001467	0.176267	0.819584	0.031458	0.016488	0.174526	0.777528	0.078569	0.039956	0.165609	0.715866	0.172350	0.086383	0.140918	0.600349	
1670000	-83.572978	415	3.548319	2.294674	3.171462	2.468365	0.251476	0.123741	0.120557	0.504227	0.007699	0.033459	0.025274	0.933568	0.015347	0.039974	0.040825	0.903854	0.027416	0.054805	0.051011	0.866768	0.110777	0.099564	0.091400	0.698260	0.222647	0.122481	0.115376	0.539495	
1671000	-82.007497	331	0.172284	1.928158	10.596272	6.600293	0.078628	0.039315	0.168007	0.714050	0.000030	0.000016	0.181540	0.818413	0.000032	0.000017	0.182942	0.817010	0.000201	0.000104	0.185771	0.813924	0.010848	0.005476	0.185937	0.797739	0.037803	0.018924	0.179503	0.763770	
1672000	-85.082292	431	8.027299	2.914748	6.205452	4.313469	0.244417	0.122613	0.120243	0.512726	0.197833	0.159624	0.081766	0.560777	0.188363	0.148130	0.086344	0.577163	0.201635	0.140320	0.095158	0.562887	0.244508	0.146294	0.100103	0.509096	0.253127	0.131420	0.113698	0.501756	
1673000	-83.100486	140	2.718801	2.260155	4.193105	3.434029	0.239221	0.122323	0.119418	0.519038	0.009384	0.017543	0.057609	0.915464	0.010079	0.016090	0.066841	0.906991	0.024378	0.030053	0.082374	0.863195	0.086693	0.071828	0.104628	0.736851	0.191090	0.112678	0.115805	0.580426	
1674000	-83.599271	109	2.674465	3.596257	7.771877	5.164925	0.226370	0.113245	0.125734	0.534652	0.010515	0.007112	0.145548	0.836825	0.008245	0.005536	0.147050	0.839169	0.018825	0.012019	0.150795	0.818360	0.081533	0.044676	0.154446	0.719344	0.172181	0.087241	0.139552	0.601026	
1675000	-81.437656	999	0.612991	1.161943	1.897489	1.933516	0.336696	0.151503	0.106078	0.405722	0.000000	0.000015	0.001578	0.998406	0.000006	0.000153	0.004375	0.995466	0.002193	0.009879	0.025147	0.962781	0.042034	0.049309	0.082823	0.825833	0.249207	0.125511	0.118403	0.506878	
1676000	-81.385694	656	1.256978	1.951196	2.278974	2.685516	0.235863	0.124076	0.116982	0.523079	0.000331	0.002705	0.014168	0.982796	0.000083	0.001186	0.008158	0.990572	0.001479	0.007432	0.022676	0.968413	0.041254	0.055108	0.073142	0.830496	0.152431	0.107172	0.106132	0.634266	
1677000	-83.712494	111	7.187941	4.267403	7.627731	4.501316	0.242468	0.121215	0.121219	0.515098	0.167878	0.110708	0.109216	0.612198	0.163571	0.105039	0.113247	0.618143	0.176467	0.108117	0.115246	0.600170	0.217902	0.116701	0.119842	0.545556	0.240669	0.120823	0.121222	0.517286	
1678000	-80.010193	779	0.163274	2.266473	2.038206	2.344429	0.065317	0.032744	0.171434	0.730505	0.000002	0.000029	0.007391	0.992578	0.000006	0.000043	0.016092	0.983859	0.000029	0.000136	0.024309	0.975527	0.004071	0.004914	0.088006	0.903010	0.024416	0.015065	0.153818	0.806700	
1679000	-84.204165	253	8.802843	6.037955	0.619674	1.270467	0.287527	0.108317	0.143774	0.460381	0.000321	0.171154	0.000183	0.828342	0.001398	0.175055	0.000773	0.822775	0.003069	0.178557	0.001652	0.816722	0.076655	0.165216	0.039240	0.718888	0.218977	0.127266	0.110059	0.543698	
1680000	-83.388394	498	0.637746	2.070595	0.118849	1.798456	0.032666	0.108859	0.029274	0.829201	0.000000	0.000364	0.000012	0.999624	0.000000	0.000536	0.000019	0.999444	0.000001	0.002055	0.000080	0.997863	0.000279	0.014575	0.002216	0.982930	0.006447	0.057310	0.012230	0.924013	
1681000	-84.986536	754	31.760016	19.209719	10.516990	4.628731	0.242456	0.121203	0.121228	0.515113	0.243191	0.120993	0.121596	0.514221	0.242877	0.121083	0.121439	0.514602	0.242504	0.121189	0.121252	0.515055	0.245239	0.120408	0.122620	0.511733	0.243737	0.120837	0.121868	0.513558	
1682000	-86.183487	952	6.101501	2.168021	6.758966	4.678139	0.250177	0.125287	0.118807	0.505729	0.187722	0.172769	0.072482	0.567026	0.118124	0.122192	0.077576	0.682108	0.152235	0.126300	0.089601	0.631863	0.270930	0.162595	0.092847	0.473628	0.278212	0.142975	0.107822	0.470990	
1683000	-82.915612	663	1.679446	2.029044	7.845193	5.500430	0.248346	0.124262	0.119434	0.507959	0.002699	0.001787	0.150222	0.845292	0.001442	0.000947	0.151645	0.845966	0.009726	0.005957	0.158609	0.825708	0.097311	0.052636	0.151859	0.698194	0.209318	0.106155	0.128895	0.555632	
