Options:
Model:                           MultiState
Tree File Name:                  data/austronesian.bttrees
Data File Name:                  data/austronesian.btdata
Log File Name:                   /Users/sp16194/Desktop/Projects_Git/terminology-anc-state/bt-output/austronesian/09-Aug-15_02.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            8656373
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /Users/sp16194/Desktop/Projects_Git/terminology-anc-state/bt-output/austronesian/09-Aug-15_02.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     30
Base frequency (PI's):           None
Character Symbols:               1,3,4,5,6,7
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q16                          RJ MCMC
    q17                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q36                          RJ MCMC
    q37                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q46                          RJ MCMC
    q47                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
    q56                          RJ MCMC
    q57                          RJ MCMC
    q61                          RJ MCMC
    q63                          RJ MCMC
    q64                          RJ MCMC
    q65                          RJ MCMC
    q67                          RJ MCMC
    q71                          RJ MCMC
    q73                          RJ MCMC
    q74                          RJ MCMC
    q75                          RJ MCMC
    q76                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      4199
     Taxa:                       85
     Sites:                      1
     States:                     6
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q16	q17	q31	q34	q35	q36	q37	q41	q43	q45	q46	q47	q51	q53	q54	q56	q57	q61	q63	q64	q65	q67	q71	q73	q74	q75	q76	Root P(1)	Root P(3)	Root P(4)	Root P(5)	Root P(6)	Root P(7)	
33000	-99.916829	4079	1	16	'Z Z 0 0 0 Z 0 Z Z Z 0 Z 0 Z Z 0 0 0 Z Z 0 0 Z 0 0 Z Z Z Z 0 	0.000000	0.000000	9.655909	9.655909	9.655909	0.000000	9.655909	0.000000	0.000000	0.000000	9.655909	0.000000	9.655909	0.000000	0.000000	9.655909	9.655909	9.655909	0.000000	0.000000	9.655909	9.655909	0.000000	9.655909	9.655909	0.000000	0.000000	0.000000	0.000000	9.655909	0.000597	0.926941	0.006267	0.052251	0.013890	0.000054	
34000	-96.137874	54	1	12	'0 0 0 0 0 Z 0 Z Z Z 0 Z 0 Z Z Z 0 0 Z Z 0 0 0 0 0 Z 0 0 Z 0 	15.381868	15.381868	15.381868	15.381868	15.381868	0.000000	15.381868	0.000000	0.000000	0.000000	15.381868	0.000000	15.381868	0.000000	0.000000	0.000000	15.381868	15.381868	0.000000	0.000000	15.381868	15.381868	15.381868	15.381868	15.381868	0.000000	15.381868	15.381868	0.000000	15.381868	0.076793	0.658614	0.035816	0.064301	0.076772	0.087705	
35000	-95.084001	553	1	14	'0 Z 0 0 0 Z 0 Z Z Z 0 Z 0 Z Z Z Z 0 Z Z 0 Z 0 0 0 0 Z 0 0 0 	16.636256	0.000000	16.636256	16.636256	16.636256	0.000000	16.636256	0.000000	0.000000	0.000000	16.636256	0.000000	16.636256	0.000000	0.000000	0.000000	0.000000	16.636256	0.000000	0.000000	16.636256	0.000000	16.636256	16.636256	16.636256	16.636256	0.000000	16.636256	16.636256	16.636256	0.014286	0.984532	0.000608	0.000006	0.000284	0.000284	
36000	-96.242238	3438	1	19	'0 Z 0 0 0 Z 0 Z Z 0 0 Z 0 Z Z Z Z Z Z Z Z Z Z 0 Z 0 Z 0 Z Z 	12.981735	0.000000	12.981735	12.981735	12.981735	0.000000	12.981735	0.000000	0.000000	12.981735	12.981735	0.000000	12.981735	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12.981735	0.000000	12.981735	0.000000	12.981735	0.000000	0.000000	0.004256	0.994776	0.000661	0.000000	0.000000	0.000306	
37000	-94.627241	274	1	18	'0 Z 0 0 0 Z 0 Z Z Z 0 Z 0 Z Z Z Z 0 Z Z 0 Z Z 0 Z Z 0 0 Z Z 	14.432038	0.000000	14.432038	14.432038	14.432038	0.000000	14.432038	0.000000	0.000000	0.000000	14.432038	0.000000	14.432038	0.000000	0.000000	0.000000	0.000000	14.432038	0.000000	0.000000	14.432038	0.000000	0.000000	14.432038	0.000000	0.000000	14.432038	14.432038	0.000000	0.000000	0.036801	0.859821	0.003315	0.000079	0.000775	0.099209	
38000	-99.315762	3814	1	19	'0 Z 0 0 0 Z 0 Z Z Z 0 Z 0 Z Z Z Z 0 Z Z Z Z Z 0 0 0 Z Z Z Z 	25.066584	0.000000	25.066584	25.066584	25.066584	0.000000	25.066584	0.000000	0.000000	0.000000	25.066584	0.000000	25.066584	0.000000	0.000000	0.000000	0.000000	25.066584	0.000000	0.000000	0.000000	0.000000	0.000000	25.066584	25.066584	25.066584	0.000000	0.000000	0.000000	0.000000	0.027834	0.968936	0.002574	0.000129	0.000032	0.000493	
39000	-97.561282	1755	1	15	'0 Z 0 0 0 Z 0 Z Z Z 0 Z 0 Z Z Z 0 0 Z Z Z Z Z 0 0 0 0 Z 0 0 	15.529184	0.000000	15.529184	15.529184	15.529184	0.000000	15.529184	0.000000	0.000000	0.000000	15.529184	0.000000	15.529184	0.000000	0.000000	0.000000	15.529184	15.529184	0.000000	0.000000	0.000000	0.000000	0.000000	15.529184	15.529184	15.529184	15.529184	0.000000	15.529184	15.529184	0.034232	0.810747	0.018727	0.099157	0.002894	0.034243	
40000	-97.723637	77	1	15	'0 0 Z 0 0 Z 0 Z Z Z 0 Z 0 Z Z Z 0 0 Z Z Z Z 0 0 0 0 Z 0 Z 0 	20.220424	20.220424	0.000000	20.220424	20.220424	0.000000	20.220424	0.000000	0.000000	0.000000	20.220424	0.000000	20.220424	0.000000	0.000000	0.000000	20.220424	20.220424	0.000000	0.000000	0.000000	0.000000	20.220424	20.220424	20.220424	20.220424	0.000000	20.220424	0.000000	20.220424	0.061488	0.737471	0.041549	0.140969	0.012157	0.006367	
41000	-99.267348	3205	1	18	'Z Z Z 0 0 Z 0 Z Z Z 0 Z 0 Z Z Z 0 0 Z Z 0 Z 0 0 Z 0 Z Z Z 0 	0.000000	0.000000	0.000000	11.716684	11.716684	0.000000	11.716684	0.000000	0.000000	0.000000	11.716684	0.000000	11.716684	0.000000	0.000000	0.000000	11.716684	11.716684	0.000000	0.000000	11.716684	0.000000	11.716684	11.716684	0.000000	11.716684	0.000000	0.000000	0.000000	11.716684	0.000032	0.905859	0.005972	0.084961	0.003144	0.000032	
42000	-93.550954	2416	1	15	'Z 0 Z 0 0 Z 0 Z Z Z 0 Z 0 Z Z Z Z 0 Z Z 0 0 0 0 0 Z Z 0 0 0 	0.000000	19.120656	0.000000	19.120656	19.120656	0.000000	19.120656	0.000000	0.000000	0.000000	19.120656	0.000000	19.120656	0.000000	0.000000	0.000000	0.000000	19.120656	0.000000	0.000000	19.120656	19.120656	19.120656	19.120656	19.120656	0.000000	0.000000	19.120656	19.120656	19.120656	0.000174	0.985711	0.000001	0.000000	0.013977	0.000138	
