Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.bttrees
Data File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.btdata
Log File Name:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-3ANCrecon-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3134403187
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-3ANCrecon-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.242424,0.121212,0.121212,0.515152)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	5
	ANC5	2	R11_Umbundu G61_Sangu 
	ANC4	2	JD53_Shi G61_Sangu 
	ANC3	2	L11_Pende G61_Sangu 
	ANC2	2	C83_Bushong G61_Sangu 
	ANC1	2	C41_Ngombe G61_Sangu 
Scale Tree:                      0.000000
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Node reconstruction / fossilisation:
	MRCA RecNodeUmbundu ANC5
	MRCA RecNodeShi ANC4
	MRCA RecNodePende ANC3
	MRCA RecNodeBushong ANC2
	MRCA RecNodeNgombe ANC1
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RecNodeUmbundu - P(0,0)	RecNodeUmbundu - P(0,1)	RecNodeUmbundu - P(1,0)	RecNodeUmbundu - P(1,1)	RecNodeShi - P(0,0)	RecNodeShi - P(0,1)	RecNodeShi - P(1,0)	RecNodeShi - P(1,1)	RecNodePende - P(0,0)	RecNodePende - P(0,1)	RecNodePende - P(1,0)	RecNodePende - P(1,1)	RecNodeBushong - P(0,0)	RecNodeBushong - P(0,1)	RecNodeBushong - P(1,0)	RecNodeBushong - P(1,1)	RecNodeNgombe - P(0,0)	RecNodeNgombe - P(0,1)	RecNodeNgombe - P(1,0)	RecNodeNgombe - P(1,1)	
929000	-80.766704	52	0.940413	1.697529	1.551086	2.369907	0.239340	0.129551	0.112680	0.518429	0.000005	0.000290	0.001830	0.997875	0.000018	0.000518	0.004115	0.995349	0.000133	0.002300	0.006739	0.990828	0.022736	0.045693	0.051518	0.880052	0.146808	0.109762	0.101077	0.642353	
930000	-83.114071	161	0.573924	1.406670	20.173547	12.239130	0.221380	0.110690	0.127225	0.540706	0.000364	0.000182	0.190324	0.809130	0.000578	0.000289	0.190282	0.808851	0.001932	0.000966	0.189914	0.807189	0.039166	0.019584	0.179283	0.761967	0.140307	0.070154	0.150388	0.639151	
931000	-84.087318	166	0.760507	1.716779	12.378405	10.274702	0.198205	0.099103	0.133846	0.568846	0.000078	0.000040	0.187688	0.812195	0.000488	0.000248	0.187964	0.811300	0.003353	0.001690	0.188325	0.806633	0.031155	0.015650	0.180880	0.772315	0.116570	0.058330	0.157063	0.668036	
932000	-82.811238	635	1.280651	2.043443	5.506045	2.571999	0.227996	0.108894	0.131057	0.532053	0.000787	0.000716	0.114326	0.884171	0.001799	0.001473	0.125198	0.871529	0.030126	0.018238	0.154845	0.796791	0.064443	0.029412	0.185707	0.720438	0.177817	0.074029	0.164838	0.583316	
933000	-82.591493	805	2.557431	2.462814	3.968864	2.531529	0.246857	0.117861	0.125592	0.509690	0.001303	0.004546	0.032437	0.961714	0.002807	0.007332	0.042667	0.947193	0.021155	0.029313	0.074309	0.875223	0.095289	0.066405	0.121081	0.717224	0.216706	0.104815	0.132743	0.545737	
934000	-87.842821	941	1.772704	3.563606	21.737051	6.390949	0.195073	0.097536	0.134741	0.572650	0.004431	0.002206	0.189895	0.803468	0.013465	0.006722	0.186859	0.792954	0.015741	0.007864	0.186102	0.790294	0.040807	0.020386	0.178943	0.759864	0.117305	0.058648	0.156971	0.667076	
935000	-84.825726	124	3.395765	2.377165	5.553643	3.161130	0.245133	0.121843	0.121155	0.511869	0.014742	0.016933	0.089965	0.878360	0.023126	0.021874	0.105643	0.849357	0.029933	0.027023	0.108725	0.834320	0.135922	0.078949	0.132240	0.652889	0.230245	0.114102	0.125789	0.529864	
936000	-84.299671	595	4.960375	4.443525	6.002548	4.515847	0.239666	0.120274	0.121554	0.518506	0.064299	0.063619	0.092675	0.779407	0.058993	0.056203	0.097251	0.787553	0.090512	0.071519	0.108596	0.729373	0.129221	0.086134	0.117712	0.666933	0.193899	0.106576	0.123329	0.576196	
937000	-84.218911	102	1.143917	2.061001	9.962707	7.296616	0.223053	0.111541	0.126731	0.538676	0.001024	0.000562	0.176257	0.822157	0.002120	0.001133	0.179859	0.816888	0.006668	0.003495	0.181451	0.808385	0.073812	0.037521	0.167016	0.721651	0.165320	0.082919	0.142830	0.608930	
938000	-82.305404	898	1.144451	2.439652	6.510691	4.956934	0.181055	0.091012	0.138055	0.589878	0.002258	0.001829	0.126315	0.869599	0.001466	0.001148	0.130227	0.867159	0.004783	0.003407	0.140580	0.851229	0.026043	0.016261	0.151841	0.805855	0.103515	0.054815	0.153000	0.688670	
939000	-85.281221	323	9.821224	4.638929	8.557211	5.888842	0.242442	0.121236	0.121193	0.515130	0.214939	0.129251	0.107310	0.548501	0.220081	0.124452	0.112883	0.542584	0.231760	0.122642	0.117424	0.528174	0.239279	0.123200	0.118576	0.518945	0.242628	0.122561	0.119919	0.514892	
940000	-83.441661	101	4.031216	3.243177	7.187128	5.090873	0.238085	0.119187	0.122305	0.520423	0.047627	0.034860	0.127054	0.790459	0.064195	0.041808	0.136785	0.757212	0.094572	0.056488	0.139695	0.709245	0.144408	0.080014	0.135835	0.639743	0.211328	0.107960	0.127418	0.553294	
941000	-84.512357	64	0.287041	2.805969	20.006547	11.115490	0.095319	0.047659	0.163242	0.693780	0.000053	0.000026	0.190378	0.809543	0.000053	0.000026	0.190378	0.809543	0.000205	0.000103	0.190368	0.809323	0.010314	0.005157	0.187523	0.797006	0.040396	0.020198	0.178935	0.760472	
942000	-82.082866	644	0.181243	2.038988	23.187348	13.582575	0.086357	0.043179	0.165803	0.704661	0.000008	0.000004	0.190432	0.809557	0.000078	0.000039	0.190442	0.809441	0.000091	0.000045	0.190442	0.809422	0.007300	0.003650	0.188389	0.800661	0.036858	0.018429	0.179945	0.764768	
943000	-83.294868	321	1.344871	2.095165	1.268417	1.462403	0.248332	0.096827	0.151787	0.503054	0.000020	0.001387	0.001684	0.996910	0.000044	0.001852	0.002782	0.995322	0.000355	0.006082	0.006768	0.986795	0.019226	0.035708	0.056298	0.888767	0.143319	0.079231	0.136417	0.641032	
944000	-84.429394	917	2.657256	2.726730	24.885239	19.381117	0.229487	0.114744	0.124908	0.530861	0.018618	0.009309	0.185154	0.786919	0.010543	0.005271	0.187462	0.796724	0.023357	0.011678	0.183802	0.781163	0.114915	0.057457	0.157643	0.669985	0.193543	0.096771	0.135178	0.574508	
945000	-85.471930	316	24.137678	16.193034	5.762603	3.854785	0.242037	0.121323	0.121019	0.515622	0.134990	0.151902	0.067498	0.645610	0.142174	0.149851	0.071089	0.636886	0.179568	0.139171	0.089784	0.591478	0.210435	0.130352	0.105217	0.553996	0.233757	0.123688	0.116878	0.525676	
946000	-82.666638	835	1.114170	1.933834	0.878838	2.466596	0.171559	0.126294	0.096750	0.605397	0.000001	0.000393	0.000384	0.999221	0.000003	0.000622	0.000574	0.998802	0.000029	0.002364	0.001428	0.996179	0.004872	0.031057	0.017468	0.946603	0.057876	0.095535	0.056324	0.790265	
947000	-82.618257	233	0.911328	2.062787	0.749312	2.869476	0.146959	0.123071	0.089917	0.640053	0.000001	0.000403	0.000379	0.999217	0.000003	0.000540	0.000564	0.998893	0.000850	0.011669	0.008395	0.979085	0.008752	0.041064	0.023241	0.926943	0.045997	0.090870	0.048512	0.814621	
948000	-83.363205	816	2.433295	2.607832	5.201337	3.163141	0.233136	0.114113	0.126490	0.526261	0.004499	0.005259	0.090556	0.899685	0.003473	0.003992	0.092155	0.900381	0.025379	0.021874	0.114431	0.838316	0.100850	0.058334	0.142112	0.698704	0.190827	0.092848	0.139479	0.576847	
949000	-81.375251	694	1.244072	1.990083	1.136765	1.872586	0.266153	0.119827	0.127209	0.486812	0.000005	0.000739	0.000817	0.998439	0.000168	0.003937	0.004967	0.990929	0.000254	0.005431	0.005432	0.988883	0.048846	0.067345	0.069487	0.814323	0.182898	0.108159	0.117636	0.591307	
950000	-83.987228	195	2.668836	3.088124	5.855704	4.052236	0.226654	0.114004	0.124985	0.534358	0.003837	0.005535	0.074696	0.915932	0.004829	0.005942	0.086331	0.902897	0.044805	0.033936	0.123857	0.797402	0.091698	0.058319	0.132687	0.717296	0.172646	0.092152	0.132780	0.602422	
951000	-80.519105	429	0.554372	2.139118	0.795252	2.196028	0.148778	0.096621	0.115734	0.638867	0.000001	0.000151	0.001144	0.998704	0.000002	0.000249	0.000713	0.999036	0.000048	0.001684	0.003358	0.994910	0.005246	0.019862	0.029382	0.945510	0.050584	0.059733	0.080607	0.809076	
952000	-85.443146	91	27.439056	21.408279	6.379755	3.480685	0.243066	0.121029	0.121533	0.514372	0.190063	0.136172	0.095032	0.578733	0.203399	0.132362	0.101700	0.562539	0.212938	0.129637	0.106469	0.550956	0.237729	0.122554	0.118865	0.520853	0.246068	0.120171	0.123034	0.510728	
953000	-85.969500	920	8.420949	3.959096	0.156472	1.804103	0.067016	0.171797	0.033400	0.727788	0.000012	0.183942	0.000006	0.816040	0.000026	0.177377	0.000014	0.822582	0.000110	0.179644	0.000059	0.820187	0.005482	0.192765	0.002674	0.799079	0.030239	0.185306	0.014776	0.769680	
954000	-82.691319	713	1.230527	1.707002	10.194786	6.151526	0.247924	0.123966	0.119637	0.508474	0.003946	0.002133	0.177650	0.816271	0.002831	0.001492	0.181686	0.813990	0.011147	0.005758	0.182385	0.800710	0.074766	0.037816	0.167462	0.719956	0.191549	0.095878	0.135610	0.576963	
955000	-85.115955	831	13.566067	9.827838	2.085717	2.532695	0.227640	0.125436	0.113820	0.533104	0.009884	0.185674	0.005007	0.799435	0.021941	0.183090	0.011052	0.783917	0.065362	0.171398	0.032772	0.730468	0.103592	0.160714	0.051857	0.683836	0.186453	0.137189	0.093237	0.583121	
956000	-81.343622	832	1.600478	2.102360	1.238773	2.231685	0.207010	0.124246	0.109601	0.559143	0.000440	0.007045	0.007236	0.985279	0.000017	0.001344	0.001495	0.997144	0.001070	0.013453	0.009139	0.976338	0.022716	0.057186	0.041078	0.879020	0.110671	0.108759	0.083455	0.697114	
957000	-81.747749	645	0.103623	2.154167	4.013628	2.779884	0.039937	0.019953	0.179180	0.760930	0.000000	0.000001	0.042588	0.957411	0.000006	0.000011	0.058667	0.941316	0.000032	0.000047	0.075577	0.924344	0.002876	0.002209	0.132160	0.862754	0.014716	0.007993	0.174007	0.803284	
958000	-80.388879	253	1.938641	2.683327	2.328590	2.469059	0.224098	0.113839	0.124498	0.537566	0.000278	0.003784	0.008543	0.987395	0.001107	0.006761	0.018754	0.973378	0.002982	0.013124	0.025614	0.958281	0.049166	0.056005	0.083767	0.811063	0.142802	0.090025	0.120652	0.646521	
959000	-82.831420	832	3.216674	2.950145	3.744239	2.576329	0.236874	0.116750	0.124556	0.521821	0.019020	0.033236	0.059783	0.887960	0.006489	0.016015	0.044474	0.933023	0.027107	0.040224	0.068512	0.864158	0.096925	0.072250	0.113252	0.717573	0.191291	0.099224	0.131167	0.578318	
960000	-85.453572	624	13.119778	9.742170	4.421747	3.448872	0.240207	0.121845	0.120104	0.517844	0.059753	0.170455	0.030490	0.739302	0.081829	0.165055	0.041505	0.711611	0.094478	0.162067	0.047716	0.695739	0.171187	0.141190	0.085840	0.601784	0.226206	0.125828	0.113120	0.534847	
961000	-85.058415	479	6.709597	3.217056	16.649633	9.996037	0.243611	0.121805	0.120873	0.513710	0.204206	0.102480	0.131666	0.561648	0.187084	0.093778	0.136699	0.582439	0.188139	0.094288	0.136424	0.581149	0.239089	0.119609	0.122100	0.519203	0.248691	0.124346	0.119421	0.507542	
962000	-84.070260	384	0.822756	2.046706	25.448958	10.844419	0.179488	0.089744	0.139194	0.591574	0.000528	0.000264	0.190326	0.808881	0.000701	0.000351	0.190277	0.808671	0.012616	0.006308	0.186874	0.794203	0.029450	0.014725	0.182063	0.773761	0.109124	0.054562	0.159298	0.677016	
963000	-82.500634	449	0.358851	1.985292	13.228734	5.481575	0.123471	0.061732	0.155206	0.659591	0.000058	0.000029	0.191861	0.808052	0.000187	0.000093	0.191407	0.808314	0.000782	0.000390	0.190762	0.808066	0.013915	0.006884	0.188120	0.791082	0.058953	0.029392	0.174055	0.737600	
964000	-86.071030	930	7.734113	4.571010	0.644482	1.090904	0.342290	0.092751	0.171030	0.393928	0.000431	0.164673	0.000257	0.834639	0.002720	0.166925	0.001589	0.828766	0.004846	0.173381	0.002693	0.819080	0.079822	0.163246	0.041174	0.715758	0.262609	0.115613	0.131119	0.490659	
965000	-82.956438	911	2.202880	1.697823	13.076536	9.255861	0.267649	0.133825	0.114005	0.484521	0.005956	0.003046	0.185318	0.805680	0.017496	0.008819	0.184249	0.789436	0.023231	0.011689	0.182891	0.782188	0.126061	0.063204	0.154082	0.656652	0.247614	0.123835	0.119702	0.508849	
966000	-82.574998	421	1.540015	2.513611	6.504093	4.234956	0.218808	0.109474	0.127880	0.543838	0.003216	0.002625	0.125266	0.868893	0.007887	0.005577	0.140730	0.845806	0.006834	0.004805	0.141672	0.846688	0.056425	0.032332	0.155224	0.756019	0.138988	0.071707	0.146566	0.642739	
967000	-84.818417	237	1.171749	3.143482	19.891406	10.043643	0.177099	0.088549	0.139877	0.594476	0.001197	0.000599	0.190072	0.808132	0.005088	0.002545	0.189000	0.803367	0.004263	0.002132	0.189239	0.804366	0.031456	0.015728	0.181490	0.771326	0.104510	0.052255	0.160616	0.682618	
968000	-85.386452	190	11.250641	7.084607	12.591424	8.053225	0.242422	0.121212	0.121212	0.515154	0.233117	0.120041	0.120298	0.526543	0.234770	0.119449	0.121279	0.524502	0.235927	0.119669	0.121323	0.523080	0.240186	0.120700	0.121240	0.517874	0.242236	0.121169	0.121215	0.515380	
969000	-83.777158	499	3.476054	2.158027	3.321722	1.870829	0.280785	0.117591	0.131943	0.469682	0.006464	0.026022	0.027471	0.940044	0.010366	0.028372	0.039617	0.921645	0.024195	0.044933	0.055456	0.875416	0.161865	0.091759	0.128276	0.618101	0.305669	0.109209	0.144945	0.440178	
970000	-81.885700	212	0.776273	1.589241	1.244735	2.547126	0.191832	0.127590	0.102289	0.578289	0.000000	0.000042	0.000417	0.999541	0.000015	0.000542	0.003238	0.996205	0.004785	0.019902	0.026831	0.948482	0.013071	0.036453	0.038474	0.912001	0.081134	0.097493	0.073247	0.748127	
971000	-83.174406	732	1.427494	1.649922	15.648116	11.944608	0.277126	0.138563	0.111297	0.473014	0.001140	0.000573	0.189292	0.808996	0.002549	0.001279	0.189205	0.806966	0.008692	0.004355	0.187677	0.799276	0.116857	0.058460	0.157013	0.667670	0.251692	0.125849	0.118561	0.503898	
972000	-82.160291	589	1.314812	1.833161	5.740618	3.858183	0.221317	0.111069	0.126784	0.540830	0.004506	0.003920	0.118119	0.873456	0.003034	0.002410	0.128329	0.866227	0.004253	0.003321	0.129950	0.862477	0.053823	0.032456	0.149163	0.764558	0.153201	0.079955	0.141065	0.625779	
973000	-85.158971	384	9.202953	5.065651	4.845810	2.434460	0.253242	0.118167	0.126572	0.502018	0.114270	0.146753	0.062014	0.676962	0.118233	0.142901	0.065540	0.673325	0.163334	0.136218	0.086594	0.613853	0.227005	0.123150	0.115811	0.534034	0.266356	0.114542	0.132989	0.486112	
974000	-83.028693	958	1.798794	1.721734	4.168083	4.727373	0.271908	0.144444	0.105821	0.477826	0.000323	0.001137	0.032315	0.966224	0.001678	0.003891	0.048015	0.946416	0.017650	0.025190	0.072892	0.884268	0.056508	0.064003	0.082757	0.796731	0.206691	0.135418	0.100152	0.557739	
975000	-85.669996	135	55.932363	38.691812	9.847924	5.413198	0.242436	0.121209	0.121218	0.515138	0.232166	0.124143	0.116083	0.527607	0.235101	0.123305	0.117550	0.524044	0.237343	0.122664	0.118672	0.521321	0.241829	0.121382	0.120914	0.515874	0.242614	0.121158	0.121307	0.514921	
976000	-85.842918	671	5.751794	4.313601	21.917979	9.267066	0.240815	0.120407	0.121672	0.517106	0.128490	0.064227	0.153804	0.653480	0.122631	0.061303	0.155466	0.660600	0.154255	0.077124	0.146410	0.622211	0.193804	0.096893	0.135115	0.574188	0.232455	0.116227	0.124061	0.527256	
977000	-84.636471	423	26.904366	14.711117	3.877292	2.887010	0.243581	0.120882	0.121790	0.513747	0.056768	0.174252	0.028385	0.740595	0.039276	0.179246	0.019639	0.761840	0.063913	0.172213	0.031957	0.731917	0.161512	0.144330	0.080756	0.613402	0.231927	0.124211	0.115964	0.527898	
978000	-83.559653	681	1.160437	1.853180	11.531446	7.807520	0.236405	0.118204	0.122931	0.522460	0.000597	0.000313	0.183236	0.815854	0.001609	0.000833	0.184839	0.812719	0.003826	0.001965	0.185321	0.808888	0.059381	0.030023	0.171890	0.738706	0.174799	0.087498	0.140388	0.597316	
979000	-83.097341	115	1.619162	1.502888	8.875472	5.582596	0.300701	0.150371	0.104546	0.444382	0.001707	0.001047	0.160472	0.836774	0.002944	0.001731	0.165929	0.829396	0.005242	0.003057	0.166456	0.825245	0.130692	0.068523	0.146753	0.654031	0.284150	0.142882	0.108638	0.464331	
980000	-85.087856	114	6.061392	2.830623	7.894015	5.396278	0.244223	0.122143	0.120667	0.512967	0.182828	0.109683	0.115994	0.591494	0.173858	0.101537	0.121493	0.603112	0.186994	0.105387	0.122205	0.585415	0.237422	0.125596	0.115889	0.521094	0.253743	0.128323	0.116622	0.501312	
981000	-83.464718	950	0.416773	2.173063	8.227292	4.519182	0.123545	0.061700	0.155340	0.659415	0.000023	0.000014	0.160378	0.839585	0.000269	0.000156	0.168364	0.831211	0.000516	0.000293	0.171356	0.827834	0.015669	0.008066	0.181610	0.794654	0.061497	0.030581	0.173706	0.734217	
982000	-86.576233	20	14.666384	5.282155	11.699952	6.810695	0.242432	0.121216	0.121210	0.515142	0.241399	0.123950	0.118307	0.516344	0.241019	0.122861	0.119282	0.516838	0.240972	0.122598	0.119529	0.516901	0.243026	0.122085	0.120472	0.514416	0.242631	0.121337	0.121132	0.514900	
983000	-82.784138	70	0.943478	1.394232	4.354859	3.244583	0.299217	0.151898	0.103270	0.445615	0.000099	0.000269	0.041430	0.958202	0.000310	0.000665	0.051971	0.947054	0.001106	0.002025	0.060170	0.936700	0.062080	0.051752	0.109595	0.776573	0.226287	0.124791	0.114096	0.534826	
984000	-84.908909	109	0.824210	3.479886	8.957605	6.279649	0.166332	0.083183	0.142926	0.607559	0.000200	0.000118	0.165472	0.834210	0.000356	0.000210	0.166415	0.833019	0.002210	0.001260	0.170460	0.826069	0.028133	0.014796	0.174954	0.782116	0.087781	0.044194	0.164418	0.703607	
985000	-83.783383	279	13.549495	6.523436	2.178347	2.477519	0.233703	0.123705	0.116850	0.525742	0.011357	0.187618	0.005664	0.795361	0.019639	0.184386	0.009850	0.786125	0.024415	0.183097	0.012240	0.780247	0.096949	0.163066	0.048375	0.691610	0.191022	0.135972	0.095456	0.577550	
986000	-82.506042	966	0.900649	1.614288	0.285084	2.103292	0.094138	0.158930	0.048659	0.698272	0.000000	0.000324	0.000026	0.999649	0.000003	0.001409	0.000279	0.998309	0.000436	0.013785	0.003657	0.982122	0.002669	0.040968	0.007273	0.949089	0.025455	0.114285	0.021966	0.838295	
987000	-83.732320	983	0.801728	2.042438	25.533212	14.054098	0.187100	0.093550	0.137019	0.582331	0.002497	0.001248	0.189760	0.806495	0.001277	0.000638	0.190110	0.807975	0.004137	0.002069	0.189294	0.804501	0.033912	0.016956	0.180787	0.768346	0.105983	0.052992	0.160195	0.680830	
988000	-85.116521	875	0.278668	1.656808	2.081809	4.434969	0.093630	0.056407	0.138865	0.711098	0.000001	0.000022	0.006711	0.993266	0.000012	0.000094	0.014356	0.985538	0.001739	0.005200	0.037600	0.955461	0.002226	0.006016	0.041379	0.950379	0.026056	0.028011	0.093310	0.852623	
989000	-83.551688	855	2.515169	1.695841	1.832910	3.032379	0.220962	0.144866	0.096485	0.537686	0.003009	0.023325	0.014559	0.959107	0.001384	0.013881	0.011415	0.973321	0.002044	0.019626	0.011840	0.966490	0.022085	0.078920	0.028653	0.870342	0.139576	0.149825	0.070189	0.640410	
990000	-86.749218	116	6.600425	2.894928	8.229043	7.741884	0.245768	0.122935	0.120207	0.511090	0.202142	0.128921	0.104178	0.564759	0.197815	0.113992	0.116679	0.571514	0.224187	0.122317	0.115917	0.537579	0.252938	0.132699	0.112534	0.501829	0.258682	0.130768	0.115266	0.495284	
991000	-82.090092	895	0.564874	1.870625	5.503770	3.735621	0.186017	0.093244	0.137003	0.583736	0.000044	0.000053	0.088893	0.911010	0.000076	0.000092	0.088556	0.911277	0.007199	0.006309	0.116754	0.869738	0.032566	0.020915	0.146543	0.799977	0.115643	0.060077	0.152201	0.672079	
992000	-82.909438	932	1.482690	2.507566	10.768071	5.928069	0.217816	0.108905	0.128247	0.545032	0.001340	0.000711	0.181031	0.816918	0.001369	0.000725	0.181501	0.816405	0.007145	0.003731	0.181887	0.807237	0.060708	0.030657	0.171684	0.736951	0.155219	0.077588	0.146164	0.621029	
993000	-83.275770	219	2.747650	1.831714	12.171184	7.126149	0.263774	0.131887	0.115112	0.489227	0.025030	0.012901	0.178788	0.783282	0.030380	0.015390	0.179837	0.774392	0.047970	0.024191	0.175509	0.752330	0.159425	0.079926	0.144572	0.616077	0.251837	0.125938	0.118504	0.503721	
994000	-82.247194	51	2.089580	2.168832	2.835157	3.545182	0.219753	0.123421	0.113758	0.543069	0.002421	0.010422	0.026258	0.960899	0.001461	0.006328	0.026234	0.965978	0.006919	0.018605	0.040847	0.933629	0.048405	0.064581	0.071878	0.815136	0.136118	0.110844	0.095059	0.657979	
995000	-83.229650	76	6.081020	3.631607	1.654541	2.017454	0.243441	0.120954	0.121688	0.513917	0.004351	0.125679	0.003529	0.866442	0.006404	0.118272	0.005541	0.869783	0.017526	0.134732	0.012778	0.834963	0.085393	0.145557	0.049652	0.719397	0.194506	0.132216	0.099334	0.573943	
996000	-83.160173	233	0.910078	2.625149	13.617631	5.965185	0.188362	0.094181	0.136659	0.580798	0.000695	0.000348	0.190095	0.808863	0.000929	0.000465	0.190106	0.808500	0.016652	0.008311	0.185999	0.789039	0.050403	0.025161	0.176316	0.748120	0.107114	0.053514	0.159983	0.679388	
997000	-83.555126	837	4.896201	3.828375	5.234845	3.395112	0.239824	0.120097	0.121767	0.518311	0.058173	0.068944	0.078825	0.794058	0.049886	0.059298	0.080227	0.810588	0.060202	0.065883	0.084829	0.789086	0.136352	0.092409	0.114078	0.657162	0.214185	0.112407	0.123315	0.550093	
998000	-84.255443	251	6.655314	5.910718	1.583658	2.368034	0.231429	0.124010	0.116039	0.528522	0.001352	0.114966	0.001221	0.882461	0.002981	0.113054	0.002734	0.881231	0.006546	0.127418	0.005203	0.860832	0.069535	0.139474	0.043824	0.747166	0.175991	0.133365	0.092813	0.597831	
999000	-83.908766	4	3.089741	1.975742	3.186087	2.275830	0.255557	0.124019	0.121060	0.499364	0.006437	0.021449	0.033150	0.938964	0.002757	0.011662	0.026668	0.958913	0.013948	0.033214	0.044859	0.907980	0.092406	0.085577	0.092655	0.729362	0.236201	0.122760	0.118324	0.522715	
1000000	-85.820366	694	3.962743	4.653999	5.552223	5.162661	0.236646	0.119074	0.122093	0.522188	0.019725	0.027679	0.073687	0.878909	0.043720	0.043523	0.096469	0.816287	0.056103	0.050485	0.103299	0.790114	0.144573	0.089116	0.122817	0.643495	0.181928	0.101676	0.124581	0.591816	
1001000	-83.544307	863	1.499104	1.494047	6.602224	5.607316	0.286729	0.143833	0.108178	0.461260	0.003605	0.003088	0.119945	0.873362	0.001272	0.001039	0.125627	0.872062	0.009497	0.006763	0.139486	0.844253	0.093406	0.056755	0.137855	0.711985	0.245060	0.127213	0.115979	0.511748	
1002000	-82.647836	736	1.456152	1.619805	2.923653	3.411715	0.270053	0.142683	0.106950	0.480314	0.000089	0.000890	0.011658	0.987363	0.000067	0.000642	0.012093	0.987198	0.002426	0.008991	0.030417	0.958166	0.050122	0.070205	0.068160	0.811513	0.197585	0.141247	0.093433	0.567735	
1003000	-83.789481	856	0.953774	2.251584	35.951247	23.541504	0.197659	0.098829	0.134002	0.569510	0.000507	0.000254	0.190331	0.808908	0.000804	0.000402	0.190246	0.808547	0.003701	0.001851	0.189419	0.805030	0.044238	0.022119	0.177837	0.755806	0.132497	0.066249	0.152620	0.648634	
1004000	-84.616529	165	3.695471	2.979780	1.476142	2.891615	0.197980	0.129945	0.102154	0.569920	0.001188	0.037723	0.003549	0.957540	0.000918	0.030256	0.003447	0.965378	0.007789	0.065103	0.012867	0.914240	0.038374	0.103992	0.035683	0.821951	0.104347	0.129890	0.066124	0.699639	
1005000	-85.552646	202	19.548343	13.018562	16.800001	8.354274	0.242424	0.121212	0.121212	0.515151	0.242151	0.121247	0.121118	0.515483	0.242257	0.121238	0.121151	0.515355	0.242300	0.121234	0.121164	0.515303	0.242424	0.121208	0.121216	0.515152	0.242431	0.121210	0.121216	0.515144	
1006000	-83.940081	202	0.173414	1.992354	21.184244	10.162313	0.070564	0.035282	0.170315	0.723839	0.000164	0.000082	0.190409	0.809345	0.000026	0.000013	0.190457	0.809504	0.000115	0.000058	0.190435	0.809392	0.006307	0.003153	0.188676	0.801864	0.027848	0.013924	0.182520	0.775708	
1007000	-82.418749	174	2.930552	1.943768	1.666725	2.244776	0.240579	0.137145	0.106453	0.515823	0.002188	0.026470	0.009356	0.961986	0.000532	0.013354	0.004604	0.981510	0.003255	0.031840	0.011468	0.953437	0.042796	0.097014	0.042440	0.817751	0.174481	0.144065	0.084988	0.596466	
1008000	-81.546819	827	0.265870	2.139902	1.391806	1.916537	0.102806	0.051202	0.161653	0.684340	0.000000	0.000005	0.001101	0.998894	0.000001	0.000054	0.002574	0.997371	0.000008	0.000178	0.005342	0.994472	0.002777	0.006364	0.048381	0.942478	0.034344	0.024600	0.132759	0.808297	
1009000	-82.602303	644	0.318983	2.874537	3.002821	2.026894	0.114132	0.052612	0.169421	0.663836	0.000001	0.000016	0.009692	0.990290	0.000035	0.000157	0.025794	0.974014	0.000041	0.000157	0.030043	0.969759	0.005297	0.004875	0.112198	0.877631	0.046155	0.021229	0.189959	0.742658	
1010000	-88.021418	775	39.790619	15.968588	11.108293	8.607453	0.242417	0.121214	0.121209	0.515160	0.233079	0.123882	0.116539	0.526500	0.235133	0.123295	0.117566	0.524005	0.238593	0.122307	0.119296	0.519804	0.241449	0.121491	0.120725	0.516335	0.242256	0.121260	0.121128	0.515356	
1011000	-85.481812	625	13.329026	5.722251	13.591406	9.815703	0.242425	0.121212	0.121212	0.515151	0.243163	0.123754	0.118868	0.514216	0.241990	0.121987	0.120349	0.515675	0.242782	0.121918	0.120585	0.514715	0.243106	0.121747	0.120824	0.514322	0.242627	0.121329	0.121139	0.514905	
