,"Root - P(0,0)","Root - P(0,1)","Root - P(1,0)","Root - P(1,1)"
bantu-iroquois-exogamy.unilineal.descent-dep1.Log.txt,0.323,0.015,0.635,0.027
bantu-iroquois-exogamy.unilineal.descent-indep1.Log.txt,0.436,0.020,0.512,0.032
bantu-iroquois-matri.anvunclocalresidence-dep1.Log.txt,0.398,0.033,0.326,0.243
bantu-iroquois-matri.anvunclocalresidence-indep1.Log.txt,0.373,0.031,0.339,0.256
bantu-iroquois-uni.linealdescent-dep1.Log.txt,0.035,0.392,0.035,0.537
bantu-iroquois-uni.linealdescent-indep1.Log.txt,0.044,0.388,0.040,0.528
bantu-iroquois-uni.localresidence-dep1.Log.txt,0.024,0.348,0.038,0.590
bantu-iroquois-uni.localresidence-indep1.Log.txt,0.038,0.434,0.030,0.498
bantu-omaha-matri.anvunclocalresidence-dep1.Log.txt,0.226,0.741,0.034,0.000
bantu-omaha-matri.anvunclocalresidence-indep1.Log.txt,0.619,0.303,0.078,0.000
bantu-omaha-patrilineal-dep1.Log.txt,0.750,0.221,0.004,0.024
bantu-omaha-patrilineal-indep1.Log.txt,0.583,0.333,0.011,0.072
bantu-omaha-patrilocal-dep1.Log.txt,0.723,0.244,0.000,0.034
bantu-omaha-patrilocal-indep1.Log.txt,0.541,0.359,0.000,0.100
bantu-omaha-uni.localresidence-dep1.Log.txt,0.046,0.946,0.000,0.008
bantu-omaha-uni.localresidence-indep1.Log.txt,0.060,0.925,0.000,0.015
uto-hawaiian-absenceofcousinmarriage.permitted-dep1.Log.txt,0.000,0.017,0.002,0.981
uto-hawaiian-absenceofcousinmarriage.permitted-indep1.Log.txt,0.000,0.015,0.001,0.984
uto-hawaiian-absenceofcousinmarriage.preference-dep1.Log.txt,0.013,0.000,0.987,0.000
uto-hawaiian-absenceofcousinmarriage.preference-indep1.Log.txt,0.011,0.000,0.989,0.000
uto-hawaiian-bi.linealdescent-dep1.Log.txt,0.013,0.000,0.986,0.001
uto-hawaiian-bi.linealdescent-indep1.Log.txt,0.017,0.000,0.979,0.004
uto-hawaiian-bi.localextendedfamily-dep1.Log.txt,0.043,0.014,0.757,0.186
uto-hawaiian-bi.localextendedfamily-indep1.Log.txt,0.038,0.017,0.741,0.203
uto-hawaiian-bi.localresidence-dep1.Log.txt,0.022,0.000,0.978,0.000
uto-hawaiian-bi.localresidence-indep1.Log.txt,0.024,0.000,0.976,0.000
uto-iroquois-cross.cousinmarriage.permitted-dep1.Log.txt,0.999,0.000,0.001,0.000
uto-iroquois-cross.cousinmarriage.permitted-indep1.Log.txt,0.998,0.000,0.001,0.000
uto-iroquois-cross.cousinmarriage.preferred-dep1.Log.txt,0.996,0.001,0.003,0.000
uto-iroquois-cross.cousinmarriage.preferred-indep1.Log.txt,0.995,0.002,0.002,0.000
uto-iroquois-exogamy.unilineal.descent-dep1.Log.txt,0.999,0.000,0.001,0.000
uto-iroquois-exogamy.unilineal.descent-indep1.Log.txt,0.999,0.000,0.001,0.000
uto-iroquois-high.polygyny-dep1.Log.txt,0.996,0.002,0.002,0.000
uto-iroquois-high.polygyny-indep1.Log.txt,0.997,0.002,0.002,0.000
uto-iroquois-matri.anvunclocalresidence-dep1.Log.txt,0.926,0.066,0.009,0.000
uto-iroquois-matri.anvunclocalresidence-indep1.Log.txt,0.953,0.038,0.009,0.000
uto-iroquois-uni.linealdescent-dep1.Log.txt,0.995,0.005,0.000,0.000
uto-iroquois-uni.linealdescent-indep1.Log.txt,0.998,0.002,0.000,0.001
uto-iroquois-uni.localresidence-dep1.Log.txt,0.484,0.511,0.000,0.006
uto-iroquois-uni.localresidence-indep1.Log.txt,0.483,0.511,0.000,0.006
