Options:
Model:                           MultiState
Tree File Name:                  /newhome/sp16194/terminology-anc-state/data2/utoaztecan.bttrees
Data File Name:                  /newhome/sp16194/terminology-anc-state/data2/utoaztecan.btdata
Log File Name:                   /newhome/sp16194/terminology-anc-state/bt-output/utoaztecan/run_2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3155626864
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      1000000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /newhome/sp16194/terminology-anc-state/bt-output/utoaztecan/run_2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      800
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
550000	-19.355638	78	1	4	'0 0 0 0 Z 0 Z Z 0 0 Z 0 	8.966301	8.966301	8.966301	8.966301	0.000000	8.966301	0.000000	0.000000	8.966301	8.966301	0.000000	8.966301	0.250000	0.250000	0.250000	0.250000	
600000	-17.065580	748	1	4	'0 Z 0 0 Z 0 Z Z 0 0 0 0 	0.270847	0.000000	0.270847	0.270847	0.000000	0.270847	0.000000	0.000000	0.270847	0.270847	0.270847	0.270847	0.003474	0.003474	0.920979	0.072073	
650000	-21.655627	780	1	5	'0 0 0 0 Z 0 Z Z 0 Z 0 Z 	0.261298	0.261298	0.261298	0.261298	0.000000	0.261298	0.000000	0.000000	0.261298	0.000000	0.261298	0.000000	0.171017	0.024135	0.802064	0.002784	
700000	-17.928766	293	1	6	'0 0 0 Z Z Z Z Z 0 0 Z 0 	0.636236	0.636236	0.636236	0.000000	0.000000	0.000000	0.000000	0.000000	0.636236	0.636236	0.000000	0.636236	0.146185	0.000000	0.563217	0.290598	
750000	-18.323014	78	1	5	'Z 0 Z Z 0 0 Z Z 0 0 0 0 	0.000000	0.892744	0.000000	0.000000	0.892744	0.892744	0.000000	0.000000	0.892744	0.892744	0.892744	0.892744	0.247576	0.247844	0.256793	0.247786	
800000	-17.009800	373	2	4	'Z 1 Z 1 0 1 Z 0 0 Z 0 1 	0.000000	6.452496	0.000000	6.452496	1.506609	6.452496	0.000000	1.506609	1.506609	0.000000	1.506609	6.452496	0.250000	0.250000	0.250000	0.250000	
850000	-16.972688	679	2	5	'0 0 Z 0 Z 1 Z Z 1 Z 1 0 	24.957331	24.957331	0.000000	24.957331	0.000000	5.160405	0.000000	0.000000	5.160405	0.000000	5.160405	24.957331	0.250000	0.250000	0.250000	0.250000	
900000	-21.601964	452	1	6	'Z 0 Z 0 0 Z Z 0 0 Z Z 0 	0.000000	0.230560	0.000000	0.230560	0.230560	0.000000	0.000000	0.230560	0.230560	0.000000	0.000000	0.230560	0.075655	0.087707	0.585327	0.251311	
950000	-19.525899	488	1	3	'Z 0 0 0 0 0 Z Z 0 0 0 0 	0.000000	26.206262	26.206262	26.206262	26.206262	26.206262	0.000000	0.000000	26.206262	26.206262	26.206262	26.206262	0.250000	0.250000	0.250000	0.250000	
1000000	-19.825380	179	1	5	'Z 0 0 Z 0 Z Z Z 0 0 0 0 	0.000000	12.072630	12.072630	0.000000	12.072630	0.000000	0.000000	0.000000	12.072630	12.072630	12.072630	12.072630	0.250000	0.250000	0.250000	0.250000	
1050000	-18.733186	644	1	2	'0 0 0 0 0 0 Z Z 0 0 0 0 	3.872913	3.872913	3.872913	3.872913	3.872913	3.872913	0.000000	0.000000	3.872913	3.872913	3.872913	3.872913	0.250000	0.250000	0.250000	0.250000	
1100000	-16.881322	638	1	6	'0 0 0 Z Z Z Z Z 0 0 Z 0 	0.270910	0.270910	0.270910	0.000000	0.000000	0.000000	0.000000	0.000000	0.270910	0.270910	0.000000	0.270910	0.086006	0.000000	0.735552	0.178442	
1150000	-18.681779	252	2	5	'1 0 Z 1 1 Z Z Z 1 Z 0 0 	7.791061	21.386321	0.000000	7.791061	7.791061	0.000000	0.000000	0.000000	7.791061	0.000000	21.386321	21.386321	0.250000	0.250000	0.250000	0.250000	
1200000	-18.284039	542	1	4	'Z 0 0 0 Z 0 Z Z 0 0 0 0 	0.000000	0.290965	0.290965	0.290965	0.000000	0.290965	0.000000	0.000000	0.290965	0.290965	0.290965	0.290965	0.250212	0.094634	0.457623	0.197531	
1250000	-19.840705	614	1	3	'0 0 0 0 0 Z Z Z 0 0 0 0 	10.010602	10.010602	10.010602	10.010602	10.010602	0.000000	0.000000	0.000000	10.010602	10.010602	10.010602	10.010602	0.250000	0.250000	0.250000	0.250000	
1300000	-22.592327	753	1	4	'0 Z 0 Z 0 0 Z 0 Z 0 0 0 	11.575596	0.000000	11.575596	0.000000	11.575596	11.575596	0.000000	11.575596	0.000000	11.575596	11.575596	11.575596	0.250000	0.250000	0.250000	0.250000	
1350000	-18.401948	342	1	3	'0 0 0 0 0 Z Z Z 0 0 0 0 	0.635778	0.635778	0.635778	0.635778	0.635778	0.000000	0.000000	0.000000	0.635778	0.635778	0.635778	0.635778	0.243697	0.241723	0.271590	0.242990	
1400000	-18.628333	724	2	5	'Z 0 0 Z 1 Z 1 Z Z 1 1 0 	0.000000	10.143612	10.143612	0.000000	2.050462	0.000000	2.050462	0.000000	0.000000	2.050462	2.050462	10.143612	0.250143	0.249570	0.250197	0.250090	
1450000	-17.029200	379	2	6	'Z 0 Z Z 0 0 1 Z 1 Z 0 Z 	0.000000	30.233666	0.000000	0.000000	30.233666	30.233666	2.779335	0.000000	2.779335	0.000000	30.233666	0.000000	0.250000	0.250000	0.250000	0.250000	
1500000	-18.904291	359	2	4	'0 0 1 Z 1 0 1 Z Z Z 0 0 	5.593000	5.593000	1.442174	0.000000	1.442174	5.593000	1.442174	0.000000	0.000000	0.000000	5.593000	5.593000	0.249998	0.249989	0.250015	0.249998	
1550000	-17.026535	457	2	4	'1 0 1 Z 1 0 Z Z 0 1 Z 0 	18.364930	4.359459	18.364930	0.000000	18.364930	4.359459	0.000000	0.000000	4.359459	18.364930	0.000000	4.359459	0.250000	0.250000	0.250000	0.250000	
1600000	-21.302897	166	1	2	'0 0 0 0 0 0 Z 0 Z 0 0 0 	16.270662	16.270662	16.270662	16.270662	16.270662	16.270662	0.000000	16.270662	0.000000	16.270662	16.270662	16.270662	0.250000	0.250000	0.250000	0.250000	
1650000	-18.725648	80	1	4	'Z 0 0 Z 0 0 Z Z 0 0 0 0 	0.000000	3.267225	3.267225	0.000000	3.267225	3.267225	0.000000	0.000000	3.267225	3.267225	3.267225	3.267225	0.250000	0.250000	0.250000	0.250000	
1700000	-18.971091	255	1	4	'0 0 0 Z 0 Z Z Z 0 0 0 0 	0.871730	0.871730	0.871730	0.000000	0.871730	0.000000	0.000000	0.000000	0.871730	0.871730	0.871730	0.871730	0.249078	0.247701	0.254144	0.249076	
1750000	-19.106953	253	1	5	'0 0 0 Z 0 Z Z Z 0 0 Z 0 	10.079201	10.079201	10.079201	0.000000	10.079201	0.000000	0.000000	0.000000	10.079201	10.079201	0.000000	10.079201	0.250000	0.250000	0.250000	0.250000	
1800000	-20.593420	614	1	6	'Z Z Z 0 0 0 Z Z 0 Z 0 0 	0.000000	0.000000	0.000000	0.495458	0.495458	0.495458	0.000000	0.000000	0.495458	0.000000	0.495458	0.495458	0.000000	0.183172	0.486186	0.330643	
1850000	-17.855579	212	1	4	'Z 0 0 Z 0 0 Z Z 0 0 0 0 	0.000000	0.481053	0.481053	0.000000	0.481053	0.481053	0.000000	0.000000	0.481053	0.481053	0.481053	0.481053	0.245013	0.177231	0.368510	0.209246	
1900000	-18.893173	555	1	5	'Z 0 0 0 0 0 Z 0 Z Z Z 0 	0.000000	1.466657	1.466657	1.466657	1.466657	1.466657	0.000000	1.466657	0.000000	0.000000	0.000000	1.466657	0.249987	0.249987	0.250035	0.249990	
1950000	-18.055033	299	1	4	'0 0 Z Z 0 0 Z Z 0 0 0 0 	0.834055	0.834055	0.000000	0.000000	0.834055	0.834055	0.000000	0.000000	0.834055	0.834055	0.834055	0.834055	0.239966	0.233123	0.289039	0.237872	
2000000	-18.639287	748	1	4	'0 0 Z 0 0 0 Z Z 0 Z 0 0 	2.182360	2.182360	0.000000	2.182360	2.182360	2.182360	0.000000	0.000000	2.182360	0.000000	2.182360	2.182360	0.249998	0.249998	0.250007	0.249997	
2050000	-19.050247	63	1	7	'Z Z 0 Z Z Z Z Z 0 0 0 0 	0.000000	0.000000	0.199897	0.000000	0.000000	0.000000	0.000000	0.000000	0.199897	0.199897	0.199897	0.199897	0.001993	0.000000	0.945183	0.052824	
2100000	-20.751426	452	1	6	'Z Z 0 0 0 0 Z Z 0 Z 0 Z 	0.000000	0.000000	0.244033	0.244033	0.244033	0.244033	0.000000	0.000000	0.244033	0.000000	0.244033	0.000000	0.000197	0.083175	0.909570	0.007058	
2150000	-19.276160	403	1	3	'Z 0 0 0 0 0 Z Z 0 0 0 0 	0.000000	14.403598	14.403598	14.403598	14.403598	14.403598	0.000000	0.000000	14.403598	14.403598	14.403598	14.403598	0.250000	0.250000	0.250000	0.250000	
2200000	-19.322733	687	1	5	'Z 0 0 0 0 0 Z 0 Z Z Z 0 	0.000000	12.063505	12.063505	12.063505	12.063505	12.063505	0.000000	12.063505	0.000000	0.000000	0.000000	12.063505	0.250000	0.250000	0.250000	0.250000	
2250000	-18.303035	135	1	4	'Z 0 0 Z 0 0 Z Z 0 0 0 0 	0.000000	0.862643	0.862643	0.000000	0.862643	0.862643	0.000000	0.000000	0.862643	0.862643	0.862643	0.862643	0.246689	0.242680	0.265940	0.244692	
2300000	-20.042561	238	1	4	'0 0 Z 0 0 Z Z Z 0 0 0 0 	11.799736	11.799736	0.000000	11.799736	11.799736	0.000000	0.000000	0.000000	11.799736	11.799736	11.799736	11.799736	0.250000	0.250000	0.250000	0.250000	
2350000	-20.198913	86	2	2	'1 0 Z Z 0 0 1 1 0 1 1 0 	0.114352	0.698034	0.000000	0.000000	0.698034	0.698034	0.114352	0.114352	0.698034	0.114352	0.114352	0.698034	0.286947	0.221890	0.258706	0.232457	
2400000	-18.705546	689	1	5	'0 Z Z Z 0 0 Z Z 0 0 0 0 	0.548819	0.000000	0.000000	0.000000	0.548819	0.548819	0.000000	0.000000	0.548819	0.548819	0.548819	0.548819	0.065286	0.274401	0.457845	0.202469	
2450000	-19.132132	396	1	4	'0 0 0 0 0 0 0 Z Z Z Z 0 	4.108965	4.108965	4.108965	4.108965	4.108965	4.108965	4.108965	0.000000	0.000000	0.000000	0.000000	4.108965	0.250000	0.250000	0.250000	0.250000	
2500000	-20.952940	171	1	5	'Z 0 0 0 Z 0 Z Z 0 Z 0 0 	0.000000	5.822888	5.822888	5.822888	0.000000	5.822888	0.000000	0.000000	5.822888	0.000000	5.822888	5.822888	0.250000	0.250000	0.250000	0.250000	
2550000	-18.940081	766	1	3	'0 0 0 0 0 0 Z Z 0 0 Z 0 	5.309069	5.309069	5.309069	5.309069	5.309069	5.309069	0.000000	0.000000	5.309069	5.309069	0.000000	5.309069	0.250000	0.250000	0.250000	0.250000	
2600000	-20.323077	644	1	5	'Z 0 0 Z 0 0 Z 0 Z 0 Z 0 	0.000000	6.942722	6.942722	0.000000	6.942722	6.942722	0.000000	6.942722	0.000000	6.942722	0.000000	6.942722	0.250000	0.250000	0.250000	0.250000	
2650000	-18.286491	13	1	5	'0 0 0 Z 0 Z Z Z 0 0 Z 0 	1.490543	1.490543	1.490543	0.000000	1.490543	0.000000	0.000000	0.000000	1.490543	1.490543	0.000000	1.490543	0.249946	0.249815	0.250213	0.250027	
2700000	-17.269575	210	1	4	'0 0 0 0 0 Z Z Z 0 Z 0 0 	0.500561	0.500561	0.500561	0.500561	0.500561	0.000000	0.000000	0.000000	0.500561	0.000000	0.500561	0.500561	0.270824	0.295933	0.218856	0.214386	
2750000	-21.066611	38	1	5	'0 0 0 0 Z Z Z Z 0 0 Z 0 	24.330948	24.330948	24.330948	24.330948	0.000000	0.000000	0.000000	0.000000	24.330948	24.330948	0.000000	24.330948	0.250000	0.250000	0.250000	0.250000	
2800000	-19.943863	436	1	4	'0 0 Z 0 0 Z Z Z 0 0 0 0 	6.854195	6.854195	0.000000	6.854195	6.854195	0.000000	0.000000	0.000000	6.854195	6.854195	6.854195	6.854195	0.250000	0.250000	0.250000	0.250000	
2850000	-18.251958	468	1	5	'Z Z 0 0 0 0 Z Z 0 Z 0 0 	0.000000	0.000000	0.563610	0.563610	0.563610	0.563610	0.000000	0.000000	0.563610	0.000000	0.563610	0.563610	0.120478	0.225305	0.372582	0.281635	
2900000	-18.675269	367	2	3	'Z 0 1 Z 1 0 1 Z 1 0 0 1 	0.000000	12.584349	1.246304	0.000000	1.246304	12.584349	1.246304	0.000000	1.246304	12.584349	12.584349	1.246304	0.250000	0.250000	0.250000	0.250000	
2950000	-17.092543	120	2	5	'Z 1 0 1 Z 0 Z Z 0 Z 1 1 	0.000000	4.248784	1.438640	4.248784	0.000000	1.438640	0.000000	0.000000	1.438640	0.000000	4.248784	4.248784	0.250000	0.250000	0.250000	0.250000	
3000000	-19.203432	338	1	6	'Z 0 Z Z 0 Z Z Z 0 0 0 0 	0.000000	0.673428	0.000000	0.000000	0.673428	0.000000	0.000000	0.000000	0.673428	0.673428	0.673428	0.673428	0.257720	0.193540	0.321049	0.227691	
3050000	-16.950840	433	2	5	'Z 1 0 Z 1 Z Z Z 0 0 0 1 	0.000000	20.800757	5.486129	0.000000	20.800757	0.000000	0.000000	0.000000	5.486129	5.486129	5.486129	20.800757	0.250000	0.250000	0.250000	0.250000	
3100000	-17.738629	375	2	4	'1 Z Z 1 0 1 Z 1 1 Z 1 0 	1.165433	0.000000	0.000000	1.165433	10.892012	1.165433	0.000000	1.165433	1.165433	0.000000	1.165433	10.892012	0.246685	0.250836	0.251239	0.251239	
3150000	-19.765059	268	1	4	'Z 0 0 0 0 Z Z Z 0 0 0 0 	0.000000	9.431128	9.431128	9.431128	9.431128	0.000000	0.000000	0.000000	9.431128	9.431128	9.431128	9.431128	0.250007	0.249994	0.250005	0.249994	
3200000	-20.453459	748	1	6	'0 0 0 Z 0 Z 0 Z Z Z Z 0 	11.087163	11.087163	11.087163	0.000000	11.087163	0.000000	11.087163	0.000000	0.000000	0.000000	0.000000	11.087163	0.250000	0.250000	0.250000	0.250000	
3250000	-18.365004	225	1	5	'0 Z Z 0 0 0 Z Z 0 Z 0 0 	0.808729	0.000000	0.000000	0.808729	0.808729	0.808729	0.000000	0.000000	0.808729	0.000000	0.808729	0.808729	0.152588	0.243761	0.316091	0.287560	
3300000	-18.019676	381	1	5	'0 0 0 Z 0 Z Z Z 0 0 Z 0 	1.220041	1.220041	1.220041	0.000000	1.220041	0.000000	0.000000	0.000000	1.220041	1.220041	0.000000	1.220041	0.249569	0.248185	0.251823	0.250423	
3350000	-19.430339	273	1	5	'0 Z 0 0 0 Z Z Z 0 0 Z 0 	1.018371	0.000000	1.018371	1.018371	1.018371	0.000000	0.000000	0.000000	1.018371	1.018371	0.000000	1.018371	0.231655	0.247026	0.273788	0.247531	
3400000	-18.996690	184	1	4	'0 0 0 0 Z 0 Z Z 0 0 Z 0 	2.452380	2.452380	2.452380	2.452380	0.000000	2.452380	0.000000	0.000000	2.452380	2.452380	0.000000	2.452380	0.249975	0.249896	0.250104	0.250025	
3450000	-19.848331	514	1	3	'0 0 0 0 0 Z Z Z 0 0 0 0 	12.338120	12.338120	12.338120	12.338120	12.338120	0.000000	0.000000	0.000000	12.338120	12.338120	12.338120	12.338120	0.250000	0.250000	0.250000	0.250000	
3500000	-18.314377	464	1	3	'0 0 0 0 0 0 Z Z 0 0 Z 0 	1.254302	1.254302	1.254302	1.254302	1.254302	1.254302	0.000000	0.000000	1.254302	1.254302	0.000000	1.254302	0.250139	0.250136	0.249593	0.250132	
3550000	-18.927865	271	1	3	'0 0 0 0 0 Z Z Z 0 0 0 0 	3.148947	3.148947	3.148947	3.148947	3.148947	0.000000	0.000000	0.000000	3.148947	3.148947	3.148947	3.148947	0.250000	0.250000	0.250000	0.250000	
3600000	-16.899521	458	2	4	'Z 0 0 0 0 0 Z Z 1 Z 0 1 	0.000000	3.559391	3.559391	3.559391	3.559391	3.559391	0.000000	0.000000	1.349608	0.000000	3.559391	1.349608	0.250000	0.250000	0.250002	0.249999	
3650000	-19.506209	559	1	4	'0 0 0 0 0 0 Z 0 Z Z Z 0 	9.851109	9.851109	9.851109	9.851109	9.851109	9.851109	0.000000	9.851109	0.000000	0.000000	0.000000	9.851109	0.250000	0.250000	0.250000	0.250000	
3700000	-19.009487	91	1	5	'0 0 Z 0 Z 0 Z Z 0 Z 0 0 	0.966826	0.966826	0.000000	0.966826	0.000000	0.966826	0.000000	0.000000	0.966826	0.000000	0.966826	0.966826	0.250925	0.236199	0.266845	0.246032	
3750000	-19.371956	658	1	5	'Z Z 0 0 0 0 Z Z 0 Z 0 0 	0.000000	0.000000	3.075543	3.075543	3.075543	3.075543	0.000000	0.000000	3.075543	0.000000	3.075543	3.075543	0.249995	0.249999	0.250004	0.250002	
3800000	-18.748638	35	1	3	'Z 0 0 0 0 0 Z Z 0 0 0 0 	0.000000	2.032769	2.032769	2.032769	2.032769	2.032769	0.000000	0.000000	2.032769	2.032769	2.032769	2.032769	0.249999	0.249999	0.250004	0.249999	
3850000	-16.691953	372	2	3	'1 1 1 1 1 Z 0 Z 0 0 Z 1 	8.863480	8.863480	8.863480	8.863480	8.863480	0.000000	1.632590	0.000000	1.632590	1.632590	0.000000	8.863480	0.250000	0.250000	0.250000	0.250000	
3900000	-17.763925	91	1	6	'0 0 0 Z Z Z Z Z 0 0 Z 0 	0.518021	0.518021	0.518021	0.000000	0.000000	0.000000	0.000000	0.000000	0.518021	0.518021	0.000000	0.518021	0.154342	0.000000	0.556922	0.288736	
3950000	-19.992031	469	1	5	'0 0 0 0 Z Z Z Z 0 0 Z 0 	3.899079	3.899079	3.899079	3.899079	0.000000	0.000000	0.000000	0.000000	3.899079	3.899079	0.000000	3.899079	0.249979	0.249636	0.250254	0.250131	
4000000	-18.201242	505	1	3	'0 0 0 0 Z 0 Z Z 0 0 0 0 	0.345113	0.345113	0.345113	0.345113	0.000000	0.345113	0.000000	0.000000	0.345113	0.345113	0.345113	0.345113	0.200603	0.091678	0.506776	0.200942	
4050000	-21.387971	618	1	4	'0 0 Z 0 0 0 Z 0 Z Z 0 0 	5.121365	5.121365	0.000000	5.121365	5.121365	5.121365	0.000000	5.121365	0.000000	0.000000	5.121365	5.121365	0.250000	0.250000	0.250000	0.250000	
4100000	-17.686191	204	2	5	'Z 0 1 0 Z Z Z Z 1 0 1 0 	0.000000	12.890058	4.848544	12.890058	0.000000	0.000000	0.000000	0.000000	4.848544	12.890058	4.848544	12.890058	0.250000	0.250000	0.250000	0.250000	
4150000	-18.855457	589	2	6	'Z 1 Z 1 1 0 Z 0 Z Z 0 Z 	0.000000	18.815508	0.000000	18.815508	18.815508	8.404244	0.000000	8.404244	0.000000	0.000000	8.404244	0.000000	0.250000	0.250000	0.250000	0.250000	
4200000	-21.301376	91	1	6	'Z 0 Z Z Z 0 Z Z 0 0 0 0 	0.000000	2.142826	0.000000	0.000000	0.000000	2.142826	0.000000	0.000000	2.142826	2.142826	2.142826	2.142826	0.255882	0.243604	0.250577	0.249938	
4250000	-19.409281	740	1	3	'0 0 Z 0 0 0 Z Z 0 0 0 0 	3.087912	3.087912	0.000000	3.087912	3.087912	3.087912	0.000000	0.000000	3.087912	3.087912	3.087912	3.087912	0.250000	0.250000	0.250000	0.250000	
4300000	-18.028006	779	2	5	'0 Z 0 0 0 Z Z Z 1 0 Z 0 	13.481057	0.000000	13.481057	13.481057	13.481057	0.000000	0.000000	0.000000	7.165311	13.481057	0.000000	13.481057	0.250000	0.250000	0.250000	0.250000	
4350000	-20.725651	532	1	3	'0 0 0 0 0 0 Z 0 Z Z 0 0 	21.039321	21.039321	21.039321	21.039321	21.039321	21.039321	0.000000	21.039321	0.000000	0.000000	21.039321	21.039321	0.250000	0.250000	0.250000	0.250000	
4400000	-20.413103	116	1	3	'0 0 0 0 0 0 Z 0 Z Z 0 0 	6.667662	6.667662	6.667662	6.667662	6.667662	6.667662	0.000000	6.667662	0.000000	0.000000	6.667662	6.667662	0.250000	0.250000	0.250000	0.250000	
4450000	-24.743033	240	1	5	'0 0 Z 0 Z 0 0 Z Z Z 0 0 	7.694932	7.694932	0.000000	7.694932	0.000000	7.694932	7.694932	0.000000	0.000000	0.000000	7.694932	7.694932	0.250000	0.250000	0.250000	0.250000	
4500000	-18.980296	10	1	4	'0 0 0 0 0 Z Z Z 0 Z 0 0 	3.887010	3.887010	3.887010	3.887010	3.887010	0.000000	0.000000	0.000000	3.887010	0.000000	3.887010	3.887010	0.250000	0.250000	0.250000	0.250000	
4550000	-19.977591	741	1	6	'Z 0 Z 0 0 0 Z 0 Z Z Z 0 	0.000000	3.500929	0.000000	3.500929	3.500929	3.500929	0.000000	3.500929	0.000000	0.000000	0.000000	3.500929	0.250001	0.250000	0.250000	0.249999	
4600000	-17.722480	77	1	3	'0 0 0 0 0 Z Z Z 0 0 0 0 	0.396948	0.396948	0.396948	0.396948	0.396948	0.000000	0.000000	0.000000	0.396948	0.396948	0.396948	0.396948	0.241751	0.239366	0.278717	0.240167	
4650000	-18.072925	117	1	4	'0 0 Z Z 0 0 Z Z 0 0 0 0 	1.119600	1.119600	0.000000	0.000000	1.119600	1.119600	0.000000	0.000000	1.119600	1.119600	1.119600	1.119600	0.249073	0.248984	0.252889	0.249054	
4700000	-18.876301	224	1	4	'0 0 0 Z 0 0 Z Z 0 0 Z 0 	12.238876	12.238876	12.238876	0.000000	12.238876	12.238876	0.000000	0.000000	12.238876	12.238876	0.000000	12.238876	0.250000	0.250000	0.250000	0.250000	
4750000	-20.663070	270	1	5	'0 0 Z Z 0 Z Z Z 0 0 0 0 	8.766481	8.766481	0.000000	0.000000	8.766481	0.000000	0.000000	0.000000	8.766481	8.766481	8.766481	8.766481	0.250000	0.250000	0.250000	0.250000	
4800000	-18.267279	119	1	3	'0 0 0 0 0 0 Z Z 0 Z 0 0 	0.702009	0.702009	0.702009	0.702009	0.702009	0.702009	0.000000	0.000000	0.702009	0.000000	0.702009	0.702009	0.252885	0.252712	0.243825	0.250578	
4850000	-19.114262	356	1	4	'Z 0 0 0 0 0 Z Z 0 Z 0 0 	0.000000	8.210605	8.210605	8.210605	8.210605	8.210605	0.000000	0.000000	8.210605	0.000000	8.210605	8.210605	0.250000	0.250000	0.250000	0.250000	
4900000	-17.553251	116	1	4	'0 0 0 Z 0 0 Z Z 0 0 Z 0 	0.449167	0.449167	0.449167	0.000000	0.449167	0.449167	0.000000	0.000000	0.449167	0.449167	0.000000	0.449167	0.219114	0.209648	0.345938	0.225300	
4950000	-17.497042	322	1	4	'0 0 0 0 0 Z Z Z 0 Z 0 0 	0.683232	0.683232	0.683232	0.683232	0.683232	0.000000	0.000000	0.000000	0.683232	0.000000	0.683232	0.683232	0.243151	0.244476	0.269903	0.242470	
