Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-uni.linealdescent.bttrees
Data File Name:                  ./data/bantu-iroquois-uni.linealdescent.btdata
Log File Name:                   ./output/bantu-iroquois-uni.linealdescent-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4077911377
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-iroquois-uni.linealdescent-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.072464,0.289855,0.086957,0.550725)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
82000	-75.317095	729	1	0	'0 0 0 0 	1.678834	1.678834	1.678834	1.678834	0.041079	0.336898	0.044477	0.577546	
83000	-76.631941	165	1	0	'0 0 0 0 	1.193950	1.193950	1.193950	1.193950	0.046131	0.434183	0.032680	0.487006	
84000	-77.170854	812	1	0	'0 0 0 0 	1.582681	1.582681	1.582681	1.582681	0.039920	0.325737	0.045572	0.588772	
85000	-73.384222	330	1	0	'0 0 0 0 	1.567427	1.567427	1.567427	1.567427	0.042547	0.368631	0.040006	0.548816	
86000	-75.295646	258	1	0	'0 0 0 0 	1.149814	1.149814	1.149814	1.149814	0.041089	0.407514	0.033011	0.518386	
87000	-76.191110	164	1	0	'0 0 0 0 	1.388561	1.388561	1.388561	1.388561	0.052116	0.431799	0.036554	0.479531	
88000	-76.878237	871	1	0	'0 0 0 0 	2.004211	2.004211	2.004211	2.004211	0.037003	0.330838	0.041709	0.590450	
89000	-75.151512	875	1	0	'0 0 0 0 	1.495765	1.495765	1.495765	1.495765	0.038522	0.332824	0.042825	0.585828	
90000	-77.779970	903	1	0	'0 0 0 0 	1.723851	1.723851	1.723851	1.723851	0.041816	0.348605	0.042929	0.566649	
91000	-75.879443	902	1	0	'0 0 0 0 	1.640753	1.640753	1.640753	1.640753	0.046656	0.364150	0.044108	0.545086	
92000	-73.105439	330	1	0	'0 0 0 0 	1.445825	1.445825	1.445825	1.445825	0.043410	0.394075	0.036590	0.525925	
93000	-77.674083	794	1	0	'0 0 0 0 	0.814275	0.814275	0.814275	0.814275	0.047613	0.610276	0.016066	0.326046	
94000	-76.213812	553	1	0	'0 0 0 0 	1.577619	1.577619	1.577619	1.577619	0.040411	0.381041	0.036320	0.542228	
95000	-76.031866	334	1	0	'0 0 0 0 	1.179164	1.179164	1.179164	1.179164	0.038617	0.399573	0.032320	0.529490	
96000	-77.914323	48	1	0	'0 0 0 0 	0.862463	0.862463	0.862463	0.862463	0.056046	0.633099	0.016460	0.294395	
97000	-76.271970	110	1	0	'0 0 0 0 	1.273840	1.273840	1.273840	1.273840	0.045237	0.424365	0.033457	0.496941	
98000	-72.924373	16	2	0	'0 0 1 0 	1.849138	1.849138	4.762538	1.849138	0.071803	0.310026	0.078885	0.539287	
