Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-crow-matri.anvunclocalresidence.bttrees
Data File Name:                  ./data/austronesian-crow-matri.anvunclocalresidence.btdata
Log File Name:                   ./output/austronesian-crow-matri.anvunclocalresidence-dep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1343419710
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-crow-matri.anvunclocalresidence-dep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.726190,0.202381,0.011905,0.059524)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000085
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       84
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
62000	-64.959098	948	1	2	'0 Z 0 0 Z 0 0 0 	D	1.742282	0.000000	1.742282	1.742282	0.000000	1.742282	1.742282	1.742282	0.995155	0.004842	0.000000	0.000003	
63000	-65.904928	425	1	2	'0 Z 0 0 Z 0 0 0 	D	1.856788	0.000000	1.856788	1.856788	0.000000	1.856788	1.856788	1.856788	0.983886	0.016034	0.000000	0.000080	
64000	-66.788389	565	1	3	'0 Z 0 0 Z Z 0 0 	D	2.339730	0.000000	2.339730	2.339730	0.000000	0.000000	2.339730	2.339730	0.980969	0.018918	0.000000	0.000114	
65000	-66.543510	580	1	3	'0 Z 0 0 Z Z 0 0 	D	1.130117	0.000000	1.130117	1.130117	0.000000	0.000000	1.130117	1.130117	0.997144	0.002855	0.000000	0.000002	
66000	-64.888307	392	1	3	'0 Z 0 0 Z Z 0 0 	D	1.986845	0.000000	1.986845	1.986845	0.000000	0.000000	1.986845	1.986845	0.973672	0.026089	0.000000	0.000239	
67000	-65.755430	965	1	2	'0 Z 0 0 Z 0 0 0 	D	1.217293	0.000000	1.217293	1.217293	0.000000	1.217293	1.217293	1.217293	0.996375	0.003622	0.000000	0.000003	
68000	-66.696426	114	1	2	'0 Z 0 0 0 0 Z 0 	D	2.773094	0.000000	2.773094	2.773094	2.773094	2.773094	0.000000	2.773094	0.981064	0.018154	0.000721	0.000060	
69000	-64.654902	500	1	4	'0 Z 0 0 Z Z Z 0 	D	1.320622	0.000000	1.320622	1.320622	0.000000	0.000000	0.000000	1.320622	0.997368	0.002632	0.000000	0.000000	
70000	-65.384530	223	1	3	'0 Z 0 0 Z Z 0 0 	D	2.228834	0.000000	2.228834	2.228834	0.000000	0.000000	2.228834	2.228834	0.989770	0.010217	0.000000	0.000013	
71000	-67.515798	971	1	4	'0 Z 0 0 Z Z Z 0 	D	1.017307	0.000000	1.017307	1.017307	0.000000	0.000000	0.000000	1.017307	0.993849	0.006151	0.000000	0.000000	
72000	-65.855726	619	1	1	'0 Z 0 0 0 0 0 0 	D	1.526761	0.000000	1.526761	1.526761	1.526761	1.526761	1.526761	1.526761	0.989177	0.010268	0.000457	0.000098	
73000	-66.490145	140	1	2	'0 Z 0 0 0 0 Z 0 	D	1.928314	0.000000	1.928314	1.928314	1.928314	1.928314	0.000000	1.928314	0.982855	0.016261	0.000800	0.000083	
74000	-64.326157	744	2	3	'0 Z 1 1 Z Z 1 0 	D	2.430944	0.000000	5.023523	5.023523	0.000000	0.000000	5.023523	2.430944	0.945029	0.053417	0.000000	0.001554	
75000	-62.570506	744	2	3	'0 Z 1 0 Z Z 1 0 	D	3.363775	0.000000	12.860658	3.363775	0.000000	0.000000	12.860658	3.363775	0.804915	0.174247	0.000000	0.020838	
76000	-65.772731	947	1	1	'0 Z 0 0 0 0 0 0 	D	2.504503	0.000000	2.504503	2.504503	2.504503	2.504503	2.504503	2.504503	0.978792	0.019862	0.000924	0.000423	
77000	-65.544272	292	1	2	'0 Z 0 0 Z 0 0 0 	D	1.507750	0.000000	1.507750	1.507750	0.000000	1.507750	1.507750	1.507750	0.992166	0.007820	0.000000	0.000014	
