Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-iroquois-uni.localresidence.bttrees
Data File Name:                  ./data/bantu-iroquois-uni.localresidence.btdata
Log File Name:                   ./output/bantu-iroquois-uni.localresidence-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            629767900
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-iroquois-uni.localresidence-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.057971,0.304348,0.072464,0.565217)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
54000	-71.366868	381	1	3	'0 Z 0 0 Z Z 0 0 	D	1.053614	0.000000	1.053614	1.053614	0.000000	0.000000	1.053614	1.053614	0.082958	0.697948	0.000000	0.219093	
55000	-73.126980	586	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	2.714062	2.714062	2.714062	2.714062	2.714062	2.714062	0.000000	0.025765	0.272746	0.058126	0.643364	
56000	-72.255285	786	1	2	'0 0 0 0 0 Z 0 Z 	D	4.535560	4.535560	4.535560	4.535560	4.535560	0.000000	4.535560	0.000000	0.026653	0.269465	0.014881	0.689001	
57000	-72.571071	133	1	3	'0 0 0 0 Z Z 0 Z 	D	2.903788	2.903788	2.903788	2.903788	0.000000	0.000000	2.903788	0.000000	0.012031	0.246827	0.000000	0.741142	
58000	-73.884039	615	1	1	'0 0 0 0 0 0 0 Z 	D	3.990437	3.990437	3.990437	3.990437	3.990437	3.990437	3.990437	0.000000	0.050241	0.287445	0.067663	0.594652	
59000	-71.663169	739	1	3	'Z 0 0 Z 0 Z 0 0 	D	0.000000	1.313011	1.313011	0.000000	1.313011	0.000000	1.313011	1.313011	0.000000	0.000000	0.000000	1.000000	
60000	-69.208821	289	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	1.314623	1.314623	1.314623	1.314623	1.314623	1.314623	1.314623	0.004477	0.451219	0.023774	0.520530	
61000	-69.809319	610	1	3	'Z Z 0 0 Z 0 0 0 	D	0.000000	0.000000	1.199288	1.199288	0.000000	1.199288	1.199288	1.199288	0.000000	0.690702	0.002582	0.306716	
62000	-73.377935	874	1	3	'0 0 0 0 Z Z 0 Z 	D	2.890473	2.890473	2.890473	2.890473	0.000000	0.000000	2.890473	0.000000	0.011865	0.238887	0.000000	0.749248	
63000	-72.200687	92	1	1	'0 0 0 0 0 0 0 Z 	D	4.388111	4.388111	4.388111	4.388111	4.388111	4.388111	4.388111	0.000000	0.053227	0.293402	0.069630	0.583741	
64000	-72.928601	294	1	1	'0 0 0 0 0 0 0 Z 	D	5.169803	5.169803	5.169803	5.169803	5.169803	5.169803	5.169803	0.000000	0.052847	0.292302	0.069411	0.585441	
65000	-69.344960	701	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	1.209826	1.209826	1.209826	1.209826	1.209826	1.209826	0.000000	0.437548	0.033912	0.528540	
66000	-70.466548	261	1	1	'0 Z 0 0 0 0 0 0 	D	1.111717	0.000000	1.111717	1.111717	1.111717	1.111717	1.111717	1.111717	0.040361	0.493361	0.022695	0.443583	
67000	-69.893672	884	1	2	'0 Z 0 0 Z 0 0 0 	D	1.067095	0.000000	1.067095	1.067095	0.000000	1.067095	1.067095	1.067095	0.078289	0.719485	0.001410	0.200816	
68000	-69.952938	780	1	2	'0 0 0 0 Z Z 0 0 	D	0.939614	0.939614	0.939614	0.939614	0.000000	0.000000	0.939614	0.939614	0.045804	0.778244	0.000000	0.175952	
69000	-72.705036	873	1	0	'0 0 0 0 0 0 0 0 	I	2.243175	2.243175	2.243175	2.243175	2.243175	2.243175	2.243175	2.243175	0.036830	0.334150	0.043442	0.585577	
70000	-70.347362	123	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	1.411645	1.411645	1.411645	1.411645	1.411645	0.000000	0.098960	0.094461	0.806579	
71000	-72.344426	88	1	1	'0 0 0 Z 0 0 0 0 	D	1.486321	1.486321	1.486321	0.000000	1.486321	1.486321	1.486321	1.486321	0.009809	0.006264	0.051037	0.932890	
72000	-69.384292	963	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	1.851430	1.851430	0.000000	1.851430	1.851430	0.000000	0.174405	0.000000	0.825595	
73000	-72.929724	483	1	3	'0 Z 0 Z 0 Z 0 0 	D	1.509501	0.000000	1.509501	0.000000	1.509501	0.000000	1.509501	1.509501	0.000000	0.000000	0.000000	1.000000	
74000	-69.719416	42	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	2.044524	2.044524	2.044524	2.044524	2.044524	0.000000	0.158092	0.095024	0.746884	
75000	-69.713991	20	1	0	'0 0 0 0 0 0 0 0 	I	1.473362	1.473362	1.473362	1.473362	1.473362	1.473362	1.473362	1.473362	0.032522	0.397396	0.029763	0.540318	
76000	-69.633238	770	1	2	'0 0 0 Z 0 Z 0 0 	D	1.317499	1.317499	1.317499	0.000000	1.317499	0.000000	1.317499	1.317499	0.000000	0.000000	0.000000	1.000000	
77000	-69.073727	291	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	1.779537	1.779537	1.779537	1.779537	1.779537	0.000000	0.140377	0.082956	0.776667	
78000	-71.532352	141	1	2	'0 0 0 Z Z 0 0 0 	D	0.889411	0.889411	0.889411	0.000000	0.000000	0.889411	0.889411	0.889411	0.012128	0.003756	0.006940	0.977175	
79000	-68.710089	586	1	0	'0 0 0 0 0 0 0 0 	I	1.599616	1.599616	1.599616	1.599616	1.599616	1.599616	1.599616	1.599616	0.038113	0.358266	0.040333	0.563288	
80000	-72.720259	356	1	1	'0 0 0 0 0 Z 0 0 	D	0.699855	0.699855	0.699855	0.699855	0.699855	0.000000	0.699855	0.699855	0.046877	0.717375	0.002390	0.233357	
81000	-69.802293	505	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	1.450112	1.450112	1.450112	1.450112	1.450112	1.450112	0.000000	0.435620	0.029978	0.534403	
82000	-69.049950	59	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	1.610404	1.610404	1.610404	1.610404	1.610404	0.000000	0.110451	0.096276	0.793273	
83000	-71.600146	132	1	1	'0 0 0 Z 0 0 0 0 	D	1.901958	1.901958	1.901958	0.000000	1.901958	1.901958	1.901958	1.901958	0.019296	0.024587	0.068809	0.887309	
84000	-71.401334	688	1	1	'0 0 Z 0 0 0 0 0 	D	1.829923	1.829923	0.000000	1.829923	1.829923	1.829923	1.829923	1.829923	0.070707	0.149559	0.107027	0.672707	
85000	-70.227793	213	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	1.289709	1.289709	1.289709	1.289709	1.289709	1.289709	0.000000	0.455022	0.025568	0.519410	
86000	-70.017800	528	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	1.356287	1.356287	1.356287	1.356287	1.356287	1.356287	0.000000	0.372941	0.036616	0.590443	
87000	-70.116298	456	1	1	'0 0 0 0 Z 0 0 0 	D	0.979634	0.979634	0.979634	0.979634	0.000000	0.979634	0.979634	0.979634	0.047521	0.688157	0.001708	0.262613	
88000	-70.297136	838	1	1	'0 0 Z 0 0 0 0 0 	D	1.800879	1.800879	0.000000	1.800879	1.800879	1.800879	1.800879	1.800879	0.055546	0.132157	0.092448	0.719849	
89000	-68.012224	500	1	1	'0 Z 0 0 0 0 0 0 	D	1.323142	0.000000	1.323142	1.323142	1.323142	1.323142	1.323142	1.323142	0.052048	0.414473	0.037946	0.495533	
90000	-71.332760	425	2	4	'Z Z Z 1 1 Z 1 0 	D	0.000000	0.000000	0.000000	7.872437	7.872437	0.000000	7.872437	0.744391	0.000000	0.316403	0.000000	0.683597	
91000	-70.833936	832	1	1	'0 Z 0 0 0 0 0 0 	D	1.787956	0.000000	1.787956	1.787956	1.787956	1.787956	1.787956	1.787956	0.044332	0.361881	0.043610	0.550177	
92000	-69.649031	905	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	2.071542	2.071542	2.071542	2.071542	2.071542	0.000000	0.159272	0.092643	0.748085	
93000	-71.088536	164	1	1	'0 0 0 0 0 Z 0 0 	D	1.672799	1.672799	1.672799	1.672799	1.672799	0.000000	1.672799	1.672799	0.036626	0.403466	0.011375	0.548533	
94000	-71.746131	258	1	3	'0 0 0 Z Z Z 0 0 	D	1.543465	1.543465	1.543465	0.000000	0.000000	0.000000	1.543465	1.543465	0.000000	0.000000	0.000000	1.000000	
95000	-71.017440	355	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	2.457909	2.457909	2.457909	2.457909	2.457909	0.000000	0.199767	0.088963	0.711270	
96000	-70.654753	810	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	1.760342	1.760342	1.760342	1.760342	1.760342	1.760342	0.000000	0.379329	0.035968	0.584703	
