Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-omaha-patrilineal.bttrees
Data File Name:                  ./data/bantu-omaha-patrilineal.btdata
Log File Name:                   ./output/bantu-omaha-patrilineal-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4174610314
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-omaha-patrilineal-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.521739,0.362319,0.014493,0.101449)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
88000	-69.224746	212	1	2	'0 Z 0 0 0 0 Z 0 	D	1.470644	0.000000	1.470644	1.470644	1.470644	1.470644	0.000000	1.470644	0.835718	0.157764	0.003988	0.002531	
89000	-68.714443	52	1	2	'0 Z 0 0 Z 0 0 0 	D	1.590982	0.000000	1.590982	1.590982	0.000000	1.590982	1.590982	1.590982	0.800737	0.192801	0.000068	0.006394	
90000	-68.109961	279	1	2	'0 Z 0 0 0 0 Z 0 	D	1.926239	0.000000	1.926239	1.926239	1.926239	1.926239	0.000000	1.926239	0.791367	0.196957	0.005581	0.006095	
91000	-71.307055	637	1	4	'0 Z 0 0 Z Z Z 0 	D	1.283581	0.000000	1.283581	1.283581	0.000000	0.000000	0.000000	1.283581	0.846268	0.153732	0.000000	0.000000	
92000	-70.423302	156	1	3	'0 Z 0 0 Z Z 0 0 	D	3.243804	0.000000	3.243804	3.243804	0.000000	0.000000	3.243804	3.243804	0.738379	0.247249	0.000000	0.014372	
93000	-69.416422	55	1	2	'0 Z 0 0 Z 0 0 0 	D	3.156072	0.000000	3.156072	3.156072	0.000000	3.156072	3.156072	3.156072	0.704474	0.268620	0.001184	0.025721	
94000	-67.820780	786	1	2	'0 Z 0 0 Z 0 0 0 	D	3.227481	0.000000	3.227481	3.227481	0.000000	3.227481	3.227481	3.227481	0.749829	0.234364	0.000425	0.015382	
95000	-68.931357	126	1	2	'0 Z 0 0 Z 0 0 0 	D	3.063118	0.000000	3.063118	3.063118	0.000000	3.063118	3.063118	3.063118	0.760626	0.224941	0.000373	0.014060	
96000	-69.078446	954	1	3	'0 Z 0 0 Z Z 0 0 	D	2.850544	0.000000	2.850544	2.850544	0.000000	0.000000	2.850544	2.850544	0.755861	0.232160	0.000000	0.011979	
97000	-70.175723	184	1	2	'0 Z 0 0 Z 0 0 0 	D	3.893628	0.000000	3.893628	3.893628	0.000000	3.893628	3.893628	3.893628	0.709999	0.264613	0.001053	0.024336	
98000	-71.050240	139	1	1	'0 Z 0 0 0 0 0 0 	D	5.769137	0.000000	5.769137	5.769137	5.769137	5.769137	5.769137	5.769137	0.548015	0.346924	0.013831	0.091229	
99000	-70.968630	116	1	4	'0 Z 0 0 Z Z Z 0 	D	1.527691	0.000000	1.527691	1.527691	0.000000	0.000000	0.000000	1.527691	0.851057	0.148943	0.000000	0.000000	
100000	-69.750211	795	1	2	'0 Z 0 0 Z 0 0 0 	D	3.595981	0.000000	3.595981	3.595981	0.000000	3.595981	3.595981	3.595981	0.719973	0.257078	0.000879	0.022070	
101000	-68.909873	229	1	2	'0 Z 0 0 0 0 Z 0 	D	3.060939	0.000000	3.060939	3.060939	3.060939	3.060939	0.000000	3.060939	0.699115	0.262621	0.009841	0.028422	
