Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-crow-matrilocal.bttrees
Data File Name:                  ./data/austronesian-crow-matrilocal.btdata
Log File Name:                   ./output/austronesian-crow-matrilocal-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1020228963
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-crow-matrilocal-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.845238,0.083333,0.035714,0.035714)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000085
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       84
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
46000	-43.711242	198	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	21.327872	21.327872	21.327872	21.327872	21.327872	0.000000	0.673905	0.096163	0.229932	
47000	-42.673492	323	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	21.149429	21.149429	0.000000	21.149429	21.149429	0.000000	0.800833	0.000000	0.199167	
48000	-42.268299	607	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	29.248030	29.248030	29.248030	29.248030	29.248030	0.000000	0.666415	0.114377	0.219208	
49000	-43.505922	941	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	16.752033	16.752033	0.000000	16.752033	16.752033	0.000000	0.792630	0.000000	0.207370	
50000	-42.686046	887	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	29.768594	29.768594	29.768594	29.768594	29.768594	0.000000	0.667327	0.113393	0.219280	
51000	-43.605829	793	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	21.627516	21.627516	21.627516	21.627516	21.627516	0.000000	0.646361	0.127567	0.226071	
52000	-42.787898	487	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	18.775717	18.775717	0.000000	18.775717	18.775717	0.000000	0.816041	0.000000	0.183959	
53000	-42.715319	293	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	21.320392	21.320392	0.000000	21.320392	21.320392	0.000000	0.814217	0.000000	0.185783	
54000	-43.930279	827	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	16.227406	16.227406	0.000000	16.227406	16.227406	0.000000	0.795387	0.000000	0.204613	
55000	-43.446494	868	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	39.577171	39.577171	39.577171	39.577171	39.577171	0.000000	0.660387	0.118637	0.220976	
56000	-42.639269	899	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	36.159744	36.159744	36.159744	36.159744	36.159744	0.000000	0.659109	0.119557	0.221334	
57000	-44.347136	813	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	27.032451	27.032451	0.000000	27.032451	27.032451	0.000000	0.817934	0.000000	0.182066	
58000	-43.302421	874	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	21.366108	21.366108	21.366108	21.366108	21.366108	0.000000	0.638672	0.133309	0.228019	
59000	-42.775751	488	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	26.073376	26.073376	26.073376	26.073376	26.073376	0.000000	0.684314	0.095852	0.219833	
60000	-41.551288	35	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	21.319516	21.319516	0.000000	21.319516	21.319516	0.000000	0.849853	0.000000	0.150147	
61000	-42.785701	672	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	19.217423	19.217423	0.000000	19.217423	19.217423	0.000000	0.809642	0.000000	0.190358	
62000	-43.337801	512	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	25.375152	25.375152	0.000000	25.375152	25.375152	0.000000	0.833033	0.000000	0.166967	
63000	-43.076699	513	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	17.307861	17.307861	0.000000	17.307861	17.307861	0.000000	0.807252	0.000000	0.192748	
64000	-42.305378	347	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	21.867634	21.867634	0.000000	21.867634	21.867634	0.000000	0.793766	0.000000	0.206234	
65000	-41.748831	47	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	20.687967	20.687967	0.000000	20.687967	20.687967	0.000000	0.820663	0.000000	0.179337	
66000	-43.001478	372	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	23.946572	23.946572	23.946572	23.946572	23.946572	0.000000	0.657695	0.119886	0.222420	
67000	-41.841351	587	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	29.536744	29.536744	29.536744	29.536744	29.536744	0.000000	0.664927	0.115443	0.219630	
68000	-42.236603	560	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	27.712151	27.712151	27.712151	27.712151	27.712151	0.000000	0.694040	0.090174	0.215786	
69000	-44.798339	277	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	46.402888	46.402888	46.402888	46.402888	46.402888	0.000000	0.713239	0.079774	0.206987	
70000	-43.559741	356	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	17.543550	17.543550	0.000000	17.543550	17.543550	0.000000	0.845493	0.000000	0.154507	
71000	-46.907272	136	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	14.296111	14.296111	14.296111	14.296111	14.296111	0.000000	0.550737	0.181733	0.267530	
72000	-42.170019	939	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	31.117550	31.117550	31.117550	31.117550	31.117550	0.000000	0.677766	0.105814	0.216421	
73000	-43.462274	179	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	18.224735	18.224735	0.000000	18.224735	18.224735	0.000000	0.840754	0.000000	0.159246	
74000	-43.581028	395	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	40.425109	40.425109	40.425109	40.425109	40.425109	0.000000	0.732779	0.063535	0.203686	
75000	-42.895885	244	1	4	'Z Z Z 0 0 Z 0 0 	D	0.000000	0.000000	0.000000	24.234514	24.234514	0.000000	24.234514	24.234514	0.000000	0.812954	0.000000	0.187046	
