Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-eskimo-inheritancetobothsex.restricted.bttrees
Data File Name:                  ./data/austronesian-eskimo-inheritancetobothsex.restricted.btdata
Log File Name:                   ./output/austronesian-eskimo-inheritancetobothsex.restricted-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2741302988
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-eskimo-inheritancetobothsex.restricted-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.640000,0.160000,0.060000,0.140000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000074
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       50
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
42000	-49.869588	134	2	1	'0 Z 1 1 1 0 1 1 	D	5.196635	0.000000	9.159375	9.159375	9.159375	5.196635	9.159375	9.159375	0.660347	0.153657	0.058377	0.127619	
43000	-51.815469	6	1	2	'0 Z 0 0 0 0 Z 0 	D	2.840419	0.000000	2.840419	2.840419	2.840419	2.840419	0.000000	2.840419	0.896651	0.074685	0.025445	0.003219	
44000	-51.216523	765	1	1	'0 Z 0 0 0 0 0 0 	D	2.044679	0.000000	2.044679	2.044679	2.044679	2.044679	2.044679	2.044679	0.766911	0.140360	0.067838	0.024891	
45000	-51.835004	336	1	2	'0 Z 0 0 Z 0 0 0 	D	1.996250	0.000000	1.996250	1.996250	0.000000	1.996250	1.996250	1.996250	0.830555	0.161939	0.000038	0.007468	
46000	-50.571577	245	1	2	'0 Z 0 0 Z 0 0 0 	D	3.780607	0.000000	3.780607	3.780607	0.000000	3.780607	3.780607	3.780607	0.889611	0.097089	0.000482	0.012819	
47000	-55.067973	539	1	4	'0 Z 0 0 Z Z Z 0 	D	1.522504	0.000000	1.522504	1.522504	0.000000	0.000000	0.000000	1.522504	0.922539	0.077461	0.000000	0.000000	
48000	-50.250439	232	1	1	'0 Z 0 0 0 0 0 0 	D	2.557324	0.000000	2.557324	2.557324	2.557324	2.557324	2.557324	2.557324	0.757250	0.128707	0.069390	0.044653	
49000	-51.914485	602	2	3	'1 Z Z 0 0 1 Z 1 	D	1.777591	0.000000	0.000000	10.517919	10.517919	1.777591	0.000000	1.777591	0.907075	0.002622	0.076033	0.014269	
50000	-50.017997	35	1	2	'0 Z 0 0 Z 0 0 0 	D	3.538197	0.000000	3.538197	3.538197	0.000000	3.538197	3.538197	3.538197	0.918260	0.077972	0.000031	0.003737	
51000	-50.252707	197	1	3	'0 Z 0 0 Z Z 0 0 	D	3.179834	0.000000	3.179834	3.179834	0.000000	0.000000	3.179834	3.179834	0.892439	0.100202	0.000000	0.007359	
