Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-iroquois-polygyny.bttrees
Data File Name:                  ./data/austronesian-iroquois-polygyny.btdata
Log File Name:                   ./output/austronesian-iroquois-polygyny-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            137067443
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-iroquois-polygyny-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.262500,0.587500,0.025000,0.125000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000086
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       80
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
66000	-71.055584	210	1	3	'Z Z 0 0 Z 0 0 0 	D	0.000000	0.000000	0.897322	0.897322	0.000000	0.897322	0.897322	0.897322	0.000000	0.999696	0.000000	0.000304	
67000	-73.161561	355	1	4	'0 Z 0 0 Z Z Z 0 	D	0.692452	0.000000	0.692452	0.692452	0.000000	0.000000	0.000000	0.692452	0.626352	0.373648	0.000000	0.000000	
68000	-70.526713	214	1	3	'Z Z 0 0 0 0 Z 0 	D	0.000000	0.000000	1.032287	1.032287	1.032287	1.032287	0.000000	1.032287	0.000000	1.000000	0.000000	0.000000	
69000	-71.299863	472	1	3	'Z Z 0 0 Z 0 0 0 	D	0.000000	0.000000	1.221689	1.221689	0.000000	1.221689	1.221689	1.221689	0.000000	0.999254	0.000000	0.000745	
70000	-73.098134	714	1	2	'0 Z 0 0 0 0 Z 0 	D	1.611351	0.000000	1.611351	1.611351	1.611351	1.611351	0.000000	1.611351	0.503677	0.496036	0.000285	0.000002	
71000	-70.732585	31	1	1	'0 Z 0 0 0 0 0 0 	D	0.968997	0.000000	0.968997	0.968997	0.968997	0.968997	0.968997	0.968997	0.608849	0.390126	0.000377	0.000648	
72000	-74.782483	540	1	2	'0 0 0 0 0 0 Z Z 	D	0.885667	0.885667	0.885667	0.885667	0.885667	0.885667	0.000000	0.000000	0.493681	0.506258	0.000061	0.000000	
73000	-73.406677	452	1	3	'Z Z 0 0 0 0 Z 0 	D	0.000000	0.000000	0.770274	0.770274	0.770274	0.770274	0.000000	0.770274	0.000000	1.000000	0.000000	0.000000	
74000	-72.204770	312	1	3	'Z Z 0 0 Z 0 0 0 	D	0.000000	0.000000	0.772505	0.772505	0.000000	0.772505	0.772505	0.772505	0.000000	0.998952	0.000000	0.001047	
75000	-71.905059	790	1	1	'0 Z 0 0 0 0 0 0 	D	1.609530	0.000000	1.609530	1.609530	1.609530	1.609530	1.609530	1.609530	0.499552	0.494756	0.001518	0.004175	
