Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-iroquois-uni.localresidence.bttrees
Data File Name:                  ./data/austronesian-iroquois-uni.localresidence.btdata
Log File Name:                   ./output/austronesian-iroquois-uni.localresidence-indep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4150491628
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-iroquois-uni.localresidence-indep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.488095,0.345238,0.047619,0.119048)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000085
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       84
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
100000	-91.180417	77	1	0	'0 0 0 0 	1.411090	1.411090	1.411090	1.411090	0.445376	0.549929	0.000875	0.003820	
101000	-87.721130	310	2	0	'0 1 1 1 	1.334003	3.786397	3.786397	3.786397	0.497961	0.450369	0.012312	0.039358	
102000	-91.364556	810	1	0	'0 0 0 0 	1.514978	1.514978	1.514978	1.514978	0.486942	0.506135	0.001481	0.005441	
103000	-92.035716	61	1	0	'0 0 0 0 	2.358707	2.358707	2.358707	2.358707	0.372597	0.612551	0.002181	0.012672	
104000	-91.635077	484	1	0	'0 0 0 0 	1.100180	1.100180	1.100180	1.100180	0.602576	0.394815	0.000787	0.001822	
105000	-87.620760	683	2	0	'1 0 0 0 	1.400147	3.130831	3.130831	3.130831	0.476405	0.488587	0.007570	0.027439	
106000	-91.840226	55	1	0	'0 0 0 0 	2.040574	2.040574	2.040574	2.040574	0.488920	0.492631	0.004045	0.014405	
107000	-90.678911	243	1	0	'0 0 0 0 	1.674706	1.674706	1.674706	1.674706	0.448392	0.543864	0.001465	0.006280	
108000	-90.974957	346	1	0	'0 0 0 0 	2.048301	2.048301	2.048301	2.048301	0.438084	0.551584	0.001896	0.008437	
109000	-92.473161	17	1	0	'0 0 0 0 	2.254852	2.254852	2.254852	2.254852	0.437936	0.548090	0.002577	0.011397	
110000	-92.514427	268	1	0	'0 0 0 0 	1.042717	1.042717	1.042717	1.042717	0.588257	0.410984	0.000219	0.000540	
111000	-91.353805	593	1	0	'0 0 0 0 	1.471939	1.471939	1.471939	1.471939	0.550546	0.447261	0.000567	0.001627	
112000	-91.179443	672	1	0	'0 0 0 0 	1.968166	1.968166	1.968166	1.968166	0.462134	0.524855	0.002595	0.010416	
113000	-91.069543	842	1	0	'0 0 0 0 	1.861029	1.861029	1.861029	1.861029	0.416808	0.579069	0.000698	0.003425	
114000	-91.598443	370	1	0	'0 0 0 0 	1.336138	1.336138	1.336138	1.336138	0.492507	0.503595	0.000845	0.003054	
115000	-90.677082	38	1	0	'0 0 0 0 	1.420663	1.420663	1.420663	1.420663	0.524891	0.472275	0.000678	0.002155	
116000	-88.514765	882	2	0	'0 1 1 1 	0.798966	2.714248	2.714248	2.714248	0.488286	0.482879	0.006414	0.022421	
117000	-91.628265	659	1	0	'0 0 0 0 	2.294946	2.294946	2.294946	2.294946	0.434154	0.550192	0.002857	0.012797	
