Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-hawaiian-absenceofcousinmarriage.preference.bttrees
Data File Name:                  ./data/bantu-hawaiian-absenceofcousinmarriage.preference.btdata
Log File Name:                   ./output/bantu-hawaiian-absenceofcousinmarriage.preference-indep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4088855373
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-hawaiian-absenceofcousinmarriage.preference-indep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.727273,0.136364,0.136364,0.000000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
106000	-52.756665	375	1	0	'0 0 0 0 	0.984166	0.984166	0.984166	0.984166	0.888959	0.021937	0.089104	0.000000	
107000	-51.243594	655	1	0	'0 0 0 0 	0.708807	0.708807	0.708807	0.708807	0.924577	0.009879	0.065544	0.000000	
108000	-52.256003	321	1	0	'0 0 0 0 	0.546369	0.546369	0.546369	0.546369	0.931749	0.005682	0.062569	0.000000	
109000	-55.224810	896	1	0	'0 0 0 0 	1.165206	1.165206	1.165206	1.165206	0.877297	0.035671	0.087032	0.000000	
110000	-53.916533	687	1	0	'0 0 0 0 	1.080483	1.080483	1.080483	1.080483	0.899053	0.024931	0.076016	0.000000	
111000	-52.260302	345	1	0	'0 0 0 0 	0.514827	0.514827	0.514827	0.514827	0.915905	0.006675	0.077421	0.000000	
112000	-52.424774	621	1	0	'0 0 0 0 	0.589310	0.589310	0.589310	0.589310	0.916049	0.006516	0.077435	0.000000	
113000	-53.202907	134	1	0	'0 0 0 0 	0.443655	0.443655	0.443655	0.443655	0.924741	0.004814	0.070445	0.000000	
114000	-52.760880	16	1	0	'0 0 0 0 	0.578191	0.578191	0.578191	0.578191	0.903394	0.010709	0.085896	0.000000	
115000	-52.044694	515	1	0	'0 0 0 0 	0.548875	0.548875	0.548875	0.548875	0.927923	0.006625	0.065452	0.000000	
116000	-50.703754	530	1	0	'0 0 0 0 	0.723583	0.723583	0.723583	0.723583	0.907476	0.013931	0.078593	0.000000	
117000	-53.187492	328	1	0	'0 0 0 0 	0.972838	0.972838	0.972838	0.972838	0.879546	0.021165	0.099289	0.000000	
118000	-51.753568	305	1	0	'0 0 0 0 	0.666960	0.666960	0.666960	0.666960	0.887198	0.014208	0.098595	0.000000	
119000	-52.659051	320	1	0	'0 0 0 0 	0.778849	0.778849	0.778849	0.778849	0.901118	0.013629	0.085253	0.000000	
120000	-51.476458	608	1	0	'0 0 0 0 	0.758646	0.758646	0.758646	0.758646	0.895672	0.020892	0.083435	0.000000	
121000	-51.044580	507	1	0	'0 0 0 0 	0.537603	0.537603	0.537603	0.537603	0.905323	0.007052	0.087625	0.000000	
122000	-50.733432	861	1	0	'0 0 0 0 	0.812662	0.812662	0.812662	0.812662	0.905258	0.016153	0.078589	0.000000	
123000	-53.482271	90	1	0	'0 0 0 0 	0.625483	0.625483	0.625483	0.625483	0.914850	0.008452	0.076698	0.000000	
124000	-51.846168	130	1	0	'0 0 0 0 	0.824257	0.824257	0.824257	0.824257	0.877861	0.024214	0.097925	0.000000	
125000	-50.417006	127	1	0	'0 0 0 0 	0.682013	0.682013	0.682013	0.682013	0.882406	0.018133	0.099462	0.000000	
126000	-52.141634	948	1	0	'0 0 0 0 	0.566357	0.566357	0.566357	0.566357	0.935744	0.004315	0.059940	0.000000	
127000	-51.871424	577	1	0	'0 0 0 0 	0.912745	0.912745	0.912745	0.912745	0.894634	0.022835	0.082531	0.000000	
128000	-51.550330	684	1	0	'0 0 0 0 	0.706056	0.706056	0.706056	0.706056	0.921329	0.010413	0.068258	0.000000	
129000	-51.385755	835	1	0	'0 0 0 0 	0.699371	0.699371	0.699371	0.699371	0.896574	0.016509	0.086917	0.000000	
130000	-53.233837	682	1	0	'0 0 0 0 	1.047458	1.047458	1.047458	1.047458	0.887561	0.029955	0.082484	0.000000	
131000	-52.125107	716	1	0	'0 0 0 0 	0.919857	0.919857	0.919857	0.919857	0.880866	0.028379	0.090754	0.000000	
132000	-52.497654	16	1	0	'0 0 0 0 	0.750666	0.750666	0.750666	0.750666	0.895451	0.017401	0.087148	0.000000	
133000	-54.246544	575	1	0	'0 0 0 0 	0.607371	0.607371	0.607371	0.607371	0.916952	0.006292	0.076757	0.000000	
134000	-51.558315	439	1	0	'0 0 0 0 	0.854543	0.854543	0.854543	0.854543	0.901199	0.012786	0.086016	0.000000	
135000	-54.140903	35	1	0	'0 0 0 0 	1.012969	1.012969	1.012969	1.012969	0.867175	0.025535	0.107291	0.000000	
136000	-51.599315	907	1	0	'0 0 0 0 	0.647029	0.647029	0.647029	0.647029	0.917515	0.010952	0.071533	0.000000	
137000	-51.850396	1	1	0	'0 0 0 0 	0.813090	0.813090	0.813090	0.813090	0.891525	0.015426	0.093049	0.000000	
138000	-53.218476	909	1	0	'0 0 0 0 	0.871577	0.871577	0.871577	0.871577	0.908782	0.013002	0.078216	0.000000	
139000	-52.505843	466	1	0	'0 0 0 0 	0.871380	0.871380	0.871380	0.871380	0.890021	0.023803	0.086176	0.000000	
140000	-53.736417	426	1	0	'0 0 0 0 	1.290846	1.290846	1.290846	1.290846	0.865193	0.039320	0.095487	0.000000	
141000	-51.399274	426	1	0	'0 0 0 0 	0.480913	0.480913	0.480913	0.480913	0.907347	0.006584	0.086069	0.000000	
142000	-51.228891	469	1	0	'0 0 0 0 	0.594236	0.594236	0.594236	0.594236	0.939274	0.005244	0.055482	0.000000	
143000	-53.519889	635	1	0	'0 0 0 0 	1.126763	1.126763	1.126763	1.126763	0.891531	0.028450	0.080019	0.000000	
